pregunta_encuesta,dataset_origen,columna_origen,feature_final,tipo_respuesta,opciones_permitidas,rango_esperado,trastorno_relacionado,aplica_a_edad,requerida_opcional,modalidad
cbcl_attention_problems_proxy,master_inference_ready_strict,cbcl_attention_problems_proxy,cbcl_attention_problems_proxy,numeric,,0.0000|20.0000,adhd,6-11,optional,reporte_cuidador
conners_01,master_inference_ready_strict,conners_01,conners_01,numeric,,0.0000|3.0000,adhd,6-11,optional,autoreporte
conners_02,master_inference_ready_strict,conners_02,conners_02,numeric,,0.0000|3.0000,adhd,6-11,optional,autoreporte
conners_03,master_inference_ready_strict,conners_03,conners_03,numeric,,0.0000|3.0000,adhd,6-11,optional,autoreporte
conners_04,master_inference_ready_strict,conners_04,conners_04,numeric,,0.0000|3.0000,adhd,6-11,optional,autoreporte
conners_05,master_inference_ready_strict,conners_05,conners_05,numeric,,0.0000|3.0000,adhd,6-11,optional,autoreporte
conners_06,master_inference_ready_strict,conners_06,conners_06,numeric,,0.0000|3.0000,adhd,6-11,optional,autoreporte
conners_07,master_inference_ready_strict,conners_07,conners_07,numeric,,0.0000|3.0000,adhd,6-11,optional,autoreporte
conners_08,master_inference_ready_strict,conners_08,conners_08,numeric,,0.0000|3.0000,adhd,6-11,optional,autoreporte
conners_09,master_inference_ready_strict,conners_09,conners_09,numeric,,0.0000|3.0000,adhd,6-11,optional,autoreporte
conners_10,master_inference_ready_strict,conners_10,conners_10,numeric,,0.0000|3.0000,adhd,6-11,optional,autoreporte
conners_11,master_inference_ready_strict,conners_11,conners_11,numeric,,0.0000|3.0000,adhd,6-11,optional,autoreporte
conners_12,master_inference_ready_strict,conners_12,conners_12,numeric,,0.0000|3.0000,adhd,6-11,optional,autoreporte
conners_13,master_inference_ready_strict,conners_13,conners_13,numeric,,0.0000|3.0000,adhd,6-11,optional,autoreporte
conners_14,master_inference_ready_strict,conners_14,conners_14,numeric,,0.0000|3.0000,adhd,6-11,optional,autoreporte
conners_15,master_inference_ready_strict,conners_15,conners_15,numeric,,0.0000|3.0000,adhd,6-11,optional,autoreporte
conners_16,master_inference_ready_strict,conners_16,conners_16,numeric,,0.0000|3.0000,adhd,6-11,optional,autoreporte
conners_17,master_inference_ready_strict,conners_17,conners_17,numeric,,0.0000|3.0000,adhd,6-11,optional,autoreporte
conners_18,master_inference_ready_strict,conners_18,conners_18,numeric,,0.0000|3.0000,adhd,6-11,optional,autoreporte
conners_19,master_inference_ready_strict,conners_19,conners_19,numeric,,0.0000|3.0000,adhd,6-11,optional,autoreporte
conners_20,master_inference_ready_strict,conners_20,conners_20,numeric,,0.0000|3.0000,adhd,6-11,optional,autoreporte
conners_21,master_inference_ready_strict,conners_21,conners_21,numeric,,0.0000|3.0000,adhd,6-11,optional,autoreporte
