table_name,n_rows,n_columns,first_columns
participants,4867,5,"participant_id, release, age_years, sex_assigned_at_birth, site"
Diagnosis_ClinicianConsensus,4867,22,"participant_id, n_diagnoses, diagnosis_01, diagnosis_01_certainty, diagnosis_02, diagnosis_02_certainty"
Diagnosis_KSADS_T,4867,8,"participant_id, ADHD_present, AnxietyDisorders_present, DepressiveDisorders_present, DisruptiveImpulseControlConductDisorders_present, EliminationDisorders_present"
Diagnosis_KSADS_P,4867,8,"participant_id, ADHD_present, AnxietyDisorders_present, DepressiveDisorders_present, DisruptiveImpulseControlConductDisorders_present, EliminationDisorders_present"
Diagnosis_KSADS_D,4867,8,"participant_id, ADHD_present, AnxietyDisorders_present, DepressiveDisorders_present, DisruptiveImpulseControlConductDisorders_present, EliminationDisorders_present"
SWAN,3976,23,"participant_id, age_years, SWAN_01, SWAN_02, SWAN_03, SWAN_04"
Conners,2103,33,"participant_id, age_years, Conners_01, Conners_02, Conners_03, Conners_04"
CAARS,440,32,"participant_id, age_years, CAARS_01, CAARS_02, CAARS_03, CAARS_04"
SCARED_P,3427,50,"participant_id, age_years, SCARED_P_01, SCARED_P_02, SCARED_P_03, SCARED_P_04"
SCARED_SR,3461,50,"participant_id, age_years, SCARED_SR_01, SCARED_SR_02, SCARED_SR_03, SCARED_SR_04"
STAI,438,45,"participant_id, age_years, STAI_01, STAI_02, STAI_03, STAI_04"
MFQ_P,3424,36,"participant_id, age_years, MFQ_P_01, MFQ_P_02, MFQ_P_03, MFQ_P_04"
MFQ_SR,4045,36,"participant_id, age_years, MFQ_SR_01, MFQ_SR_02, MFQ_SR_03, MFQ_SR_04"
CDI,2516,30,"participant_id, age_years, CDI_01, CDI_02, CDI_03, CDI_04"
BDI,284,24,"participant_id, age_years, BDI_01, BDI_02, BDI_03, BDI_04"
CBCL,4101,126,"participant_id, age_years, CBCL_001, CBCL_002, CBCL_003, CBCL_004"
YSR,2327,120,"participant_id, age_years, YSR_001, YSR_002, YSR_003, YSR_004"
ASR,446,134,"participant_id, age_years, ASR_001, ASR_002, ASR_003, ASR_004"
SDQ,3783,34,"participant_id, age_years, SDQ_01, SDQ_02, SDQ_03, SDQ_04"
ICUT,4606,30,"participant_id, age_years, ICUT_01, ICUT_02, ICUT_03, ICUT_04"
ARI_P,4683,11,"participant_id, age_years, ARI_P_01, ARI_P_02, ARI_P_03, ARI_P_04"
ARI_SR,4683,11,"participant_id, age_years, ARI_SR_01, ARI_SR_02, ARI_SR_03, ARI_SR_04"
