branch,unique_vs_main,unique_vs_development,merged_into_main,merged_into_development,action,reason
audit/sonar-main-e2cd,0,4,True,False,preserve,has_unique_commits_vs_development
audit/v13-real-prediction-anti-clone,158,0,False,True,preserve,has_unique_commits_vs_main
audit/v17-extreme-metrics-threshold-separability,176,3,False,False,preserve,has_unique_commits_vs_both
dev.enddark,NA,NA,NA,NA,preserve,protected_core_branch
development,NA,NA,NA,NA,preserve,protected_core_branch
fix/ci-close-backend-final,193,22,False,False,preserve,has_unique_commits_vs_both
fix/elimination-structural-audit-rescue-v1,143,0,False,True,preserve,has_unique_commits_vs_main
fix/elimination-v14-real-anti-clone-rescue,161,0,False,True,preserve,has_unique_commits_vs_main
fix/final-model-structural-compliance-v1,146,0,False,True,preserve,has_unique_commits_vs_main
fix/final-security-sonar-release-main-v1,191,20,False,False,preserve,has_unique_commits_vs_both
fix/final-sonar-quality-gate-cleanup,197,27,False,False,preserve,has_unique_commits_vs_both
fix/global-compatible-rf-champion-selection-v13,155,0,False,True,preserve,has_unique_commits_vs_main
fix/reconcile-development-main-release,195,25,False,False,preserve,has_unique_commits_vs_both
fix/reconcile-main-into-development-security,186,14,False,False,preserve,has_unique_commits_vs_both
fix/reconcile-main-into-development-sonar,198,29,False,False,preserve,has_unique_commits_vs_both
fix/release-main-from-development-sonar,199,30,False,False,preserve,has_unique_commits_vs_both
fix/security-transport-openapi-release-hardening,183,10,False,False,preserve,has_unique_commits_vs_both
fix/sonar-main-gate-alignment-v1,182,9,False,False,preserve,has_unique_commits_vs_both
fix/structural-mode-model-rescue-v1,140,0,False,True,preserve,has_unique_commits_vs_main
fix/v15-elimination-caregiver-full-metric-rescue,164,1,False,False,preserve,has_unique_commits_vs_both
fix/v16-final-clean-champion-resolution,167,0,False,True,preserve,has_unique_commits_vs_main
fix/v17-runtime-diagnostic-security-final,169,0,False,True,preserve,has_unique_commits_vs_main
main,NA,NA,NA,NA,preserve,protected_core_branch
release/main-docs-openapi-cleanup-final,181,8,False,False,preserve,has_unique_commits_vs_both
release/main-security-transport-hardening-v2,1,2,False,False,preserve,has_unique_commits_vs_both
train/final-rf-plus-maximize-metrics-v1,152,0,False,True,preserve,has_unique_commits_vs_main
train/rf-max-real-metrics-v1,149,0,False,True,preserve,has_unique_commits_vs_main
train/v17-domain-specialized-rf-30-models,173,1,False,False,preserve,has_unique_commits_vs_both
