[remote]
origin/audit/v13-real-prediction-anti-clone | has_unique_commits_vs_main
origin/audit/v17-extreme-metrics-threshold-separability | has_unique_commits_vs_main
origin/chore/deploy-gateway-recreate-separate | has_unique_commits_vs_both
origin/chore/repo-standards | has_unique_commits_vs_main
origin/chore/workflow-ci-deploy-sync | has_unique_commits_vs_both
origin/dev.enddark | protected_core_branch
origin/development | protected_core_branch
origin/docs/readme-overhaul-2026-04-22 | has_unique_commits_vs_both
origin/docs/v12-final-results-notebook | has_unique_commits_vs_both
origin/feat/api-docs | has_unique_commits_vs_main
origin/feat/backend-ubuntu-selfhosted-deploy-v1 | has_unique_commits_vs_both
origin/feat/backend-ubuntu-selfhosted-deploy-v1-dev | has_unique_commits_vs_main
origin/feat/docs-metrics-render | has_unique_commits_vs_both
origin/feat/docs-metrics-startup | has_unique_commits_vs_main
origin/feat/final-aggressive-honest-rescue-v7 | has_unique_commits_vs_both
origin/feat/final-aggressive-honest-rescue-v7-only | has_unique_commits_vs_both
origin/feat/final-aggressive-rescue-v6 | has_unique_commits_vs_both
origin/feat/final-repo-deploy-closure | has_unique_commits_vs_main
origin/feat/openapi-docs | has_unique_commits_vs_main
origin/feat/openapi-runtime-contract-v6 | has_unique_commits_vs_main
origin/feat/openapi-runtime-hardening-v2 | has_unique_commits_vs_main
origin/feat/openapi-spanish-endpoint-descriptions | has_unique_commits_vs_main
origin/feat/questionnaire-v1 | has_unique_commits_vs_main
origin/feat/test-hardening | has_unique_commits_vs_main
origin/feature/admin-colpsic-governance | has_unique_commits_vs_main
origin/feature/api-platform-hardening-openapi-v1 | has_unique_commits_vs_main
origin/feature/email-smtp-welcome | has_unique_commits_vs_main
origin/feature/observability-ci | has_unique_commits_vs_main
origin/feature/validation-user-crud | has_unique_commits_vs_main
origin/fix/ci-close-backend-final | has_unique_commits_vs_main
origin/fix/elimination-structural-audit-rescue-v1 | has_unique_commits_vs_main
origin/fix/elimination-v14-real-anti-clone-rescue | has_unique_commits_vs_main
origin/fix/entrypoint-lf | has_unique_commits_vs_main
origin/fix/final-model-structural-compliance-v1 | has_unique_commits_vs_main
origin/fix/final-security-sonar-release-main-v1 | has_unique_commits_vs_main
origin/fix/final-sonar-quality-gate-cleanup | has_unique_commits_vs_both
origin/fix/global-compatible-rf-champion-selection-v13 | has_unique_commits_vs_main
origin/fix/reconcile-development-main-release | has_unique_commits_vs_main
origin/fix/reconcile-main-into-development-security | has_unique_commits_vs_both
origin/fix/reconcile-main-into-development-sonar | has_unique_commits_vs_both
origin/fix/release-main-from-development-sonar | has_unique_commits_vs_both
origin/fix/security-transport-openapi-release-hardening | has_unique_commits_vs_main
origin/fix/structural-mode-model-rescue-v1 | has_unique_commits_vs_main
origin/fix/v15-elimination-caregiver-full-metric-rescue | has_unique_commits_vs_both
origin/fix/v16-final-clean-champion-resolution | has_unique_commits_vs_main
origin/fix/v17-runtime-diagnostic-security-final | has_unique_commits_vs_main
origin/fix/v6-quick-champion-guard-hotfix | has_unique_commits_vs_main
origin/main | protected_core_branch
origin/release/main-docs-openapi-cleanup-final | has_unique_commits_vs_main
origin/release/main-security-transport-hardening-v2 | has_unique_commits_vs_both
origin/train/final-rf-plus-maximize-metrics-v1 | has_unique_commits_vs_main
origin/train/rf-max-real-metrics-v1 | has_unique_commits_vs_main
origin/train/v17-domain-specialized-rf-30-models | has_unique_commits_vs_both

[local]
origin | has_unique_commits_vs_development
audit/sonar-main-e2cd | has_unique_commits_vs_development
audit/v13-real-prediction-anti-clone | has_unique_commits_vs_main
audit/v17-extreme-metrics-threshold-separability | has_unique_commits_vs_both
dev.enddark | protected_core_branch
development | protected_core_branch
fix/ci-close-backend-final | has_unique_commits_vs_both
fix/elimination-structural-audit-rescue-v1 | has_unique_commits_vs_main
fix/elimination-v14-real-anti-clone-rescue | has_unique_commits_vs_main
fix/final-model-structural-compliance-v1 | has_unique_commits_vs_main
fix/final-security-sonar-release-main-v1 | has_unique_commits_vs_both
fix/final-sonar-quality-gate-cleanup | has_unique_commits_vs_both
fix/global-compatible-rf-champion-selection-v13 | has_unique_commits_vs_main
fix/reconcile-development-main-release | has_unique_commits_vs_both
fix/reconcile-main-into-development-security | has_unique_commits_vs_both
fix/reconcile-main-into-development-sonar | has_unique_commits_vs_both
fix/release-main-from-development-sonar | has_unique_commits_vs_both
fix/security-transport-openapi-release-hardening | has_unique_commits_vs_both
fix/sonar-main-gate-alignment-v1 | has_unique_commits_vs_both
fix/structural-mode-model-rescue-v1 | has_unique_commits_vs_main
fix/v15-elimination-caregiver-full-metric-rescue | has_unique_commits_vs_both
fix/v16-final-clean-champion-resolution | has_unique_commits_vs_main
fix/v17-runtime-diagnostic-security-final | has_unique_commits_vs_main
main | protected_core_branch
release/main-docs-openapi-cleanup-final | has_unique_commits_vs_both
release/main-security-transport-hardening-v2 | has_unique_commits_vs_both
train/final-rf-plus-maximize-metrics-v1 | has_unique_commits_vs_main
train/rf-max-real-metrics-v1 | has_unique_commits_vs_main
train/v17-domain-specialized-rf-30-models | has_unique_commits_vs_both
