branch,open_pr,unique_vs_main,unique_vs_development,merged_into_main,merged_into_development,action,reason
origin,false,0,2,False,False,preserve,has_unique_commits_vs_development
origin/audit/v13-real-prediction-anti-clone,false,158,0,False,True,preserve,has_unique_commits_vs_main
origin/audit/v17-extreme-metrics-threshold-separability,false,176,0,False,True,preserve,has_unique_commits_vs_main
origin/chore/deploy-gateway-recreate-separate,false,108,1,False,False,preserve,has_unique_commits_vs_both
origin/chore/repo-standards,false,4,0,False,True,preserve,has_unique_commits_vs_main
origin/chore/workflow-ci-deploy-sync,false,107,1,False,False,preserve,has_unique_commits_vs_both
origin/dev.enddark,false,NA,NA,NA,NA,preserve,protected_core_branch
origin/development,false,NA,NA,NA,NA,preserve,protected_core_branch
origin/docs/readme-overhaul-2026-04-22,false,104,1,False,False,preserve,has_unique_commits_vs_both
origin/docs/v12-final-results-notebook,false,157,3,False,False,preserve,has_unique_commits_vs_both
origin/feat/api-docs,false,4,0,False,True,preserve,has_unique_commits_vs_main
origin/feat/backend-ubuntu-selfhosted-deploy-v1,false,106,2,False,False,preserve,has_unique_commits_vs_both
origin/feat/backend-ubuntu-selfhosted-deploy-v1-dev,false,130,0,False,True,preserve,has_unique_commits_vs_main
origin/feat/docs-metrics-render,false,15,1,False,False,preserve,has_unique_commits_vs_both
origin/feat/docs-metrics-startup,false,18,0,False,True,preserve,has_unique_commits_vs_main
origin/feat/final-aggressive-honest-rescue-v7,false,109,2,False,False,preserve,has_unique_commits_vs_both
origin/feat/final-aggressive-honest-rescue-v7-only,false,108,1,False,False,preserve,has_unique_commits_vs_both
origin/feat/final-aggressive-rescue-v6,false,106,1,False,False,preserve,has_unique_commits_vs_both
origin/feat/final-repo-deploy-closure,false,46,0,False,True,preserve,has_unique_commits_vs_main
origin/feat/openapi-docs,false,10,0,False,True,preserve,has_unique_commits_vs_main
origin/feat/openapi-runtime-contract-v6,false,85,0,False,True,preserve,has_unique_commits_vs_main
origin/feat/openapi-runtime-hardening-v2,false,79,0,False,True,preserve,has_unique_commits_vs_main
origin/feat/openapi-spanish-endpoint-descriptions,false,128,0,False,True,preserve,has_unique_commits_vs_main
origin/feat/questionnaire-v1,false,28,0,False,True,preserve,has_unique_commits_vs_main
origin/feat/test-hardening,false,4,0,False,True,preserve,has_unique_commits_vs_main
origin/feature/admin-colpsic-governance,false,41,0,False,True,preserve,has_unique_commits_vs_main
origin/feature/api-platform-hardening-openapi-v1,false,54,0,False,True,preserve,has_unique_commits_vs_main
origin/feature/email-smtp-welcome,false,40,0,False,True,preserve,has_unique_commits_vs_main
origin/feature/observability-ci,false,2,0,False,True,preserve,has_unique_commits_vs_main
origin/feature/validation-user-crud,false,30,0,False,True,preserve,has_unique_commits_vs_main
origin/fix/ci-close-backend-final,false,193,0,False,True,preserve,has_unique_commits_vs_main
origin/fix/elimination-structural-audit-rescue-v1,false,143,0,False,True,preserve,has_unique_commits_vs_main
origin/fix/elimination-v14-real-anti-clone-rescue,false,161,0,False,True,preserve,has_unique_commits_vs_main
origin/fix/entrypoint-lf,false,36,0,False,True,preserve,has_unique_commits_vs_main
origin/fix/final-model-structural-compliance-v1,false,146,0,False,True,preserve,has_unique_commits_vs_main
origin/fix/final-security-sonar-release-main-v1,false,191,0,False,True,preserve,has_unique_commits_vs_main
origin/fix/final-sonar-quality-gate-cleanup,false,197,1,False,False,preserve,has_unique_commits_vs_both
origin/fix/global-compatible-rf-champion-selection-v13,false,155,0,False,True,preserve,has_unique_commits_vs_main
origin/fix/reconcile-development-main-release,false,195,0,False,True,preserve,has_unique_commits_vs_main
origin/fix/reconcile-main-into-development-security,false,186,1,False,False,preserve,has_unique_commits_vs_both
origin/fix/reconcile-main-into-development-sonar,false,198,2,False,False,preserve,has_unique_commits_vs_both
origin/fix/release-main-from-development-sonar,false,199,2,False,False,preserve,has_unique_commits_vs_both
origin/fix/security-transport-openapi-release-hardening,false,183,0,False,True,preserve,has_unique_commits_vs_main
origin/fix/structural-mode-model-rescue-v1,false,140,0,False,True,preserve,has_unique_commits_vs_main
origin/fix/v15-elimination-caregiver-full-metric-rescue,false,164,1,False,False,preserve,has_unique_commits_vs_both
origin/fix/v16-final-clean-champion-resolution,false,167,0,False,True,preserve,has_unique_commits_vs_main
origin/fix/v17-runtime-diagnostic-security-final,false,169,0,False,True,preserve,has_unique_commits_vs_main
origin/fix/v6-quick-champion-guard-hotfix,false,123,0,False,True,preserve,has_unique_commits_vs_main
origin/main,false,NA,NA,NA,NA,preserve,protected_core_branch
origin/release/main-docs-openapi-cleanup-final,false,181,0,False,True,preserve,has_unique_commits_vs_main
origin/release/main-security-transport-hardening-v2,false,1,1,False,False,preserve,has_unique_commits_vs_both
origin/train/final-rf-plus-maximize-metrics-v1,false,152,0,False,True,preserve,has_unique_commits_vs_main
origin/train/rf-max-real-metrics-v1,false,149,0,False,True,preserve,has_unique_commits_vs_main
origin/train/v17-domain-specialized-rf-30-models,false,173,1,False,False,preserve,has_unique_commits_vs_both
