scale_id,scale_name,response_type,response_options_json,min_value,max_value,unit,scale_guidance,api_reference_text,db_storage_type,scale_description,guidance_text
AGE_6_11,Edad en años,integer,,6.0,11.0,años,"Ingrese la edad en años cumplidos, entre 6 y 11.",AGE_6_11 | Edad en años: nan,integer,,
DECIMAL_PER_MONTH,Frecuencia por mes,decimal,,0.0,100.0,veces por mes,Ingrese el número aproximado de veces por mes.,DECIMAL_PER_MONTH | Frecuencia por mes: nan,decimal,,
DECIMAL_PER_WEEK,Frecuencia por semana,decimal,,0.0,50.0,veces por semana,Ingrese el número aproximado de veces por semana.,DECIMAL_PER_WEEK | Frecuencia por semana: nan,decimal,,
DERIVED_INTERNAL,Derivado interno,derived_internal,,,,,No se pregunta; se calcula a partir de otras respuestas.,DERIVED_INTERNAL | Derivado interno: nan,computed,,
FREQ_0_3,Frecuencia 0-3,single_choice,"[{""value"": 0, ""label"": ""0 = Nunca o ausente""}, {""value"": 1, ""label"": ""1 = Leve / ocasional""}, {""value"": 2, ""label"": ""2 = Claro / frecuente""}, {""value"": 3, ""label"": ""3 = Muy marcado / casi siempre""}]",0.0,3.0,,"0 nunca o ausente, 1 leve u ocasional, 2 claro o frecuente, 3 muy marcado o casi siempre.","FREQ_0_3 | Frecuencia 0-3: 0 nunca o ausente, 1 leve u ocasional, 2 claro o frecuente, 3 muy marcado o casi siempre.",enum_or_int,"0 nunca o ausente, 1 leve u ocasional, 2 claro o frecuente, 3 muy marcado o casi siempre.","Use esta escala para indicar qué tan seguido ocurre la conducta, pensando en lo observado habitualmente y no en episodios aislados."
IMPACT_0_3,Impacto 0-3,single_choice,"[{""value"": 0, ""label"": ""0 = Sin impacto""}, {""value"": 1, ""label"": ""1 = Impacto leve""}, {""value"": 2, ""label"": ""2 = Impacto moderado""}, {""value"": 3, ""label"": ""3 = Impacto marcado""}]",0.0,3.0,,"0 sin impacto, 1 impacto leve, 2 impacto moderado, 3 impacto marcado.",IMPACT_0_3 | Impacto 0-3: nan,enum_or_int,,"Use esta escala para indicar cuánto afecta el problema la vida diaria, por ejemplo en casa, colegio, convivencia, sueño o actividades."
INTEGER_MONTHS,Número de meses,integer,,0.0,240.0,meses,Ingrese un número entero de meses.,INTEGER_MONTHS | Número de meses: nan,integer,,"Ingrese el número aproximado de meses. Si no está seguro, use la mejor estimación posible."
INTEGER_WEEKS,Número de semanas,integer,,0.0,520.0,semanas,Ingrese un número entero de semanas.,INTEGER_WEEKS | Número de semanas: nan,integer,,"Ingrese el número aproximado de semanas. Si no está seguro, use la mejor estimación posible."
PATTERN_0_2,Patrón 0-2,single_choice,"[{""value"": 0, ""label"": ""0 = No""}, {""value"": 1, ""label"": ""1 = A veces / patrón leve""}, {""value"": 2, ""label"": ""2 = Sí / patrón claro""}]",0.0,2.0,,"0 no, 1 a veces o patrón leve, 2 sí o patrón claro.",PATTERN_0_2 | Patrón 0-2: nan,enum_or_int,,
PERSISTENCE_0_2,Observación 0-2,single_choice,"[{""value"": 0, ""label"": ""0 = No se observa""}, {""value"": 1, ""label"": ""1 = Se observa a veces o hay duda""}, {""value"": 2, ""label"": ""2 = Se observa de forma clara y persistente""}]",0.0,2.0,,"0 no se observa, 1 a veces o hay duda, 2 se observa de forma clara y persistente.",PERSISTENCE_0_2 | Observación 0-2: nan,enum_or_int,,
RECENCY_0_2,Recencia 0-2,single_choice,"[{""value"": 0, ""label"": ""0 = No ocurrió""}, {""value"": 1, ""label"": ""1 = Ocurrió en los últimos 12 meses, pero no en los últimos 6 meses""}, {""value"": 2, ""label"": ""2 = Ocurrió en los últimos 6 meses""}]",0.0,2.0,,"0 no ocurrió, 1 ocurrió en los últimos 12 meses pero no en los últimos 6, 2 ocurrió en los últimos 6 meses.",RECENCY_0_2 | Recencia 0-2: nan,enum_or_int,,
SEX_ASSIGNED_AT_BIRTH,Sexo registrado al nacer,single_choice,"[{""value"": ""male"", ""label"": ""Masculino""}, {""value"": ""female"", ""label"": ""Femenino""}, {""value"": ""unknown"", ""label"": ""No sabe / prefiere no responder""}]",,,,Seleccione la opción que corresponda o la opción de no sabe / no responde.,SEX_ASSIGNED_AT_BIRTH | Sexo registrado al nacer: Seleccione el sexo registrado al nacer para el niño o la niña. Se usa solo como dato demográfico básico.,enum_or_int,Seleccione el sexo registrado al nacer para el niño o la niña. Se usa solo como dato demográfico básico.,
YES_NO,Sí / No,single_choice,"[{""value"": 0, ""label"": ""No""}, {""value"": 1, ""label"": ""Sí""}]",0.0,1.0,,Seleccione Sí o No.,YES_NO | Sí / No: nan,enum_or_int,,"Marque Sí o No según lo observado o, en preguntas clínicas, según el juicio profesional."
