table_name,schema
alembic_version,public
app_user,public
audit_log,public
dashboard_aggregates,public
diagnostic_threshold,public
disorder,public
email_delivery_log,public
email_log,public
email_unsubscribe,public
evaluation,public
evaluation_prediction,public
evaluation_prediction_detail,public
evaluation_report,public
evaluation_response,public
generated_reports,public
mfa_login_challenge,public
ml_model,public
ml_model_version,public
model_artifact_registry,public
model_confidence_registry,public
model_metrics_snapshot,public
model_mode_domain_activation,public
model_monitoring_snapshots,public
model_operational_caveats,public
model_registry,public
model_versions,public
password_reset_token,public
problem_report_attachments,public
problem_report_audit_events,public
problem_reports,public
psychologist_feedback,public
qr_disclosure_version,public
qr_domain_result,public
qr_evaluation,public
qr_evaluation_response,public
qr_export_log,public
qr_notification,public
qr_processing_job,public
qr_question,public
qr_question_option,public
qr_questionnaire_section,public
qr_questionnaire_template,public
qr_questionnaire_version,public
question,public
question_disorder,public
questionnaire_access_grants,public
questionnaire_audit_events,public
questionnaire_definitions,public
questionnaire_internal_inputs,public
questionnaire_question_modes,public
questionnaire_questions,public
questionnaire_repeat_mapping,public
questionnaire_scale_options,public
questionnaire_scales,public
questionnaire_sections,public
questionnaire_session_access_links,public
questionnaire_session_answers,public
questionnaire_session_internal_features,public
questionnaire_session_items,public
questionnaire_session_pdf_exports,public
questionnaire_session_result_comorbidity,public
questionnaire_session_result_domains,public
questionnaire_session_results,public
questionnaire_session_tags,public
questionnaire_sessions,public
questionnaire_share_codes,public
questionnaire_tags,public
questionnaire_template,public
questionnaire_versions,public
recovery_code,public
refresh_token,public
report_jobs,public
risk_alert,public
role,public
service_health_snapshots,public
subject,public
subject_guardian,public
synthetic_data_batch,public
system_setting,public
training_dataset,public
training_run,public
user_mfa,public
user_role,public
user_session,public
