feature_name,source,signal_type,relation_with_target,shortcut_evidence,severity,decision
cbcl_108,CBCL,direct_item,direct_elimination_proxy,v11 shortcut equivalent winner,critical,forbid
cbcl_112,CBCL,direct_item,direct_elimination_proxy,v11 shortcut equivalent winner,critical,forbid
shortcut_rule_cbcl108_or_cbcl112,forensic_rule,rule,practical_target_reconstruction,v11 audit psychologist max_diff=0,critical,forbid
v11_core_sum,v11_engineered,derived,inherits_blocked_signal,"cbcl_108,cbcl_112,sdq_impact",high,forbid
v11_core_mean,v11_engineered,derived,inherits_blocked_signal,"cbcl_108,cbcl_112,sdq_impact",high,forbid
v11_core_missing_count,v11_engineered,derived,inherits_blocked_signal,"cbcl_108,cbcl_112,sdq_impact",high,forbid
v11_core_all_present,v11_engineered,derived,inherits_blocked_signal,"cbcl_108,cbcl_112,sdq_impact",high,forbid
v11_parent_nonmissing_ratio,v11_engineered,derived,inherits_blocked_signal,"cbcl_108,cbcl_112,sdq_impact,sdq_conduct_problems,sdq_total_difficulties,conners_total,swan_total,scared_p_total,ari_p_symptom_total,icut_total,mfq_p_total",high,forbid
v11_core_balance_diff,v11_engineered,derived,inherits_blocked_signal,"cbcl_108,cbcl_112",high,forbid
v11_subtype_enuresis_proxy,v11_engineered,derived,inherits_blocked_signal,cbcl_108,high,forbid
v11_subtype_encopresis_proxy,v11_engineered,derived,inherits_blocked_signal,cbcl_112,high,forbid
v11_subtype_gap_proxy,v11_engineered,derived,inherits_blocked_signal,"cbcl_108,cbcl_112",high,forbid
