mode,scenario,threshold_used,precision,recall,specificity,balanced_accuracy,f1,pr_auc,brier,uncertain_rate,uncertainty_usefulness,output_realism_score,delta_ba_vs_baseline_clean
caregiver,baseline_clean,0.42000000000000004,0.868421052631579,0.8198757763975155,0.84,0.8299378881987578,0.8434504792332268,0.9152986120374738,0.13595883397085926,0.0034965034965034965,-0.17192982456140352,0.777960986382039,0.0
caregiver,borderline_cases_threshold_pm_0.08,0.42000000000000004,0.75,0.25,0.9285714285714286,0.5892857142857143,0.375,0.62375,0.24525963165252024,0.038461538461538464,-0.4,0.76,-0.2406521739130435
caregiver,cbcl_coverage_drop,0.42000000000000004,0.8962962962962963,0.7515527950310559,0.888,0.8197763975155279,0.8175675675675675,0.9122284012194433,0.18633910402717016,0.006993006993006993,-0.19014084507042253,0.8561952132374668,-0.010161490683229912
caregiver,feature_perturbation_5pct_std,0.42000000000000004,0.8627450980392157,0.8198757763975155,0.832,0.8259378881987578,0.8407643312101911,0.9131634209881441,0.1366368322686837,0.0,-0.17482517482517482,0.7702797202797202,-0.0040000000000000036
caregiver,missingness_light_10pct,0.42000000000000004,0.8544303797468354,0.8385093167701864,0.816,0.8272546583850932,0.8463949843260188,0.909484177633345,0.14039222508857543,0.0034965034965034965,-0.17192982456140352,0.7898490982701509,-0.002683229813664645
caregiver,missingness_moderate_25pct,0.42000000000000004,0.8051948051948052,0.7701863354037267,0.76,0.7650931677018633,0.7873015873015873,0.8727526531368748,0.17012850321862225,0.0034965034965034965,0.7684210526315789,0.9167832167832168,-0.06484472049689449
caregiver,partial_coverage_random_40pct,0.42000000000000004,0.8132530120481928,0.8385093167701864,0.752,0.7952546583850932,0.8256880733944955,0.8772916073790782,0.1644964430975471,0.0,-0.1993006993006993,0.8388111888111889,-0.03468322981366456
caregiver,source_mix_shift,0.42000000000000004,0.8375,0.8322981366459627,0.792,0.8121490683229814,0.8348909657320872,0.9183910684156329,0.1361180763284593,0.0034965034965034965,-0.18596491228070175,0.7873721015826279,-0.017788819875776407
caregiver,threshold_stress_minus_0.05,0.37000000000000005,0.868421052631579,0.8198757763975155,0.84,0.8299378881987578,0.8434504792332268,0.9152986120374738,0.13595883397085926,0.08391608391608392,0.22232824427480916,0.8395104895104895,0.0
caregiver,threshold_stress_plus_0.05,0.47000000000000003,0.868421052631579,0.8198757763975155,0.84,0.8299378881987578,0.8434504792332268,0.9152986120374738,0.13595883397085926,0.013986013986013986,0.0797872340425532,0.893006993006993,0.0
psychologist,baseline_clean,0.37500000000000006,0.8475609756097561,0.8633540372670807,0.8,0.8316770186335404,0.8553846153846154,0.9121638790674771,0.13463079845418852,0.1258741258741259,0.034444444444444444,0.8513986013986015,0.0
psychologist,borderline_cases_threshold_pm_0.08,0.37500000000000006,0.5,0.2857142857142857,0.9310344827586207,0.6083743842364532,0.36363636363636365,0.33333333333333337,0.1866748629257352,1.0,0.19444444444444445,1.0,-0.2233026343970872
psychologist,cbcl_coverage_drop,0.37500000000000006,0.8627450980392157,0.8198757763975155,0.832,0.8259378881987578,0.8407643312101911,0.9095912981464573,0.16914734261735223,0.16433566433566432,0.17270542152586132,0.9405594405594405,-0.00573913043478258
psychologist,feature_perturbation_5pct_std,0.37500000000000006,0.8571428571428571,0.8571428571428571,0.816,0.8365714285714285,0.8571428571428571,0.9132881334299519,0.13535715621231703,0.12237762237762238,0.01206602162777462,0.8335664335664336,0.0048944099378881445
psychologist,missingness_light_10pct,0.37500000000000006,0.8273809523809523,0.8633540372670807,0.768,0.8156770186335404,0.8449848024316109,0.9039420178754178,0.1416920467602397,0.13636363636363635,0.06072874493927127,0.8513986013986015,-0.016000000000000014
psychologist,missingness_moderate_25pct,0.37500000000000006,0.8117647058823529,0.8571428571428571,0.744,0.8005714285714285,0.8338368580060423,0.9004336029860055,0.14945702728061058,0.17832167832167833,0.07617855652899455,0.8811188811188811,-0.031105590062111887
psychologist,partial_coverage_random_40pct,0.37500000000000006,0.7624309392265194,0.8571428571428571,0.656,0.7565714285714286,0.8070175438596491,0.8755028561777566,0.16679647788692153,0.2097902097902098,0.08761061946902654,0.8989510489510489,-0.07510559006211182
psychologist,source_mix_shift,0.37500000000000006,0.8424242424242424,0.8633540372670807,0.792,0.8276770186335404,0.852760736196319,0.9121619135381243,0.1332628467122676,0.13986013986013987,0.12459349593495936,0.8632867132867132,-0.0040000000000000036
psychologist,threshold_stress_minus_0.05,0.32500000000000007,0.7384615384615385,0.8944099378881988,0.592,0.7432049689440994,0.8089887640449438,0.9121638790674771,0.13463079845418852,0.15384615384615385,0.524793388429752,0.8395104895104895,-0.088472049689441
psychologist,threshold_stress_plus_0.05,0.42500000000000004,0.8509316770186336,0.8509316770186336,0.808,0.8294658385093168,0.8509316770186336,0.9121638790674771,0.13463079845418852,0.12937062937062938,0.08661673721914687,0.8157342657342658,-0.0022111801242236107
