mode,operating_mode,threshold,uncertainty_band,precision,recall,specificity,balanced_accuracy,f1,pr_auc,brier,uncertain_rate,uncertainty_usefulness,output_realism_score,objective,source_feature_set,source_family,source_calibration
caregiver,conservative_probability,0.42000000000000004,0.06,0.868421052631579,0.8198757763975155,0.84,0.8299378881987578,0.8434504792332268,0.9152986120374738,0.13595883397085926,0.0034965034965034965,-0.17192982456140352,0.777960986382039,0.8494092712722161,compact_clinical_clean,rf,isotonic
caregiver,balanced,0.36000000000000004,0.08,0.8627450980392157,0.8198757763975155,0.832,0.8259378881987578,0.8407643312101911,0.9152986120374738,0.13595883397085926,0.24125874125874125,0.17070727309156483,0.8395104895104895,0.8471578780833617,compact_clinical_clean,rf,isotonic
caregiver,uncertainty_preferred,0.36000000000000004,0.16,0.8627450980392157,0.8198757763975155,0.832,0.8259378881987578,0.8407643312101911,0.9152986120374738,0.13595883397085926,0.26223776223776224,0.17870458135860978,0.8395104895104895,0.8471578780833617,compact_clinical_clean,rf,isotonic
caregiver,recall_first_screening,0.29000000000000004,0.1,0.6877828054298643,0.9440993788819876,0.448,0.6960496894409938,0.7958115183246073,0.9152986120374738,0.13595883397085926,0.2517482517482518,0.5636033229491173,0.8692307692307693,0.8065085652478594,compact_clinical_clean,rf,isotonic
caregiver,professional_detail_only,0.33000000000000007,0.14,0.8011363636363636,0.8757763975155279,0.72,0.797888198757764,0.8367952522255193,0.9152986120374738,0.13595883397085926,0.2517482517482518,0.2441588785046729,0.8395104895104895,0.792074331898089,compact_clinical_clean,rf,isotonic
psychologist,balanced,0.37500000000000006,0.08,0.8475609756097561,0.8633540372670807,0.8,0.8316770186335404,0.8553846153846154,0.9121638790674771,0.13463079845418852,0.1258741258741259,0.034444444444444444,0.8513986013986015,0.8574211141946754,compact_clinical_clean,rf,isotonic
psychologist,uncertainty_preferred,0.37500000000000006,0.16,0.8475609756097561,0.8633540372670807,0.8,0.8316770186335404,0.8553846153846154,0.9121638790674771,0.13463079845418852,0.2867132867132867,0.14574366331898614,0.8513986013986015,0.8574211141946754,compact_clinical_clean,rf,isotonic
psychologist,conservative_probability,0.43500000000000005,0.06,0.85625,0.8509316770186336,0.816,0.8334658385093168,0.8535825545171339,0.9121638790674771,0.13463079845418852,0.02097902097902098,0.34285714285714286,0.8157342657342658,0.8562449647476219,compact_clinical_clean,rf,isotonic
psychologist,professional_detail_only,0.3450000000000001,0.14,0.7384615384615385,0.8944099378881988,0.592,0.7432049689440994,0.8089887640449438,0.9121638790674771,0.13463079845418852,0.22727272727272727,0.4687782805429864,0.8513986013986015,0.8178549563864179,compact_clinical_clean,rf,isotonic
psychologist,recall_first_screening,0.30500000000000005,0.1,0.7346938775510204,0.8944099378881988,0.584,0.7392049689440994,0.8067226890756303,0.9121638790674771,0.13463079845418852,0.21328671328671328,0.4643351548269581,0.8692307692307693,0.8158898072498403,compact_clinical_clean,rf,isotonic
