mode,domain,feature_set,family,n_features,calibration,threshold,fit_seconds,seed_std_balanced_accuracy,stability,operational_complexity,maintenance_complexity,objective
caregiver,elimination,compact_clinical_clean,rf,21,isotonic,0.36000000000000004,1.184311866760254,0.0017141456819613624,high,1.5,2.0176470588235293,0.8532035053164699
caregiver,elimination,proxy_pruned_clean,rf,14,isotonic,0.405,1.0890066623687744,0.0033496072781673087,high,1.3333333333333333,1.8117647058823527,0.8519097069979186
caregiver,elimination,subtype_aware_clean,rf,12,isotonic,0.38000000000000006,1.056696891784668,0.00716304884536358,high,1.2857142857142856,1.7529411764705882,0.8505429526559972
caregiver,elimination,impact_burden_clean,rf,25,isotonic,0.41000000000000003,1.166980504989624,0.0025705182373579882,high,1.5952380952380953,2.135294117647059,0.8502029043761629
caregiver,elimination,missingness_aware_clean,rf,24,isotonic,0.41000000000000003,1.1749954223632812,0.003579096398499613,high,1.5714285714285714,2.1058823529411765,0.8490141894487413
caregiver,elimination,missingness_aware_clean,xgboost,24,isotonic,0.44500000000000006,0.2129974365234375,0.0004216288881608955,high,2.571428571428571,3.1058823529411765,0.8449358295420004
caregiver,elimination,hybrid_clean_best_effort,rf,33,isotonic,0.43000000000000005,1.1693241596221924,0.007834097141833442,high,1.7857142857142856,2.3705882352941177,0.8358708656329097
caregiver,elimination,source_semantics_clean,rf,33,isotonic,0.43000000000000005,1.2165608406066895,0.007834097141833442,high,1.7857142857142856,2.3705882352941177,0.8358708656329097
caregiver,elimination,hybrid_clean_best_effort,xgboost,33,isotonic,0.45500000000000007,0.281003475189209,0.006390209366699142,high,2.7857142857142856,3.3705882352941177,0.8357718113851431
caregiver,elimination,source_semantics_clean,xgboost,33,isotonic,0.45500000000000007,0.29900503158569336,0.006390209366699142,high,2.7857142857142856,3.3705882352941177,0.8357718113851431
caregiver,elimination,missingness_aware_clean,lightgbm,24,isotonic,0.225,0.2890007495880127,0.005801689991188322,high,2.3714285714285714,2.9058823529411764,0.833103247540456
caregiver,elimination,baseline_clean_no_shortcuts,lightgbm,21,isotonic,0.405,0.217987060546875,0.0013052873805599664,high,2.3,2.8176470588235296,0.8304746179379459
caregiver,elimination,impact_burden_clean,lightgbm,25,isotonic,0.5050000000000001,0.36299848556518555,0.006390209366699142,high,2.395238095238095,2.9352941176470586,0.8292297114290783
caregiver,elimination,compact_clinical_clean,lightgbm,21,isotonic,0.43000000000000005,0.34400153160095215,0.005037661486730753,high,2.3,2.8176470588235296,0.8225272995176064
caregiver,elimination,hybrid_clean_best_effort,lightgbm,33,isotonic,0.45000000000000007,0.4089996814727783,0.005177420918402713,high,2.585714285714286,3.1705882352941175,0.8211506833620202
caregiver,elimination,source_semantics_clean,lightgbm,33,isotonic,0.45000000000000007,0.45699357986450195,0.005177420918402713,high,2.585714285714286,3.1705882352941175,0.8211506833620202
caregiver,elimination,proxy_pruned_clean,xgboost,14,isotonic,0.42500000000000004,0.19598603248596191,0.006077749688411363,high,2.3333333333333335,2.8117647058823527,0.8197991092787508
caregiver,elimination,compact_clinical_clean,xgboost,21,isotonic,0.5050000000000001,0.2389993667602539,0.005983550042987882,high,2.5,3.0176470588235293,0.8178502723638581
caregiver,elimination,impact_burden_clean,xgboost,25,isotonic,0.48000000000000004,0.27300500869750977,0.003873351332064109,high,2.5952380952380953,3.135294117647059,0.8137368452449868
caregiver,elimination,baseline_clean_no_shortcuts,rf,21,isotonic,0.45500000000000007,1.4975693225860596,0.0018856180831641283,high,1.5,2.0176470588235293,0.8126285154071871
caregiver,elimination,baseline_clean_no_shortcuts,xgboost,21,isotonic,0.5050000000000001,0.2220001220703125,0.006513435181380927,high,2.5,3.0176470588235293,0.8118011863321088
caregiver,elimination,subtype_aware_clean,xgboost,12,isotonic,0.36500000000000005,0.17800116539001465,0.007761880186644438,high,2.2857142857142856,2.7529411764705882,0.8056820927982274
caregiver,elimination,proxy_pruned_clean,lightgbm,14,isotonic,0.41500000000000004,0.24598908424377441,0.00982064030366691,high,2.1333333333333333,2.611764705882353,0.8003866940749911
caregiver,elimination,subtype_aware_clean,lightgbm,12,isotonic,0.5050000000000001,0.26599955558776855,0.004988876515698593,high,2.085714285714286,2.552941176470588,0.7973231076215055
psychologist,elimination,compact_clinical_clean,rf,24,isotonic,0.37500000000000006,1.1532166004180908,0.0029084952154502103,high,1.5714285714285714,2.1058823529411765,0.8615209597745984
psychologist,elimination,impact_burden_clean,rf,31,isotonic,0.36000000000000004,1.1968026161193848,0.0032659863237109073,high,1.7380952380952381,2.3117647058823527,0.8594287102809491
psychologist,elimination,proxy_pruned_clean,rf,14,isotonic,0.405,1.0184366703033447,0.0033496072781673087,high,1.3333333333333333,1.8117647058823527,0.8519097069979186
psychologist,elimination,hybrid_clean_best_effort,rf,39,isotonic,0.36000000000000004,1.2659976482391357,0.0046783047767987975,high,1.9285714285714286,2.5470588235294116,0.8438414226197359
psychologist,elimination,source_semantics_clean,rf,39,isotonic,0.36000000000000004,1.1907165050506592,0.0046783047767987975,high,1.9285714285714286,2.5470588235294116,0.8438414226197359
psychologist,elimination,impact_burden_clean,xgboost,31,isotonic,0.35500000000000004,0.3190031051635742,0.005688675469336692,high,2.738095238095238,3.3117647058823527,0.843439789006202
psychologist,elimination,hybrid_clean_best_effort,xgboost,39,isotonic,0.30500000000000005,0.2830073833465576,0.0032659863237109073,high,2.928571428571429,3.5470588235294116,0.8413504037115916
psychologist,elimination,source_semantics_clean,xgboost,39,isotonic,0.30500000000000005,0.37298154830932617,0.0032659863237109073,high,2.928571428571429,3.5470588235294116,0.8413504037115916
psychologist,elimination,impact_burden_clean,lightgbm,31,isotonic,0.5050000000000001,0.4232189655303955,0.005826756448251014,high,2.538095238095238,3.111764705882353,0.8408954906925235
psychologist,elimination,missingness_aware_clean,xgboost,30,isotonic,0.44500000000000006,0.1989917755126953,0.005440634530620308,high,2.7142857142857144,3.2823529411764705,0.8387037506684568
psychologist,elimination,compact_clinical_clean,xgboost,24,isotonic,0.41000000000000003,0.233994722366333,0.0026722418989652916,high,2.571428571428571,3.1058823529411765,0.8373157137269467
psychologist,elimination,missingness_aware_clean,rf,30,isotonic,0.5050000000000001,1.100996494293213,0.001463989195003233,high,1.7142857142857144,2.2823529411764705,0.8354024825538232
psychologist,elimination,missingness_aware_clean,lightgbm,30,isotonic,0.3350000000000001,0.29599547386169434,0.00503766148673073,high,2.5142857142857142,3.0823529411764707,0.8353415923458587
psychologist,elimination,baseline_clean_no_shortcuts,lightgbm,21,isotonic,0.405,0.24205970764160156,0.0013052873805599664,high,2.3,2.8176470588235296,0.8304746179379459
psychologist,elimination,subtype_aware_clean,lightgbm,14,isotonic,0.3350000000000001,0.2779991626739502,0.0025357036674773696,high,2.1333333333333333,2.611764705882353,0.8276904779771848
psychologist,elimination,hybrid_clean_best_effort,lightgbm,39,isotonic,0.41500000000000004,0.4210197925567627,0.0073407448930349365,high,2.7285714285714286,3.347058823529412,0.8259091519335922
psychologist,elimination,source_semantics_clean,lightgbm,39,isotonic,0.41500000000000004,0.3860001564025879,0.0073407448930349365,high,2.7285714285714286,3.347058823529412,0.8259091519335922
psychologist,elimination,subtype_aware_clean,rf,14,isotonic,0.44000000000000006,0.9755549430847168,0.007163048845363572,high,1.3333333333333333,1.8117647058823527,0.8238787843765194
psychologist,elimination,compact_clinical_clean,lightgbm,24,isotonic,0.35000000000000003,0.2939949035644531,0.005826756448251014,high,2.3714285714285714,2.9058823529411764,0.8215472139575873
psychologist,elimination,proxy_pruned_clean,xgboost,14,isotonic,0.42500000000000004,0.14700746536254883,0.006077749688411363,high,2.3333333333333335,2.8117647058823527,0.8197991092787508
psychologist,elimination,baseline_clean_no_shortcuts,rf,21,isotonic,0.45500000000000007,1.2699730396270752,0.0018856180831641283,high,1.5,2.0176470588235293,0.8126285154071871
psychologist,elimination,baseline_clean_no_shortcuts,xgboost,21,isotonic,0.5050000000000001,0.1710062026977539,0.006513435181380927,high,2.5,3.0176470588235293,0.8118011863321088
psychologist,elimination,subtype_aware_clean,xgboost,14,isotonic,0.35500000000000004,0.22800016403198242,0.008512305470217623,high,2.3333333333333335,2.8117647058823527,0.8085503812093818
psychologist,elimination,proxy_pruned_clean,lightgbm,14,isotonic,0.41500000000000004,0.20500564575195312,0.00982064030366691,high,2.1333333333333333,2.611764705882353,0.8003866940749911
