mode,domain,feature_set,family,n_features,feature_preview,calibration,threshold,uncertainty_band,fit_seconds,val_precision,val_recall,val_specificity,val_balanced_accuracy,val_f1,val_roc_auc,val_pr_auc,val_brier,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,tp,fp,fn,tn,seed_std_balanced_accuracy,stability,output_realism_score,uncertain_rate,uncertainty_usefulness,overconfident_error_rate,operational_complexity,maintenance_complexity,objective
caregiver,elimination,proxy_pruned,lightgbm,15,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|cbcl_108|cbcl_112|sdq_impact|sdq_conduct_problems|sdq_total_difficulties|v11_core_sum|v11_core_mean|v11_core_missing_count|v11_parent_nonmissing_ratio,isotonic,0.2,0.08,0.1641101837158203,1.0,0.8944099378881988,1.0,0.9472049689440993,0.9442622950819672,0.9556770186335404,0.975948189698518,0.05158566923272807,0.993421052631579,0.937888198757764,0.992,0.964944099378882,0.9648562300319489,0.9719503105590063,0.9852344424620342,0.03506129166800665,151,1,10,124,0.0018856180831641283,high,0.9940559440559441,0.3916083916083916,0.06886288998357964,0.0034965034965034965,2.175,2.6285714285714286,0.965729327571341
caregiver,elimination,subtype_aware,rf,38,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems,isotonic,0.2,0.08,0.7254650592803955,1.0,0.8944099378881988,1.0,0.9472049689440993,0.9442622950819672,0.9655652173913043,0.9811516474059503,0.04961538461538461,0.993421052631579,0.937888198757764,0.992,0.964944099378882,0.9648562300319489,0.9743105590062111,0.98678091847031,0.03509578615745407,151,1,10,124,0.001463989195003233,high,0.9881118881118881,0.28321678321678323,0.08413128575730201,0.006993006993006993,1.95,2.4857142857142853,0.9656761114865174
caregiver,elimination,proxy_pruned,xgboost,15,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|cbcl_108|cbcl_112|sdq_impact|sdq_conduct_problems|sdq_total_difficulties|v11_core_sum|v11_core_mean|v11_core_missing_count|v11_parent_nonmissing_ratio,isotonic,0.20500000000000002,0.08,0.13707304000854492,1.0,0.8944099378881988,1.0,0.9472049689440993,0.9442622950819672,0.9590807453416149,0.9780119854936157,0.05126348010963395,0.9869281045751634,0.937888198757764,0.984,0.960944099378882,0.9617834394904459,0.9723229813664596,0.9851674343234511,0.03484041395531586,151,2,10,123,0.006390209366699194,high,0.9940559440559441,0.22727272727272727,0.10497737556561086,0.0034965034965034965,2.375,2.8285714285714283,0.963731399234795
caregiver,elimination,compact_clinical_engineered,xgboost,22,age_years|sex_assigned_at_birth|site|release|cbcl_108|cbcl_112|sdq_impact|sdq_conduct_problems|cbcl_internalizing_proxy|cbcl_externalizing_proxy|scared_p_total|ari_p_symptom_total|conners_total|swan_total|v11_core_sum|v11_core_mean|v11_core_balance_diff|v11_parent_nonmissing_ratio|v11_parent_source_count|v11_parent_impact_combo,isotonic,0.255,0.08,0.1693589687347412,1.0,0.8944099378881988,1.0,0.9472049689440993,0.9442622950819672,0.9582360248447206,0.978670136436371,0.05083894093328055,0.993421052631579,0.937888198757764,0.992,0.964944099378882,0.9648562300319489,0.9734161490683231,0.9861246892730466,0.035507825592270996,151,1,10,124,0.0037712361663282566,high,0.9940559440559441,0.08741258741258741,0.08934865900383142,0.0034965034965034965,2.55,3.0285714285714285,0.9628271136686766
caregiver,elimination,proxy_pruned,rf,15,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|cbcl_108|cbcl_112|sdq_impact|sdq_conduct_problems|sdq_total_difficulties|v11_core_sum|v11_core_mean|v11_core_missing_count|v11_parent_nonmissing_ratio,isotonic,0.22000000000000003,0.08,0.8256652355194092,1.0,0.8944099378881988,1.0,0.9472049689440993,0.9442622950819672,0.9604968944099379,0.9788375054480465,0.05088683506703413,0.9743589743589743,0.9440993788819876,0.968,0.9560496894409938,0.9589905362776026,0.9789813664596272,0.9887839259017722,0.03556359517471456,152,4,9,121,1.1102230246251565e-16,high,0.9881118881118881,0.10839160839160839,0.20227703984819734,0.006993006993006993,1.375,1.8285714285714287,0.9625722995987387
caregiver,elimination,hybrid_engineered_best_effort,rf,52,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems,isotonic,0.2,0.08,0.8147335052490234,1.0,0.8944099378881988,1.0,0.9472049689440993,0.9442622950819672,0.9625838509316771,0.9804593921410009,0.05037386855568675,0.9805194805194806,0.937888198757764,0.976,0.956944099378882,0.9587301587301588,0.9721242236024845,0.9858767417290941,0.03483636905376701,151,3,10,122,0.0017141456819613624,high,0.9940559440559441,0.3181818181818182,0.0945054945054945,0.0034965034965034965,2.3,2.8857142857142857,0.9618444305042846
caregiver,elimination,compact_clinical_engineered,lightgbm,22,age_years|sex_assigned_at_birth|site|release|cbcl_108|cbcl_112|sdq_impact|sdq_conduct_problems|cbcl_internalizing_proxy|cbcl_externalizing_proxy|scared_p_total|ari_p_symptom_total|conners_total|swan_total|v11_core_sum|v11_core_mean|v11_core_balance_diff|v11_parent_nonmissing_ratio|v11_parent_source_count|v11_parent_impact_combo,isotonic,0.29500000000000004,0.08,0.16507577896118164,1.0,0.8944099378881988,1.0,0.9472049689440993,0.9442622950819672,0.9605962732919253,0.9793155890652862,0.050091144346505356,0.9869281045751634,0.937888198757764,0.984,0.960944099378882,0.9617834394904459,0.971055900621118,0.9852274069150185,0.036323821043589395,151,2,10,123,0.0018856180831641283,high,0.9583916083916084,0.07692307692307693,0.15151515151515152,0.024475524475524476,2.35,2.8285714285714287,0.9618094373574018
caregiver,elimination,source_semantics_aware,lightgbm,36,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems,isotonic,0.2,0.08,0.17461609840393066,1.0,0.8944099378881988,1.0,0.9472049689440993,0.9442622950819672,0.9599503105590063,0.9783033078092638,0.0511057764789108,0.987012987012987,0.9440993788819876,0.984,0.9640496894409938,0.9650793650793651,0.9741863354037267,0.9866914575579045,0.03287677962608528,152,2,9,123,0.0,high,0.9881118881118881,0.1888111888111888,0.06673052362707535,0.006993006993006993,2.7,3.228571428571428,0.9604915874839842
caregiver,elimination,burden_composites,lightgbm,37,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems,isotonic,0.2,0.08,0.1846017837524414,1.0,0.8944099378881988,1.0,0.9472049689440993,0.9442622950819672,0.9599006211180124,0.9780033137175437,0.05117745502360887,0.993421052631579,0.937888198757764,0.992,0.964944099378882,0.9648562300319489,0.9705590062111801,0.9848039472377003,0.03462168576153746,151,1,10,124,0.001885618083164076,high,0.9940559440559441,0.20279720279720279,0.08151845130066546,0.0034965034965034965,2.725,3.257142857142857,0.9592044089260945
caregiver,elimination,burden_composites,xgboost,37,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems,isotonic,0.2,0.08,0.17812132835388184,1.0,0.8944099378881988,1.0,0.9472049689440993,0.9442622950819672,0.9596024844720498,0.9775606771855677,0.05103185218076563,1.0,0.937888198757764,1.0,0.968944099378882,0.967948717948718,0.9770434782608696,0.9875618871904651,0.03339380047923879,151,0,10,125,0.009662974595210433,high,0.9940559440559441,0.2202797202797203,0.07730087550715353,0.0034965034965034965,2.925,3.457142857142857,0.9577863625836086
