trial_id,residual_critical_features,residual_high_features,leakage_risk_class,blocked_from_promotion
V5_T01_control_replay_v2_best,0,0,low,False
V5_T02_composite_clinical,0,0,low,False
V5_T03_anti_transdiagnostic,0,0,low,False
V5_T04_evidence_quality_meta,0,0,low,False
V5_T05_subtype_auxiliary,0,0,low,False
V5_T06_hard_negative_engineering,0,0,low,False
V5_T07_compact_best_combined,0,0,low,False
V5_T08_two_stage_filter,0,0,low,False
V5_T09_abstention_ready_refit,0,0,low,False
V5_T10_research_context_optional,0,0,low,False
V5_T11_stop_condition_control,0,0,low,False
V5_T12_best_honest_candidate_final,0,0,low,False
