mode,ablation_config,n_features,threshold,precision,recall,specificity,balanced_accuracy,f1,pr_auc,brier,uncertain_rate,uncertainty_usefulness,output_realism_score,delta_ba_vs_winner
caregiver,winner_selected,29,0.31000000000000005,0.8607594936708861,0.84472049689441,0.824,0.834360248447205,0.8526645768025078,0.9115229294695697,0.13267820024478835,0.17482517482517482,0.11593220338983051,0.8632867132867132,0.0
caregiver,drop_burden_context,25,0.37500000000000006,0.85625,0.8509316770186336,0.816,0.8334658385093168,0.8535825545171339,0.9141195025347398,0.13278280256485536,0.017482517482517484,0.2398576512455516,0.887062937062937,-0.000894409937888252
caregiver,drop_top_features_manual,27,0.32500000000000007,0.8636363636363636,0.8260869565217391,0.832,0.8290434782608695,0.8444444444444444,0.9094631036740479,0.13814925075616716,0.24475524475524477,0.1325396825396825,0.8395104895104895,-0.005316770186335473
caregiver,drop_source_aware,24,0.32000000000000006,0.8675496688741722,0.8136645962732919,0.84,0.8268322981366459,0.8397435897435898,0.9092165990756444,0.136866795287271,0.23776223776223776,0.1757960064759849,0.8454545454545455,-0.007527950310559084
caregiver,drop_coverage_features,21,0.36000000000000004,0.8627450980392157,0.8198757763975155,0.832,0.8259378881987578,0.8407643312101911,0.9152986120374738,0.13595883397085926,0.08391608391608392,0.26399491094147587,0.8395104895104895,-0.008422360248447225
caregiver,drop_cbcl_block,25,0.4750000000000001,0.8939393939393939,0.7329192546583851,0.888,0.8104596273291926,0.8054607508532423,0.9103665331768576,0.136899376395984,0.07692307692307693,0.5227272727272727,0.8395104895104895,-0.02390062111801239
psychologist,drop_top_features_manual,22,0.35000000000000003,0.875,0.8260869565217391,0.848,0.8370434782608696,0.8498402555910544,0.9080343064780054,0.13619438787999757,0.36713286713286714,0.13159694817153383,0.8751748251748251,0.005366459627329179
psychologist,drop_burden_context,20,0.44500000000000006,0.8783783783783784,0.8074534161490683,0.856,0.8317267080745341,0.8414239482200647,0.9152945832666695,0.1341764858449019,0.25874125874125875,0.15170831208567057,0.8335664335664336,4.9689440993705425e-05
psychologist,winner_selected,24,0.37500000000000006,0.8475609756097561,0.8633540372670807,0.8,0.8316770186335404,0.8553846153846154,0.9121638790674771,0.13463079845418852,0.2867132867132867,0.14574366331898614,0.8513986013986015,0.0
psychologist,drop_coverage_features,24,0.37500000000000006,0.8475609756097561,0.8633540372670807,0.8,0.8316770186335404,0.8553846153846154,0.9121638790674771,0.13463079845418852,0.2867132867132867,0.14574366331898614,0.8513986013986015,0.0
psychologist,drop_source_aware,20,0.39,0.8589743589743589,0.8322981366459627,0.824,0.8281490683229813,0.8454258675078864,0.9047947725054535,0.13943608137686545,0.25524475524475526,0.13782236799794198,0.8276223776223777,-0.0035279503105590804
psychologist,drop_cbcl_block,20,0.405,0.8461538461538461,0.8198757763975155,0.808,0.8139378881987578,0.832807570977918,0.903915166593225,0.1404823977905735,0.2097902097902098,0.20840707964601768,0.8097902097902098,-0.01773913043478259
