mode,source_strategy,gate_name,threshold,uncertainty_band,coverage_rate,uncertain_rate,precision_decided,recall_decided,specificity_decided,balanced_accuracy_decided,f1_decided,pr_auc_decided,brier_decided,uncertainty_usefulness,output_realism_score,uncertainty_objective
caregiver,balanced,gate_none,0.31000000000000005,0.04,0.8251748251748252,0.1748251748251748,0.8607594936708861,0.918918918918919,0.75,0.8344594594594594,0.8888888888888888,0.9307501283571624,0.11957458158904963,0.11593220338983051,0.8632867132867132,0.7494101049654578
caregiver,balanced,gate_none,0.31000000000000005,0.06,0.8251748251748252,0.1748251748251748,0.8607594936708861,0.918918918918919,0.75,0.8344594594594594,0.8888888888888888,0.9307501283571624,0.11957458158904963,0.11593220338983051,0.8632867132867132,0.7494101049654578
caregiver,balanced,gate_none,0.31000000000000005,0.08,0.8251748251748252,0.1748251748251748,0.8607594936708861,0.918918918918919,0.75,0.8344594594594594,0.8888888888888888,0.9307501283571624,0.11957458158904963,0.11593220338983051,0.8632867132867132,0.7494101049654578
caregiver,balanced,gate_none,0.31000000000000005,0.1,0.7622377622377622,0.23776223776223782,0.8607594936708861,0.9444444444444444,0.7027027027027027,0.8235735735735736,0.9006622516556292,0.9362999282712166,0.11517445416092581,0.11238532110091742,0.8632867132867132,0.7416685029125513
caregiver,balanced,gate_none,0.31000000000000005,0.12,0.7587412587412588,0.24125874125874125,0.8607594936708861,0.9444444444444444,0.6986301369863014,0.8215372907153728,0.9006622516556292,0.9365334521352879,0.11553821847764917,0.10812796366793562,0.8632867132867132,0.7398595738807032
caregiver,balanced,gate_none,0.31000000000000005,0.16,0.7587412587412588,0.24125874125874125,0.8607594936708861,0.9444444444444444,0.6986301369863014,0.8215372907153728,0.9006622516556292,0.9365334521352879,0.11553821847764917,0.10812796366793562,0.8632867132867132,0.7398595738807032
caregiver,balanced,gate_none,0.31000000000000005,0.2,0.583916083916084,0.41608391608391604,0.8607594936708861,0.9927007299270073,0.26666666666666666,0.629683698296837,0.9220338983050848,0.9460359199428053,0.11386767445040107,0.06395612137070397,0.8632867132867132,0.6592872003543447
psychologist,balanced,gate_none,0.37500000000000006,0.16,0.7132867132867133,0.28671328671328666,0.8732394366197183,0.9465648854961832,0.7534246575342466,0.849994771515215,0.9084249084249084,0.9445787268408063,0.10184702573220622,0.14574366331898614,0.8513986013986015,0.7491473430903283
psychologist,balanced,gate_none,0.37500000000000006,0.2,0.7132867132867133,0.28671328671328666,0.8732394366197183,0.9465648854961832,0.7534246575342466,0.849994771515215,0.9084249084249084,0.9445787268408063,0.10184702573220622,0.14574366331898614,0.8513986013986015,0.7491473430903283
psychologist,balanced,gate_none,0.37500000000000006,0.12,0.8356643356643356,0.16433566433566438,0.8607594936708861,0.912751677852349,0.7555555555555555,0.8341536167039523,0.8859934853420195,0.9316232737553328,0.12052649428978639,0.10887563429181873,0.8513986013986015,0.7484580505964489
psychologist,balanced,gate_none,0.37500000000000006,0.1,0.8706293706293706,0.12937062937062938,0.8616352201257862,0.8896103896103896,0.7684210526315789,0.8290157211209843,0.8753993610223643,0.927832928007813,0.12679770313121158,0.05958971019211984,0.8513986013986015,0.739695648691174
psychologist,balanced,gate_none,0.37500000000000006,0.06,0.8776223776223776,0.1223776223776224,0.85625,0.8896103896103896,0.7628865979381443,0.8262484937742669,0.8726114649681529,0.9269053041023316,0.12701996637164753,0.0406374501992032,0.8513986013986015,0.7363337395882346
psychologist,balanced,gate_none,0.37500000000000006,0.08,0.8741258741258742,0.12587412587412583,0.85625,0.8896103896103896,0.7604166666666666,0.8250135281385281,0.8726114649681529,0.9273665690371986,0.12713645317028582,0.034444444444444444,0.8513986013986015,0.7344748584748585
psychologist,balanced,gate_none,0.37500000000000006,0.04,0.8846153846153846,0.11538461538461542,0.845679012345679,0.8896103896103896,0.7474747474747475,0.8185425685425686,0.8670886075949367,0.925997722219829,0.12744373445011195,-0.014492753623188415,0.8427029492246884,0.7252856644160992
