feature_name,source_table,source_column,semantic_relation_to_target,risk_level,why_flagged,suggested_action,corr_target
cbcl_112,cbcl,cbcl_112,strong_proxy,low,general_feature,keep,0.7071739312626534
cbcl_108,cbcl,cbcl_108,strong_proxy,low,general_feature,keep,0.6622338328750397
sdq_total_difficulties,sdq,sdq_total_difficulties,strong_proxy,low,general_feature,keep,0.6322312720728738
cbcl_099,cbcl,cbcl_099,strong_proxy,low,general_feature,keep,0.6239858702842196
sdq_hyperactivity_inattention,sdq,sdq_hyperactivity_inattention,strong_proxy,low,general_feature,keep,0.6209724513529952
sdq_conduct_problems,sdq,sdq_conduct_problems,strong_proxy,low,general_feature,keep,0.6189002293583309
sdq_peer_problems,sdq,sdq_peer_problems,strong_proxy,low,general_feature,keep,0.6101984145943723
cbcl_118,cbcl,cbcl_118,strong_proxy,low,general_feature,keep,-0.6083459776454537
cbcl_104,cbcl,cbcl_104,strong_proxy,low,general_feature,keep,0.6042157817233023
cbcl_094,cbcl,cbcl_094,strong_proxy,low,general_feature,keep,0.5967922937244365
cbcl_114,cbcl,cbcl_114,strong_proxy,low,general_feature,keep,-0.5872271658913486
cbcl_anxious_depressed_proxy,cbcl,cbcl_anxious_depressed_proxy,strong_proxy,low,general_feature,keep,0.5866314897489112
cbcl_109,cbcl,cbcl_109,strong_proxy,low,general_feature,keep,0.5835660212246395
cbcl_100,cbcl,cbcl_100,strong_proxy,low,general_feature,keep,0.5811574982319536
sdq_15,sdq,sdq_15,strong_proxy,low,general_feature,keep,0.5793149686464016
cbcl_internalizing_proxy,cbcl,cbcl_internalizing_proxy,strong_proxy,low,general_feature,keep,0.5781546509947253
cbcl_106,cbcl,cbcl_106,strong_proxy,low,general_feature,keep,0.5676163664497216
sdq_08,sdq,sdq_08,strong_proxy,low,general_feature,keep,0.5649355727735459
cbcl_113,cbcl,cbcl_113,strong_proxy,low,general_feature,keep,0.5645424322885483
sdq_20,sdq,sdq_20,strong_proxy,low,general_feature,keep,0.5640694302345979
cbcl_092,cbcl,cbcl_092,strong_proxy,low,general_feature,keep,-0.5612108682003986
sdq_16,sdq,sdq_16,strong_proxy,low,general_feature,keep,0.5607538932411995
cbcl_098,cbcl,cbcl_098,strong_proxy,low,general_feature,keep,0.5588132588415209
cbcl_116,cbcl,cbcl_116,strong_proxy,low,general_feature,keep,-0.5586875549814616
sdq_04,sdq,sdq_04,strong_proxy,low,general_feature,keep,0.5556138247955141
cbcl_097,cbcl,cbcl_097,strong_proxy,low,general_feature,keep,0.5553670488396242
