trial_id,scenario,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,brier_score,tn,fp,fn,tp
T01_baseline_replay_controlado,incomplete_inputs,0.9965034965034965,0.9968944099378882,1.0,0.9937888198757764,1.0,0.9968847352024922,1.0,1.0,0.0252743273003384,125,0,1,160
T01_baseline_replay_controlado,contradictory_inputs,0.951048951048951,0.9565217391304348,1.0,0.9130434782608695,1.0,0.9545454545454546,0.9983602484472051,0.9987486155437261,0.0410991566214957,125,0,14,147
T01_baseline_replay_controlado,mixed_comorbidity_signals,0.9790209790209791,0.980472049689441,0.9936305732484076,0.968944099378882,0.992,0.9811320754716981,0.9993540372670807,0.9994973973807351,0.03476972125509049,124,1,5,156
T02_drop_high_risk_semantic_proxies,incomplete_inputs,0.8811188811188811,0.8827826086956522,0.9150326797385621,0.8695652173913043,0.896,0.89171974522293,0.9554782608695652,0.9694183440895925,0.09636121674087933,112,13,21,140
T02_drop_high_risk_semantic_proxies,contradictory_inputs,0.8811188811188811,0.881888198757764,0.9096774193548387,0.8757763975155279,0.888,0.8924050632911392,0.9521490683229814,0.9659136421404229,0.0959063493203439,111,14,20,141
T02_drop_high_risk_semantic_proxies,mixed_comorbidity_signals,0.8811188811188811,0.8792049689440994,0.8944099378881988,0.8944099378881988,0.864,0.8944099378881988,0.9472298136645962,0.9614564255061475,0.0946252842220003,108,17,17,144
T03_drop_high_plus_critical_proxies,incomplete_inputs,0.8846153846153846,0.8787329192546584,0.8764705882352941,0.9254658385093167,0.832,0.9003021148036254,0.9521987577639751,0.967641008866994,0.10001464767989018,104,21,12,149
T03_drop_high_plus_critical_proxies,contradictory_inputs,0.8811188811188811,0.8792049689440994,0.8944099378881988,0.8944099378881988,0.864,0.8944099378881988,0.9434037267080746,0.9599349973995598,0.1011115855503959,108,17,17,144
T03_drop_high_plus_critical_proxies,mixed_comorbidity_signals,0.8706293706293706,0.8645217391304347,0.8647058823529412,0.9130434782608695,0.816,0.8882175226586103,0.9413167701863355,0.9581832488185046,0.10009966682643599,102,23,14,147
T04_strict_semantic_minimal,incomplete_inputs,0.8391608391608392,0.8401490683229813,0.8758169934640523,0.8322981366459627,0.848,0.8535031847133758,0.9299875776397516,0.9511489260806543,0.11459922118245429,106,19,27,134
T04_strict_semantic_minimal,contradictory_inputs,0.8496503496503497,0.8530434782608696,0.8986486486486487,0.8260869565217391,0.88,0.86084142394822,0.9325217391304347,0.9523392270995952,0.11436939725571364,110,15,28,133
T04_strict_semantic_minimal,mixed_comorbidity_signals,0.8566433566433567,0.8592546583850932,0.9,0.8385093167701864,0.88,0.8681672025723473,0.93455900621118,0.9531641729125473,0.10933179825735115,110,15,26,135
T05_compact_low_complexity_rf,incomplete_inputs,0.5629370629370629,0.5,0.5629370629370629,1.0,0.0,0.7203579418344519,0.5189316770186336,0.6188240181089131,0.2509844871482521,0,125,0,161
T05_compact_low_complexity_rf,contradictory_inputs,0.5629370629370629,0.5,0.5629370629370629,1.0,0.0,0.7203579418344519,0.47734161490683236,0.5525169733371131,0.25348950406695214,0,125,0,161
T05_compact_low_complexity_rf,mixed_comorbidity_signals,0.5629370629370629,0.5,0.5629370629370629,1.0,0.0,0.7203579418344519,0.5210434782608696,0.5727941771785099,0.2510389308760254,0,125,0,161
T06_stability_first_rf,incomplete_inputs,0.8531468531468531,0.8579378881987578,0.9103448275862069,0.8198757763975155,0.896,0.8627450980392157,0.9497142857142858,0.9654284428231765,0.09882483218990454,112,13,29,132
T06_stability_first_rf,contradictory_inputs,0.8636363636363636,0.8690434782608696,0.9236111111111112,0.8260869565217391,0.912,0.8721311475409836,0.9535900621118013,0.9665372101302747,0.09580364713449308,114,11,28,133
T06_stability_first_rf,mixed_comorbidity_signals,0.8601398601398601,0.8641490683229813,0.9115646258503401,0.8322981366459627,0.896,0.8701298701298701,0.9502608695652174,0.9632407101284418,0.09583679732939573,112,13,27,134
T07_missingness_augmented_honest_run,incomplete_inputs,0.8776223776223776,0.8725217391304347,0.875,0.9130434782608695,0.832,0.8936170212765957,0.9561739130434782,0.9702065811399856,0.09217149013409029,104,21,14,147
T07_missingness_augmented_honest_run,contradictory_inputs,0.8881118881118881,0.885416149068323,0.8957055214723927,0.906832298136646,0.864,0.9012345679012346,0.9511055900621119,0.9663253353018828,0.09472571694343876,108,17,15,146
T07_missingness_augmented_honest_run,mixed_comorbidity_signals,0.8846153846153846,0.8796273291925465,0.8809523809523809,0.9192546583850931,0.84,0.8996960486322189,0.9507577639751553,0.9657327237876958,0.09207130291408637,105,20,13,148
T08_threshold_conservative_run,incomplete_inputs,0.6783216783216783,0.7142857142857143,1.0,0.42857142857142855,1.0,0.6,0.9600000000000001,0.9733768947114153,0.09158550923585052,125,0,92,69
T08_threshold_conservative_run,contradictory_inputs,0.7027972027972028,0.7360248447204969,1.0,0.4720496894409938,1.0,0.6413502109704642,0.9540869565217391,0.9672548321299076,0.09347834238744883,125,0,85,76
T08_threshold_conservative_run,mixed_comorbidity_signals,0.7307692307692307,0.7608695652173914,1.0,0.5217391304347826,1.0,0.6857142857142857,0.9573167701863353,0.9687770185826602,0.08904921857085775,125,0,77,84
T09_calibrated_run,incomplete_inputs,0.8776223776223776,0.873416149068323,0.8795180722891566,0.906832298136646,0.84,0.8929663608562691,0.9535900621118012,0.9686134532447678,0.08369438679779496,105,20,15,146
