trial_id,test_type,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,brier_score,tn,fp,fn,tp
V3_T01_control_replay_parent,noise_level_1,0.9895104895104895,0.9906832298136645,1.0,0.9813664596273292,1.0,0.9905956112852664,0.9999006211180124,0.9999237892009298,0.03215330009447994,125,0,3,158
V3_T01_control_replay_parent,noise_level_2,0.9370629370629371,0.9440993788819876,1.0,0.8881987577639752,1.0,0.9407894736842105,0.9949813664596272,0.9964538108450663,0.052465910733878976,125,0,18,143
V3_T02_compact_pruned_specificity_first,noise_level_1,0.7832167832167832,0.8038757763975155,0.9626168224299065,0.639751552795031,0.968,0.7686567164179104,0.9312298136645963,0.9497610079197184,0.1125676198994204,121,4,58,103
V3_T02_compact_pruned_specificity_first,noise_level_2,0.7447552447552448,0.7706086956521738,0.9680851063829787,0.5652173913043478,0.976,0.7137254901960784,0.9280496894409938,0.9485947597896941,0.11843859936235313,122,3,70,91
V3_T03_low_missingness_specific_subset,noise_level_1,0.9020979020979021,0.8987329192546584,0.9030303030303031,0.9254658385093167,0.872,0.9141104294478528,0.9580124223602484,0.9707857211756905,0.08732340366484732,109,16,12,149
V3_T03_low_missingness_specific_subset,noise_level_2,0.8951048951048951,0.893416149068323,0.906832298136646,0.906832298136646,0.88,0.906832298136646,0.9507080745341615,0.9672171945930669,0.09636690559559158,110,15,15,146
V3_T04_comorbidity_aware_conservative_subset,noise_level_1,0.8111888111888111,0.8305093167701862,0.9819819819819819,0.6770186335403726,0.984,0.8014705882352942,0.9495155279503106,0.9652290142921748,0.09591378529070033,123,2,52,109
V3_T04_comorbidity_aware_conservative_subset,noise_level_2,0.7692307692307693,0.7941366459627329,0.9896907216494846,0.5962732919254659,0.992,0.7441860465116279,0.9529440993788821,0.9658315586016633,0.10094811983636577,124,1,65,96
V3_T05_calibration_refinement,noise_level_1,0.8846153846153846,0.8832049689440994,0.9,0.8944099378881988,0.872,0.897196261682243,0.9504099378881986,0.9647514620110953,0.08581822609300713,109,16,17,144
V3_T05_calibration_refinement,noise_level_2,0.8741258741258742,0.873888198757764,0.8980891719745223,0.8757763975155279,0.872,0.8867924528301887,0.9466335403726708,0.9600505470948794,0.08950960307788616,109,16,20,141
V3_T06_threshold_refinement,noise_level_1,0.965034965034965,0.968944099378882,1.0,0.937888198757764,1.0,0.967948717948718,0.9991552795031056,0.9993494858997525,0.03825236096621074,125,0,10,151
V3_T06_threshold_refinement,noise_level_2,0.9475524475524476,0.9516273291925466,0.9866666666666667,0.9192546583850931,0.984,0.9517684887459807,0.9944844720496895,0.9957988988065106,0.048989867814755776,123,2,13,148
V3_T07_abstention_assisted_operating_mode,noise_level_1,0.8846153846153846,0.8805217391304347,0.8855421686746988,0.9130434782608695,0.848,0.8990825688073395,0.9474285714285714,0.9648055030956162,0.09514241878469493,106,19,14,147
V3_T07_abstention_assisted_operating_mode,noise_level_2,0.8741258741258742,0.8720993788819875,0.8881987577639752,0.8881987577639752,0.856,0.8881987577639752,0.9449937888198758,0.9624209139738287,0.10269214093475722,107,18,18,143
V3_T08_ultra_compact_thesis_variant,noise_level_1,0.5629370629370629,0.5,0.5629370629370629,1.0,0.0,0.7203579418344519,0.46501863354037265,0.5649909426605366,0.2461682240320733,0,125,0,161
V3_T08_ultra_compact_thesis_variant,noise_level_2,0.5629370629370629,0.5,0.5629370629370629,1.0,0.0,0.7203579418344519,0.5054906832298136,0.5869550031038397,0.24603445919715353,0,125,0,161
V3_T09_optional_research_context,noise_level_1,0.9755244755244755,0.9782608695652174,1.0,0.9565217391304348,1.0,0.9777777777777777,0.9987080745341615,0.9990286593037103,0.03703096398634548,125,0,7,154
V3_T09_optional_research_context,noise_level_2,0.9405594405594405,0.9472049689440993,1.0,0.8944099378881988,1.0,0.9442622950819672,0.9980124223602485,0.9984841715639575,0.04825524930965921,125,0,17,144
V3_T10_stop_condition_control,noise_level_1,0.7972027972027972,0.817192546583851,0.9724770642201835,0.6583850931677019,0.976,0.7851851851851852,0.94544099378882,0.9617477140666568,0.09220678121092482,122,3,55,106
V3_T10_stop_condition_control,noise_level_2,0.7692307692307693,0.7941366459627329,0.9896907216494846,0.5962732919254659,0.992,0.7441860465116279,0.9410683229813664,0.9581310724104284,0.09510891237773797,124,1,65,96
