trial_id,train_precision,train_balanced_accuracy,val_precision,val_balanced_accuracy,test_precision,test_balanced_accuracy,test_recall,test_specificity,test_f1,test_pr_auc,test_roc_auc,brier_val,brier_test,seed_std_balacc,split_std_balacc,threshold_used,residual_critical,residual_high,suspicious_perfect_score,preliminary_decision
V3_T01_control_replay_parent,1.0,1.0,1.0,1.0,1.0,0.9875776397515528,0.9751552795031055,1.0,0.9874213836477987,1.0,1.0,0.016968249079418542,0.02703226257304091,0.004201150081490732,0.005278488109309318,0.6,0,78,True,blocked_perfect_score
V3_T02_compact_pruned_specificity_first,0.9893805309734514,0.8665120207272861,0.9917355371900827,0.8686708074534162,0.963963963963964,0.8162981366459627,0.6645962732919255,0.968,0.7867647058823529,0.9525284494474515,0.9357018633540374,0.09210459497459947,0.10814822584334294,0.007123318311942832,0.015843353567093287,0.7,0,0,False,candidate_incremental
V3_T03_low_missingness_specific_subset,0.9430463576158941,0.9363990918079613,0.948051948051948,0.921416149068323,0.9096385542168675,0.908944099378882,0.937888198757764,0.88,0.9235474006116208,0.9717601887899943,0.9601490683229814,0.07926698628380328,0.08412367292483429,0.005141036474716057,0.014688593406607527,0.39999999999999997,0,0,False,candidate_incremental
V3_T04_comorbidity_aware_conservative_subset,0.9965397923875432,0.8812575530083862,0.991869918699187,0.8748819875776397,0.9734513274336283,0.8296149068322981,0.6832298136645962,0.976,0.8029197080291971,0.9643725062938191,0.9501614906832299,0.08494558960969154,0.0936286180489042,0.002307246971325024,0.01629254730868463,0.7,0,0,False,candidate_incremental
V3_T05_calibration_refinement,0.9465753424657535,0.9258786666422529,0.9527027027027027,0.9098881987577639,0.90625,0.8903105590062113,0.9006211180124224,0.88,0.9034267912772586,0.9641783309470014,0.9506086956521739,0.078941384442028,0.08548353191726132,0.00961025846909905,0.01233366263861009,0.49999999999999994,0,0,False,candidate_incremental
V3_T06_threshold_refinement,1.0,0.9993351063829787,1.0,1.0,1.0,0.9875776397515528,0.9751552795031055,1.0,0.9874213836477987,0.9999616593819493,0.9999503105590062,0.018001609517513166,0.028273917974268176,0.0050714073349548295,0.005855956780012827,0.6,0,72,True,blocked_perfect_score
V3_T07_abstention_assisted_operating_mode,0.9410977242302544,0.9295544640568353,0.9470198675496688,0.9120993788819876,0.891566265060241,0.8876273291925465,0.9192546583850931,0.856,0.9051987767584098,0.96523759106069,0.9506086956521739,0.08506256420576638,0.09212218119109832,0.004544448845732608,0.0078059969773531124,0.39999999999999997,0,0,False,candidate_incremental
V3_T08_ultra_compact_thesis_variant,0.5641410352588146,0.5,0.5629370629370629,0.5,0.5629370629370629,0.5,1.0,0.0,0.7203579418344519,0.5641492457974108,0.4717018633540373,0.24584815895339426,0.24616028348093136,0.0,0.0,0.05,0,0,True,blocked_perfect_score
V3_T09_optional_research_context,1.0,0.9980053191489362,1.0,1.0,1.0,0.9937888198757764,0.9875776397515528,1.0,0.99375,0.9998852104423942,0.9998509316770186,0.014601702824205169,0.02615345571432247,0.008151146867507057,0.0050714073349548295,0.6,0,77,True,blocked_perfect_score
V3_T10_stop_condition_control,0.9965034965034965,0.8772681913062585,0.9918032786885246,0.8717763975155279,0.9732142857142857,0.8265093167701862,0.6770186335403726,0.976,0.7985347985347986,0.9623045696266448,0.947080745341615,0.0794760691528102,0.09073732380981188,0.0038733513320641485,0.028045998310857287,0.9,0,0,False,candidate_incremental
