trial_id,parent_model,hypothesis_linked,feature_strategy,threshold_strategy,calibration_strategy,hyperparameters,dataset_key,n_features,n_removed,non_promotable,preliminary_decision
V3_T01_control_replay_parent,T02_drop_high_risk_semantic_proxies,control,replay_parent_semantic_pruned,balanced,none,"{""n_estimators"": 220, ""max_depth"": 6, ""min_samples_leaf"": 8, ""min_samples_split"": 20, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",strict,280,49,False,blocked_perfect_score
V3_T02_compact_pruned_specificity_first,T02_drop_high_risk_semantic_proxies,"H1,H2",drop_high_and_critical_plus_q,conservative,none,"{""n_estimators"": 220, ""max_depth"": 5, ""min_samples_leaf"": 12, ""min_samples_split"": 26, ""max_features"": ""log2"", ""class_weight"": ""balanced""}",strict,220,174,False,candidate_incremental
V3_T03_low_missingness_specific_subset,T02_drop_high_risk_semantic_proxies,"H2,H5",low_missingness_specific_subset,balanced,none,"{""n_estimators"": 260, ""max_depth"": 6, ""min_samples_leaf"": 10, ""min_samples_split"": 24, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",strict,159,174,False,candidate_incremental
V3_T04_comorbidity_aware_conservative_subset,T02_drop_high_risk_semantic_proxies,"H1,H5",drop_comorbidity_helpers,conservative,none,"{""n_estimators"": 240, ""max_depth"": 5, ""min_samples_leaf"": 10, ""min_samples_split"": 24, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",strict,284,174,False,candidate_incremental
V3_T05_calibration_refinement,T02_drop_high_risk_semantic_proxies,H4,parent_plus_sigmoid,balanced,sigmoid,"{""n_estimators"": 220, ""max_depth"": 6, ""min_samples_leaf"": 9, ""min_samples_split"": 22, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",strict,240,174,False,candidate_incremental
V3_T06_threshold_refinement,T02_drop_high_risk_semantic_proxies,H4,parent_precision_threshold,precision,none,"{""n_estimators"": 220, ""max_depth"": 6, ""min_samples_leaf"": 8, ""min_samples_split"": 20, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",strict,260,49,False,blocked_perfect_score
V3_T07_abstention_assisted_operating_mode,T02_drop_high_risk_semantic_proxies,H3,parent_plus_missingness,balanced,none,"{""n_estimators"": 240, ""max_depth"": 6, ""min_samples_leaf"": 10, ""min_samples_split"": 24, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",strict,314,174,False,candidate_incremental
V3_T08_ultra_compact_thesis_variant,T02_drop_high_risk_semantic_proxies,"H2,H5",ultra_compact_defensible,conservative,sigmoid,"{""n_estimators"": 180, ""max_depth"": 5, ""min_samples_leaf"": 12, ""min_samples_split"": 26, ""max_features"": ""log2"", ""class_weight"": ""balanced_subsample""}",compact,6,127,False,blocked_perfect_score
V3_T09_optional_research_context,T02_drop_high_risk_semantic_proxies,context_only,research_secondary_non_promotable,balanced,none,"{""n_estimators"": 220, ""max_depth"": 6, ""min_samples_leaf"": 8, ""min_samples_split"": 20, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",research,260,105,True,blocked_perfect_score
V3_T10_stop_condition_control,T02_drop_high_risk_semantic_proxies,H6,stability_first_stop_probe,conservative,sigmoid,"{""n_estimators"": 300, ""max_depth"": 5, ""min_samples_leaf"": 12, ""min_samples_split"": 28, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",strict,274,174,False,candidate_incremental
