mode,domain,target_variant,round_id,family,feature_variant,seed,status,error,n_features,config_id,calibration,threshold_policy,threshold,abstention_band,abstention_coverage,val_objective,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,high_conf_precision,input_missing_ratio
caregiver,adhd,baseline,1,rf,base,11,ok,,23,rf_default,isotonic,precision_guarded,0.45999999999999996,0.05,0.8706293706293706,0.9326050359442831,0.9432624113475178,0.8260869565217391,0.936,0.8810434782608696,0.8807947019867549,0.9540124223602484,0.9566333450748143,0.08282861916571156,0.9432624113475178,0.08300395256916995
caregiver,adhd,baseline,1,rf,engineered,11,ok,,35,rf_default,isotonic,precision_guarded,0.605,0.05,0.9825174825174825,0.9343708717161698,0.9496402877697842,0.8198757763975155,0.944,0.8819378881987577,0.88,0.9481242236024845,0.9484400361024254,0.08442564130223755,0.9496402877697842,0.05874125874125875
caregiver,adhd,baseline,1,xgboost,base,11,ok,,23,xgboost_default,isotonic,precision_guarded,0.5750000000000001,0.05,0.9755244755244755,0.9294081312563359,0.9481481481481482,0.7950310559006211,0.944,0.8695155279503105,0.8648648648648649,0.9440000000000001,0.9446067739854365,0.09118640422821045,0.9481481481481482,0.08300395256916995
caregiver,adhd,baseline,1,xgboost,engineered,11,ok,,35,xgboost_default,isotonic,precision_guarded,0.645,0.05,0.9125874125874126,0.9252738060004597,0.967741935483871,0.7453416149068323,0.968,0.8566708074534162,0.8421052631578947,0.9446459627329193,0.9464853407624616,0.09134622663259506,0.967741935483871,0.05874125874125875
caregiver,adhd,baseline,1,lightgbm,base,11,ok,,23,lightgbm_default,isotonic,precision_guarded,0.605,0.05,0.9825174825174825,0.9369480838106304,0.9621212121212122,0.7888198757763976,0.96,0.8744099378881988,0.8668941979522184,0.9425093167701865,0.9433144242673013,0.08949729995443129,0.9621212121212122,0.08300395256916995
caregiver,adhd,baseline,1,lightgbm,engineered,11,ok,,35,lightgbm_default,isotonic,precision_guarded,0.61,0.05,0.9195804195804196,0.9254155803152242,0.975,0.7267080745341615,0.976,0.8513540372670807,0.8327402135231317,0.9434285714285714,0.9428625908379231,0.09095339829499602,0.975,0.05874125874125875
caregiver,adhd,baseline,1,catboost,base,11,ok,,23,catboost_default,isotonic,precision_guarded,0.67,0.05,0.9265734265734266,0.9288555238232878,0.9590163934426229,0.7267080745341615,0.96,0.8433540372670807,0.8268551236749117,0.9527950310559008,0.956740181604035,0.08540349262652326,0.9590163934426229,0.08300395256916995
caregiver,adhd,baseline,1,catboost,engineered,11,ok,,35,catboost_default,isotonic,precision_guarded,0.67,0.05,0.9230769230769231,0.9268991852849265,0.953125,0.7577639751552795,0.952,0.8548819875776397,0.8442906574394463,0.9478012422360248,0.9502935599653042,0.08905743270230566,0.953125,0.05874125874125875
caregiver,adhd,baseline,1,tabpfn,base,11,error,"Running on CPU with more than 1000 samples is not allowed by default due to slow performance.
To override this behavior, set the environment variable TABPFN_ALLOW_CPU_LARGE_DATASET=1 or set ignore_pretraining_limits=True.
Alternatively, consider using a GPU or the tabpfn-client API: https://github.com/PriorLabs/tabpfn-client",23,,,,,,,,,,,,,,,,,
caregiver,adhd,baseline,1,tabpfn,engineered,11,error,"Running on CPU with more than 1000 samples is not allowed by default due to slow performance.
To override this behavior, set the environment variable TABPFN_ALLOW_CPU_LARGE_DATASET=1 or set ignore_pretraining_limits=True.
Alternatively, consider using a GPU or the tabpfn-client API: https://github.com/PriorLabs/tabpfn-client",35,,,,,,,,,,,,,,,,,
caregiver,adhd,baseline,2,lightgbm,base,11,ok,,23,lightgbm_stability,isotonic,precision_guarded,0.605,0.05,0.9825174825174825,0.9369480838106304,0.9621212121212122,0.7888198757763976,0.96,0.8744099378881988,0.8668941979522184,0.9425093167701865,0.9433144242673013,0.08949729995443129,0.9621212121212122,0.08300395256916995
