mode,domain,family,target_variant,default_dependency,imputation_dependency,source_mix_risk,overfit_risk,leakage_risk,complexity_cost,honesty_score,robustness_score,combined_honesty_robustness
caregiver,adhd,rf,baseline,0.05874125874125876,0.05874125874125876,0.2,low,low,0.1,0.8736363636363635,0.9052680652680654,0.8894522144522145
caregiver,conduct,rf,baseline,0.023492132867132868,0.023492132867132868,0.2,low,low,0.1,0.9194602272727272,0.9298513986013986,0.924655812937063
caregiver,elimination,xgboost,elimination_any_baseline,0.0214970214970215,0.0214970214970215,0.2,low,low,0.25,0.8470538720538721,0.9658119658119657,0.9064329189329189
caregiver,anxiety,lightgbm,baseline,0.07057228485799916,0.07057228485799916,0.2,low,low,0.25,0.7832560296846011,0.9041244469815898,0.8436902383330954
caregiver,depression,catboost,baseline,0.04507992007992009,0.04507992007992009,0.2,low,low,0.25,0.8163961038961038,0.8955544455544455,0.8559752747252747
psychologist,adhd,rf,baseline,0.36333666333666326,0.36333666333666326,0.25,low,low,0.1,0.47766233766233773,0.5360239760239761,0.506843156843157
psychologist,conduct,catboost,baseline,0.024681201151789386,0.024681201151789386,0.25,low,low,0.25,0.8429144385026738,0.9619909502262443,0.9024526943644591
psychologist,elimination,lightgbm,elimination_any_baseline,0.022352647352647352,0.022352647352647352,0.25,low,low,0.25,0.8459415584415585,0.9507992007992008,0.8983703796203797
psychologist,anxiety,lightgbm,baseline,0.12561703002879474,0.12561703002879474,0.25,low,low,0.25,0.7116978609625668,0.8492595639654463,0.7804787124640066
psychologist,depression,catboost,baseline,0.045936821798890776,0.045936821798890776,0.25,low,low,0.25,0.815282131661442,0.9197009886665061,0.8674915601639741
