mode,domain,metric,legacy_value,v6_value,v7_value,v8_value,delta_v8_vs_legacy,delta_v8_vs_v6,delta_v8_vs_v7,equivalence_score_pre_mode,equivalence_score_post_mode,output_readiness_status,honesty_proxy,robustness_proxy
caregiver,adhd,precision,0.9495,0.9370629370629371,0.9370629370629372,0.9370629370629372,-0.012437062937062815,1.1102230246251565e-16,0.0,0.9707961309523809,1.0,ready_with_caveat,1.0,1.0
caregiver,adhd,recall,0.8178,0.8322981366459627,0.8322981366459627,0.8322981366459627,0.014498136645962778,0.0,0.0,0.9707961309523809,1.0,ready_with_caveat,1.0,1.0
caregiver,adhd,specificity,0.944,0.928,0.928,0.928,-0.015999999999999903,0.0,0.0,0.9707961309523809,1.0,ready_with_caveat,1.0,1.0
caregiver,adhd,balanced_accuracy,0.8809,0.8801490683229813,0.8801490683229813,0.8801490683229813,-0.0007509316770186736,0.0,0.0,0.9707961309523809,1.0,ready_with_caveat,1.0,1.0
caregiver,adhd,f1,0.8788,0.881578947368421,0.881578947368421,0.881578947368421,0.002778947368420992,0.0,0.0,0.9707961309523809,1.0,ready_with_caveat,1.0,1.0
caregiver,adhd,roc_auc,0.9484,0.9482236024844721,0.948223602484472,0.948223602484472,-0.00017639751552800398,-1.1102230246251565e-16,0.0,0.9707961309523809,1.0,ready_with_caveat,1.0,1.0
caregiver,adhd,pr_auc,0.95,0.9492579851417824,0.9492579851417824,0.9492579851417824,-0.0007420148582175656,0.0,0.0,0.9707961309523809,1.0,ready_with_caveat,1.0,1.0
caregiver,adhd,brier,0.0842,0.0850838599179277,0.0850838599179277,0.0850838599179277,0.0008838599179277068,0.0,0.0,0.9707961309523809,1.0,ready_with_caveat,1.0,1.0
caregiver,conduct,precision,0.9722,0.9722222222222222,0.9722222222222222,0.9722222222222222,2.2222222222256782e-05,0.0,0.0,0.9707961309523809,1.0,fully_ready,1.0,1.0
caregiver,conduct,recall,0.875,0.875,0.875,0.875,0.0,0.0,0.0,0.9707961309523809,1.0,fully_ready,1.0,1.0
caregiver,conduct,specificity,0.9903,0.9902912621359223,0.9902912621359224,0.9902912621359224,-8.737864077512647e-06,1.1102230246251565e-16,0.0,0.9707961309523809,1.0,fully_ready,1.0,1.0
caregiver,conduct,balanced_accuracy,0.9326,0.9326456310679612,0.9326456310679612,0.9326456310679612,4.563106796118266e-05,0.0,0.0,0.9707961309523809,1.0,fully_ready,1.0,1.0
caregiver,conduct,f1,0.9211,0.9210526315789473,0.9210526315789472,0.9210526315789472,-4.736842105279582e-05,-1.1102230246251565e-16,0.0,0.9707961309523809,1.0,fully_ready,1.0,1.0
caregiver,conduct,roc_auc,0.9781,0.9781856796116506,0.9781856796116506,0.9781856796116506,8.567961165062421e-05,0.0,0.0,0.9707961309523809,1.0,fully_ready,1.0,1.0
caregiver,conduct,pr_auc,0.9506,0.9506155220991502,0.9506155220991502,0.9506155220991502,1.5522099150233615e-05,0.0,0.0,0.9707961309523809,1.0,fully_ready,1.0,1.0
caregiver,conduct,brier,0.0388,0.03887678094851874,0.0388767809485187,0.0388767809485187,7.67809485186996e-05,-4.163336342344337e-17,0.0,0.9707961309523809,1.0,fully_ready,1.0,1.0
caregiver,elimination,precision,0.9483,0.9482758620689655,0.9482758620689656,0.9416666666666668,-0.006633333333333269,-0.006609195402298762,-0.006609195402298873,0.9707961309523809,1.0,uncertainty_preferred,1.0,1.0
caregiver,elimination,recall,0.6832,0.6832298136645962,0.6832298136645962,0.7018633540372671,0.018663354037267044,0.018633540372670843,0.018633540372670843,0.9707961309523809,1.0,uncertainty_preferred,1.0,1.0
caregiver,elimination,specificity,0.952,0.952,0.952,0.944,-0.008000000000000007,-0.008000000000000007,-0.008000000000000007,0.9707961309523809,1.0,uncertainty_preferred,1.0,1.0
caregiver,elimination,balanced_accuracy,0.8176,0.8176149068322981,0.8176149068322981,0.8229316770186335,0.005331677018633463,0.005316770186335362,0.005316770186335362,0.9707961309523809,1.0,uncertainty_preferred,1.0,1.0
caregiver,elimination,f1,0.7942,0.7942238267148014,0.7942238267148014,0.8042704626334519,0.010070462633451904,0.010046635918650515,0.010046635918650515,0.9707961309523809,1.0,uncertainty_preferred,1.0,1.0
caregiver,elimination,roc_auc,0.8759,0.876944099378882,0.876944099378882,0.8799006211180124,0.00400062111801236,0.0029565217391304133,0.0029565217391304133,0.9707961309523809,1.0,uncertainty_preferred,1.0,1.0
caregiver,elimination,pr_auc,0.8907,0.8924968973196012,0.8924968973196012,0.8998706446315464,0.009170644631546376,0.007373747311945178,0.007373747311945178,0.9707961309523809,1.0,uncertainty_preferred,1.0,1.0
caregiver,elimination,brier,0.1331,0.13260211050510406,0.132602110505104,0.1356692469342928,0.002569246934292807,0.003067136429188738,0.0030671364291887937,0.9707961309523809,1.0,uncertainty_preferred,1.0,1.0
caregiver,anxiety,precision,0.8912,0.8666666666666667,0.8666666666666667,0.8666666666666667,-0.024533333333333296,0.0,0.0,0.9707961309523809,1.0,fully_ready,1.0,1.0
caregiver,anxiety,recall,0.9747,0.9848484848484849,0.9848484848484848,0.9848484848484848,0.01014848484848474,-1.1102230246251565e-16,0.0,0.9707961309523809,1.0,fully_ready,1.0,1.0
caregiver,anxiety,specificity,0.9636,0.9545454545454546,0.9545454545454546,0.9545454545454546,-0.009054545454545426,0.0,0.0,0.9707961309523809,1.0,fully_ready,1.0,1.0
caregiver,anxiety,balanced_accuracy,0.9692,0.9696969696969697,0.9696969696969696,0.9696969696969696,0.0004969696969696624,-1.1102230246251565e-16,0.0,0.9707961309523809,1.0,fully_ready,1.0,1.0
caregiver,anxiety,f1,0.9304,0.9219858156028369,0.9219858156028368,0.9219858156028368,-0.008414184397163238,-1.1102230246251565e-16,0.0,0.9707961309523809,1.0,fully_ready,1.0,1.0
caregiver,anxiety,roc_auc,0.9899,0.9890840220385675,0.9890840220385676,0.9890840220385676,-0.0008159779614324014,1.1102230246251565e-16,0.0,0.9707961309523809,1.0,fully_ready,1.0,1.0
caregiver,anxiety,pr_auc,0.9765,0.9685576242660336,0.9685576242660336,0.9685576242660336,-0.00794237573396639,0.0,0.0,0.9707961309523809,1.0,fully_ready,1.0,1.0
caregiver,anxiety,brier,0.0238,0.02223672572380793,0.0222367257238079,0.0222367257238079,-0.0015632742761921004,-2.7755575615628914e-17,0.0,0.9707961309523809,1.0,fully_ready,1.0,1.0
caregiver,depression,precision,0.989,0.8333333333333334,0.8587230387478526,0.8538461538461538,-0.13515384615384618,0.02051282051282044,-0.004876884901698797,0.9707961309523809,1.0,fully_ready,1.0,1.0
caregiver,depression,recall,0.7826,0.9565217391304348,0.9464882943143812,0.9652173913043478,0.18261739130434784,0.008695652173912993,0.01872909698996661,0.9707961309523809,1.0,fully_ready,1.0,1.0
caregiver,depression,specificity,0.9942,0.8713450292397661,0.8951866846603688,0.8888888888888888,-0.10531111111111113,0.01754385964912275,-0.00629779577147993,0.9707961309523809,1.0,fully_ready,1.0,1.0
caregiver,depression,balanced_accuracy,0.8884,0.9139333841851005,0.920837489487375,0.9270531400966184,0.038653140096618466,0.013119755911517927,0.0062156506092434505,0.9707961309523809,1.0,fully_ready,1.0,1.0
caregiver,depression,f1,0.8738,0.8906882591093117,0.9003474708196765,0.9061224489795918,0.0323224489795918,0.015434189870280113,0.005774978159915345,0.9707961309523809,1.0,fully_ready,1.0,1.0
caregiver,depression,roc_auc,0.9822,0.9782354436816679,0.9793972109761584,0.9807526061530638,-0.0014473938469361514,0.002517162471395884,0.0013553951769054162,0.9707961309523809,1.0,fully_ready,1.0,1.0
caregiver,depression,pr_auc,0.9688,0.9591369712178661,0.9607701913017564,0.9626756147329618,-0.006124385267038179,0.0035386435150956963,0.0019054234312053664,0.9707961309523809,1.0,fully_ready,1.0,1.0
caregiver,depression,brier,0.0541,0.05863779944317288,0.0578742926659087,0.0569835347591006,0.002883534759100595,-0.0016542646840722805,-0.0008907579068080998,0.9707961309523809,1.0,fully_ready,1.0,1.0
psychologist,adhd,precision,0.9562,0.9568345323741008,0.9568345323741008,0.9568345323741008,0.0006345323741007158,0.0,0.0,0.9835836277974088,1.0,ready_only_for_professional_detail,1.0,1.0
psychologist,adhd,recall,0.8137,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.012386956521739156,0.0,0.0,0.9835836277974088,1.0,ready_only_for_professional_detail,1.0,1.0
psychologist,adhd,specificity,0.952,0.952,0.952,0.952,0.0,0.0,0.0,0.9835836277974088,1.0,ready_only_for_professional_detail,1.0,1.0
psychologist,adhd,balanced_accuracy,0.8828,0.8890434782608696,0.8890434782608696,0.8890434782608696,0.006243478260869573,0.0,0.0,0.9835836277974088,1.0,ready_only_for_professional_detail,1.0,1.0
psychologist,adhd,f1,0.8792,0.8866666666666667,0.8866666666666667,0.8866666666666667,0.0074666666666667325,0.0,0.0,0.9835836277974088,1.0,ready_only_for_professional_detail,1.0,1.0
psychologist,adhd,roc_auc,0.9522,0.9531428571428572,0.9531428571428572,0.9531428571428572,0.0009428571428571342,0.0,0.0,0.9835836277974088,1.0,ready_only_for_professional_detail,1.0,1.0
psychologist,adhd,pr_auc,0.9544,0.9559246212452905,0.9559246212452904,0.9559246212452904,0.0015246212452904029,-1.1102230246251565e-16,0.0,0.9835836277974088,1.0,ready_only_for_professional_detail,1.0,1.0
psychologist,adhd,brier,0.0829,0.08343369867599568,0.0834336986759956,0.0834336986759956,0.000533698675995592,-8.326672684688674e-17,0.0,0.9835836277974088,1.0,ready_only_for_professional_detail,1.0,1.0
psychologist,conduct,precision,0.973,0.9722222222222222,0.9722222222222222,0.9722222222222222,-0.0007777777777777661,0.0,0.0,0.9835836277974088,1.0,fully_ready,1.0,1.0
psychologist,conduct,recall,0.9,0.875,0.875,0.875,-0.025000000000000022,0.0,0.0,0.9835836277974088,1.0,fully_ready,1.0,1.0
psychologist,conduct,specificity,0.9903,0.9902912621359223,0.9902912621359224,0.9902912621359224,-8.737864077512647e-06,1.1102230246251565e-16,0.0,0.9835836277974088,1.0,fully_ready,1.0,1.0
psychologist,conduct,balanced_accuracy,0.9451,0.9326456310679612,0.9326456310679612,0.9326456310679612,-0.012454368932038884,0.0,0.0,0.9835836277974088,1.0,fully_ready,1.0,1.0
psychologist,conduct,f1,0.9351,0.9210526315789473,0.9210526315789472,0.9210526315789472,-0.014047368421052808,-1.1102230246251565e-16,0.0,0.9835836277974088,1.0,fully_ready,1.0,1.0
psychologist,conduct,roc_auc,0.9712,0.9756674757281554,0.9756674757281554,0.9756674757281554,0.004467475728155423,0.0,0.0,0.9835836277974088,1.0,fully_ready,1.0,1.0
