mode,domain,n_pos_test,n_neg_test,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,TP_est,FN_est,TN_est,FP_est,selected_threshold_policy,selected_threshold,selected_abstention_band,calibration
caregiver,adhd,161,125,0.9370629370629372,0.8322981366459627,0.928,0.8801490683229813,0.881578947368421,0.948223602484472,0.9492579851417824,0.0850838599179277,134,27,116,9,precision_guarded,0.605,0.05,isotonic
psychologist,adhd,161,125,0.9568345323741008,0.8260869565217391,0.952,0.8890434782608696,0.8866666666666667,0.9531428571428572,0.9559246212452904,0.0834336986759956,133,28,119,6,precision_guarded,0.605,0.05,isotonic
caregiver,conduct,80,206,0.9722222222222222,0.875,0.9902912621359224,0.9326456310679612,0.9210526315789472,0.9781856796116506,0.9506155220991502,0.0388767809485187,70,10,204,2,balanced,0.135,0.05,isotonic
psychologist,conduct,80,206,0.9722222222222222,0.875,0.9902912621359224,0.9326456310679612,0.9210526315789472,0.9756674757281554,0.938253816271466,0.0383188790167749,70,10,204,2,balanced,0.335,0.05,isotonic
caregiver,elimination,161,125,0.9416666666666668,0.7018633540372671,0.944,0.8229316770186335,0.8042704626334519,0.8799006211180124,0.8998706446315464,0.1356692469342928,113,48,118,7,precision_guarded,0.505,0.1,isotonic
psychologist,elimination,161,125,0.9416666666666668,0.7018633540372671,0.944,0.8229316770186335,0.8042704626334519,0.8799006211180124,0.8998706446315464,0.1356692469342928,113,48,118,7,precision_guarded,0.505,0.05,isotonic
caregiver,anxiety,66,220,0.8666666666666667,0.9848484848484848,0.9545454545454546,0.9696969696969696,0.9219858156028368,0.9890840220385676,0.9685576242660336,0.0222367257238079,65,1,210,10,precision_guarded,0.1,0.05,isotonic
psychologist,anxiety,66,220,0.9850746268656716,1.0,0.9954545454545456,0.9977272727272728,0.9924812030075189,1.0,1.0,0.0022034291438283,66,0,219,1,precision_guarded,0.1,0.05,isotonic
caregiver,depression,115,171,0.8538461538461538,0.9652173913043478,0.8888888888888888,0.9270531400966184,0.9061224489795918,0.9807526061530638,0.9626756147329618,0.0569835347591006,111,4,152,19,recall_guarded,0.12,0.05,isotonic
psychologist,depression,115,171,0.8538461538461538,0.9652173913043478,0.8888888888888888,0.9270531400966184,0.9061224489795918,0.9807526061530638,0.9626756147329618,0.0569835347591006,111,4,152,19,recall_guarded,0.12,0.05,isotonic
