mode,domain,v9_threshold,selected_policy,selected_threshold,probability_source,uncertainty_band,selection_reason,precision,recall,specificity,balanced_accuracy,f1,brier
caregiver,adhd,0.605,threshold_hardened,0.4549999999999999,probability,0.07,adhd_depression_hardening,0.9183673469387755,0.8385093167701864,0.904,0.8712546583850932,0.8766233766233766,0.08708290790839374
caregiver,conduct,0.135,base,0.135,probability,0.07,default_keep_v9,0.9036144578313253,0.9375,0.9611650485436893,0.9493325242718447,0.9202453987730062,0.03515864932766292
caregiver,elimination,0.505,light_ensemble_blend,0.505,prob_blend,0.08,elimination_final_attack,0.92,0.7142857142857143,0.92,0.8171428571428572,0.8041958041958042,0.14634642966051875
caregiver,anxiety,0.1,base,0.1,probability,0.07,default_keep_v9,0.7804878048780488,0.9696969696969697,0.9181818181818182,0.943939393939394,0.8648648648648649,0.03207784646507257
caregiver,depression,0.12,threshold_hardened,0.0999999999999999,probability,0.07,adhd_depression_hardening,0.875,0.9130434782608695,0.9122807017543859,0.9126620900076277,0.8936170212765957,0.06136162125814987
psychologist,adhd,0.605,threshold_hardened,0.505,probability,0.07,adhd_depression_hardening,0.9241379310344827,0.8322981366459627,0.912,0.8721490683229813,0.8758169934640523,0.0824821632110383
psychologist,conduct,0.335,base,0.335,probability,0.07,default_keep_v9,0.9733333333333334,0.9125,0.9902912621359223,0.9513956310679612,0.9419354838709677,0.034039105589075455
psychologist,elimination,0.505,recall_first_low_thr,0.425,probability,0.08,elimination_final_attack,0.9262295081967213,0.7018633540372671,0.928,0.8149316770186336,0.7985865724381626,0.14457636214884156
psychologist,anxiety,0.1,base,0.1,probability,0.07,default_keep_v9,0.9850746268656716,1.0,0.9954545454545455,0.9977272727272728,0.9924812030075187,0.0028421596000618252
psychologist,depression,0.12,threshold_hardened,0.0799999999999999,probability,0.07,adhd_depression_hardening,0.872,0.9478260869565217,0.9064327485380117,0.9271294177472666,0.9083333333333333,0.05573924204586645
