mode,domain,trial_name,probability_source,threshold,uncertainty_band,precision,recall,specificity,balanced_accuracy,f1,brier,uncertain_rate,delta_precision,delta_recall,delta_balanced_accuracy,delta_brier,objective
caregiver,elimination,baseline,probability,0.505,0.07,0.9186991869918699,0.7018633540372671,0.92,0.8109316770186336,0.795774647887324,0.14858247533602725,0.1888111888111888,0.0,0.0,0.0,0.0,0.7834044336716659
caregiver,elimination,recall_first_low_thr,probability,0.425,0.08,0.8048780487804879,0.8198757763975155,0.744,0.7819378881987578,0.8123076923076923,0.14858247533602725,0.2902097902097902,-0.11382113821138207,0.11801242236024845,-0.0289937888198758,0.0,0.8035979700045448
caregiver,elimination,recall_first_mid_thr,probability,0.385,0.1,0.7951807228915663,0.8198757763975155,0.728,0.7739378881987578,0.8073394495412844,0.14858247533602725,0.3076923076923077,-0.12351846410030365,0.11801242236024845,-0.036993788819875806,0.0,0.7988585048267605
caregiver,elimination,uncertainty_preferred,probability,0.445,0.14,0.905511811023622,0.7142857142857143,0.904,0.8091428571428572,0.7986111111111112,0.14858247533602725,0.32517482517482516,-0.013187375968247927,0.012422360248447228,-0.001788819875776393,0.0,0.7857309336332959
caregiver,elimination,conservative_precision,probability,0.555,0.06,0.9338842975206612,0.7018633540372671,0.936,0.8189316770186336,0.8014184397163121,0.14858247533602725,0.06293706293706294,0.015185110528791235,0.0,0.008000000000000007,0.0,0.7892414557774242
caregiver,elimination,light_ensemble_blend,prob_blend,0.505,0.08,0.92,0.7142857142857143,0.92,0.8171428571428572,0.8041958041958042,0.14634642966051875,0.17832167832167833,0.0013008130081301195,0.012422360248447228,0.006211180124223614,-0.0022360456755085023,0.7914285714285715
psychologist,elimination,baseline,probability,0.505,0.07,0.9256198347107438,0.6956521739130435,0.928,0.8118260869565217,0.7943262411347518,0.14457636214884156,0.04195804195804196,0.0,0.0,0.0,0.0,0.7823065756378009
psychologist,elimination,recall_first_low_thr,probability,0.425,0.08,0.9262295081967213,0.7018633540372671,0.928,0.8149316770186336,0.7985865724381626,0.14457636214884156,0.3146853146853147,0.0006096734859775133,0.006211180124223614,0.0031055900621118626,0.0,0.7863104979126362
psychologist,elimination,recall_first_mid_thr,probability,0.385,0.1,0.8291139240506329,0.8136645962732919,0.784,0.798832298136646,0.8213166144200627,0.14457636214884156,0.34965034965034963,-0.09650591066011094,0.11801242236024845,-0.012993788819875673,0.0,0.8115631574809341
psychologist,elimination,uncertainty_preferred,probability,0.445,0.14,0.9262295081967213,0.7018633540372671,0.928,0.8149316770186336,0.7985865724381626,0.14457636214884156,0.3531468531468531,0.0006096734859775133,0.006211180124223614,0.0031055900621118626,0.0,0.7863104979126362
psychologist,elimination,conservative_precision,probability,0.555,0.06,0.9256198347107438,0.6956521739130435,0.928,0.8118260869565217,0.7943262411347518,0.14457636214884156,0.04195804195804196,0.0,0.0,0.0,0.0,0.7823065756378009
psychologist,elimination,light_ensemble_blend,prob_blend,0.505,0.08,0.9262295081967213,0.7018633540372671,0.928,0.8149316770186336,0.7985865724381626,0.14474398438564448,0.06643356643356643,0.0006096734859775133,0.006211180124223614,0.0031055900621118626,0.00016762223680291677,0.7862937356889559
