mode,domain,policy,precision,recall,specificity,balanced_accuracy,f1,brier,uncertain_rate,overconfident_error_rate,output_realism_score,delta_balanced_accuracy,delta_recall,delta_brier,delta_output_realism,objective
caregiver,adhd,base,0.9183673469387755,0.8385093167701864,0.904,0.8712546583850932,0.8766233766233766,0.08708290790839374,0.05244755244755245,0.03496503496503497,0.9519230769230769,0.0,0.0,0.0,0.0,1.167366004479108
caregiver,anxiety,base,0.7804878048780488,0.9696969696969697,0.9181818181818182,0.943939393939394,0.8648648648648649,0.03207784646507257,0.1048951048951049,0.06293706293706294,0.9108391608391608,0.0,0.0,0.0,0.0,1.2742397678010453
caregiver,conduct,base,0.9036144578313253,0.9375,0.9611650485436893,0.9493325242718447,0.9202453987730062,0.03515864932766292,0.06643356643356643,0.006993006993006993,0.9763986013986015,0.0,0.0,0.0,0.0,1.2778315194789385
caregiver,depression,base,0.875,0.9130434782608695,0.9122807017543859,0.9126620900076277,0.8936170212765957,0.06136162125814987,0.1853146853146853,0.04895104895104895,0.9047202797202797,0.0,0.0,0.0,0.0,1.225258825419058
caregiver,elimination,high_gap_conservative,0.9262295081967213,0.7018633540372671,0.928,0.8149316770186336,0.7985865724381626,0.14858247533602725,0.14335664335664336,0.08041958041958042,0.8837412587412588,0.0040000000000000036,0.0,0.0,0.014860139860139898,1.0639133938684735
psychologist,adhd,coverage_sensitive,0.9241379310344827,0.8322981366459627,0.912,0.8721490683229813,0.8758169934640523,0.0824821632110383,0.9790209790209791,0.03146853146853147,0.7237762237762237,0.0,0.0,0.0,0.006993006993006978,1.1443530085409908
psychologist,anxiety,base,0.9850746268656716,1.0,0.9954545454545455,0.9977272727272728,0.9924812030075187,0.0028421596000618252,0.3181818181818182,0.0034965034965034965,0.9169580419580419,0.0,0.0,0.0,0.0,1.3391388609630708
psychologist,conduct,base,0.9733333333333334,0.9125,0.9902912621359223,0.9513956310679612,0.9419354838709677,0.034039105589075455,0.06993006993006994,0.017482517482517484,0.965034965034965,0.0,0.0,0.0,0.0,1.27262021701255
psychologist,depression,high_gap_conservative,0.872,0.9478260869565217,0.9064327485380117,0.9271294177472666,0.9083333333333333,0.05573924204586645,0.18181818181818182,0.05244755244755245,0.9020979020979021,0.0,0.0,0.0,0.01660839160839167,1.2487218054916007
psychologist,elimination,missingness_aware,0.9256198347107438,0.6956521739130435,0.928,0.8118260869565217,0.7943262411347518,0.14457636214884156,0.08741258741258741,0.06293706293706294,0.9152097902097902,0.0,0.0,0.0,0.004370629370629375,1.0628024732408774
