mode,domain,family,feature_variant,calibration,threshold,abstention_band,n_features,n_test,n_pos_test,n_neg_test,precision_v9,recall_v9,specificity_v9,balanced_accuracy_v9,f1_v9,roc_auc_v9,pr_auc_v9,brier_v9,tp_v9,fp_v9,fn_v9,tn_v9,precision_v10,recall_v10,specificity_v10,balanced_accuracy_v10,f1_v10,roc_auc_v10,pr_auc_v10,brier_v10,uncertain_rate,overconfident_error_rate,output_realism,tp_v10,fp_v10,fn_v10,tn_v10,delta_precision,delta_recall,delta_specificity,delta_balanced_accuracy,delta_f1,delta_roc_auc,delta_pr_auc,delta_brier,fragile_slice_count_before,fragile_slice_count_after,delta_fragile_slices
caregiver,adhd,rf,engineered,isotonic,0.605,0.05,43,286,161,125,0.9183673469387756,0.8385093167701864,0.904,0.8712546583850932,0.8766233766233766,0.9505341614906831,0.952056332280638,0.0870829079083937,135,12,26,113,0.9183673469387755,0.8385093167701864,0.904,0.8712546583850932,0.8766233766233766,0.9505341614906833,0.952056332280638,0.08708290790839374,0.18181818181818182,0.038461538461538464,0.9160839160839161,135,12,26,113,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,4.163336342344337e-17,0,0,0
caregiver,conduct,rf,engineered,isotonic,0.135,0.05,38,286,80,206,0.9036144578313252,0.9375,0.9611650485436892,0.9493325242718448,0.9202453987730062,0.977760922330097,0.9521032423422988,0.0351586493276629,75,8,5,198,0.9036144578313253,0.9375,0.9611650485436893,0.9493325242718447,0.9202453987730062,0.977760922330097,0.9521032423422988,0.03515864932766292,0.06643356643356643,0.006993006993006993,0.9763986013986015,75,8,5,198,1.1102230246251565e-16,0.0,1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,0.0,2.0816681711721685e-17,1,0,-1
caregiver,elimination,lightgbm,engineered,isotonic,0.505,0.1,30,286,161,125,0.91869918699187,0.7018633540372671,0.92,0.8109316770186336,0.795774647887324,0.8608944099378881,0.8896162027183818,0.1485824753360272,113,10,48,115,0.92,0.7142857142857143,0.92,0.8171428571428572,0.8041958041958042,0.8655652173913044,0.8951069406544871,0.14634642966051875,0.10839160839160839,0.08041958041958042,0.8924825174825175,115,10,46,115,0.0013008130081300084,0.012422360248447228,0.0,0.006211180124223614,0.008421156308480171,0.0046708074534163035,0.005490737936105328,-0.002236045675508447,1,1,0
caregiver,anxiety,lightgbm,engineered,isotonic,0.1,0.05,54,286,66,220,0.7804878048780488,0.9696969696969696,0.9181818181818182,0.943939393939394,0.8648648648648649,0.9798553719008264,0.9531779293765594,0.0320778464650725,64,18,2,202,0.7804878048780488,0.9696969696969697,0.9181818181818182,0.943939393939394,0.8648648648648649,0.9798553719008264,0.9531779293765594,0.03207784646507257,0.1048951048951049,0.06293706293706294,0.9108391608391608,64,18,2,202,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-17,0,0,0
caregiver,depression,catboost,engineered,isotonic,0.12,0.05,31,286,115,171,0.875,0.9130434782608696,0.912280701754386,0.9126620900076275,0.8936170212765957,0.9788456648868548,0.9643996041721472,0.0613616212581498,105,15,10,156,0.875,0.9130434782608695,0.9122807017543859,0.9126620900076277,0.8936170212765957,0.9788456648868549,0.9643996041721472,0.06136162125814987,0.32867132867132864,0.04895104895104895,0.8688811188811189,105,15,10,156,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,6.938893903907228e-17,1,0,-1
psychologist,adhd,rf,base,isotonic,0.605,0.05,41,286,161,125,0.9241379310344828,0.8322981366459627,0.912,0.8721490683229813,0.8758169934640523,0.955527950310559,0.9571857724161492,0.0824821632110383,134,11,27,114,0.9241379310344827,0.8322981366459627,0.912,0.8721490683229813,0.8758169934640523,0.955527950310559,0.9571857724161493,0.0824821632110383,0.9790209790209791,0.03496503496503497,0.7202797202797202,134,11,27,114,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0,0,0
psychologist,conduct,catboost,engineered,isotonic,0.335,0.05,40,286,80,206,0.9733333333333334,0.9125,0.9902912621359224,0.9513956310679612,0.9419354838709676,0.973513349514563,0.9527984222787746,0.0340391055890754,73,2,7,204,0.9733333333333334,0.9125,0.9902912621359223,0.9513956310679612,0.9419354838709677,0.973513349514563,0.9527984222787746,0.034039105589075455,0.06993006993006994,0.017482517482517484,0.965034965034965,73,2,7,204,0.0,0.0,-1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,0.0,5.551115123125783e-17,1,0,-1
psychologist,elimination,lightgbm,engineered,isotonic,0.505,0.05,31,286,161,125,0.9256198347107438,0.6956521739130435,0.928,0.8118260869565217,0.7943262411347518,0.8657391304347826,0.8886110709840416,0.1445763621488415,112,9,49,116,0.9262295081967213,0.7018633540372671,0.928,0.8149316770186336,0.7985865724381626,0.8657391304347826,0.8886110709840416,0.14457636214884156,0.32517482517482516,0.04195804195804196,0.8767482517482518,113,9,48,116,0.0006096734859775133,0.006211180124223614,0.0,0.0031055900621118626,0.004260331303410747,0.0,0.0,5.551115123125783e-17,1,1,0
psychologist,anxiety,lightgbm,engineered,isotonic,0.1,0.05,280,286,66,220,0.9850746268656716,1.0,0.9954545454545456,0.9977272727272728,0.9924812030075189,0.999931129476584,0.9997738579828132,0.0028421596000618,66,1,0,219,0.9850746268656716,1.0,0.9954545454545455,0.9977272727272728,0.9924812030075187,0.999931129476584,0.9997738579828132,0.0028421596000618252,0.3181818181818182,0.0034965034965034965,0.9169580419580419,66,1,0,219,0.0,0.0,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,0.0,0.0,2.5153490401663703e-17,0,0,0
psychologist,depression,catboost,engineered,isotonic,0.12,0.05,32,286,115,171,0.872,0.9478260869565216,0.9064327485380116,0.9271294177472666,0.9083333333333332,0.979913551995932,0.9691357955567363,0.0557392420458664,109,16,6,155,0.872,0.9478260869565217,0.9064327485380117,0.9271294177472666,0.9083333333333333,0.9799135519959319,0.9691357955567363,0.05573924204586645,0.33916083916083917,0.05244755244755245,0.8627622377622377,109,16,6,155,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,-1.1102230246251565e-16,0.0,4.85722573273506e-17,0,0,0
