mode,domain,approval_status,balanced_accuracy,brier,uncertainty_rate,overconfident_rate,avg_input_coverage,probability_riskband_supported,caveat_level,rationale
caregiver,adhd,ready_with_caveat,0.8801490683229813,0.0850838599179277,0.06301369863013699,0.005479452054794521,0.8138082191780821,yes,medium,Usable con caveat explícito y monitoreo de incertidumbre.
caregiver,conduct,fully_ready,0.9326456310679612,0.03887678094851874,0.07123287671232877,0.0027397260273972603,0.8346301369863013,yes,medium,Desempeño y calibración robustos con comportamiento operativo estable.
caregiver,elimination,uncertainty_preferred,0.8176149068322981,0.13260211050510406,0.030136986301369864,0.0273972602739726,0.8453424657534246,limited,high,"BA/recall mejoraron, pero la señal sigue con incertidumbre estructural; priorizar caveat y revisión profesional."
caregiver,anxiety,fully_ready,0.9696969696969697,0.02223672572380793,0.043835616438356165,0.010958904109589041,0.7950136986301368,yes,medium,Desempeño y calibración robustos con comportamiento operativo estable.
caregiver,depression,fully_ready,0.9139333841851005,0.05863779944317288,0.0410958904109589,0.0027397260273972603,0.8311780821917808,yes,medium,Desempeño y calibración robustos con comportamiento operativo estable.
psychologist,adhd,ready_only_for_professional_detail,0.8890434782608696,0.08343369867599568,0.18356164383561643,0.005479452054794521,0.5537260273972602,limited,low,"Performance alta, pero quality de evidencia/sources heterogénea; mejor para detalle profesional."
psychologist,conduct,fully_ready,0.9326456310679612,0.03831887901677492,0.005479452054794521,0.0,0.834931506849315,yes,low,Desempeño y calibración robustos con comportamiento operativo estable.
psychologist,elimination,uncertainty_preferred,0.8229316770186335,0.1356692469342928,0.03287671232876712,0.0136986301369863,0.8485753424657535,limited,high,"BA/recall mejoraron, pero la señal sigue con incertidumbre estructural; priorizar caveat y revisión profesional."
psychologist,anxiety,fully_ready,0.9977272727272728,0.0022034291438283713,0.07123287671232877,0.0,0.7579178082191781,yes,low,Desempeño y calibración robustos con comportamiento operativo estable.
psychologist,depression,fully_ready,0.9139333841851005,0.05863779944317288,0.01643835616438356,0.005479452054794521,0.8415890410958904,yes,low,Desempeño y calibración robustos con comportamiento operativo estable.
