feature,corr_target,risk
swan_total,0.7775149899166326,low
swan_inattention_total,0.776140455749929,low
swan_hyperactive_impulsive_total,0.7467574711307683,low
has_any_target_disorder,0.7366254454054163,low
swan_08,0.7342328073143345,low
domain_comorbidity_count,0.7284446169156643,low
swan_16,0.7277409237569006,low
swan_03,0.7268013549073973,low
swan_12,0.7212300794492318,low
comorbidity_count_5targets,0.7200329417713218,low
swan_06,0.7185245976906038,low
swan_14,-0.7177392421069093,low
cbcl_attention_problems_proxy,0.7162111279354698,low
domain_any_positive,0.7125968937345455,low
internal_exact_any_positive,0.7125968937345455,low
swan_05,0.709262439977316,low
n_diagnoses,0.7013320346253185,low
swan_02,0.6947352959753602,low
swan_13,0.6941041952893761,low
cbcl_048,-0.6896060526279233,low
cbcl_037,0.6758234485086374,low
cbcl_043,0.6753218051234213,low
swan_09,0.6730552747974045,low
cbcl_044,0.6703391970138581,low
cbcl_rule_breaking_proxy,0.6696153201229974,low
cbcl_045,0.6682057651793775,low
swan_15,0.6649663021541046,low
swan_10,0.6648487434956026,low
swan_07,0.6644988657955413,low
swan_17,-0.6610670258455934,low
swan_11,0.6605707369414254,low
cbcl_059,-0.6590513938776292,low
swan_18,0.6582971882475533,low
swan_04,0.6580662675050737,low
cbcl_042,0.6492470487079098,low
cbcl_086,-0.6472333087777514,low
swan_01,0.6450547069362725,low
cbcl_047,-0.6442835005868718,low
cbcl_050,0.6438165321340295,low
cbcl_041,0.6436738794782537,low
cbcl_040,0.642059081891879,low
cbcl_069,0.6392993616561152,low
cbcl_046,0.638161402474905,low
internal_exact_comorbidity_count,0.6381601117851887,low
cbcl_062,0.6377102780476488,low
cbcl_034,0.6362914696181198,low
cbcl_082,0.6342554149488393,low
cbcl_049,0.6338858537203609,low
cbcl_033,0.6287550664337417,low
cbcl_031,0.6280351212339021,low
cbcl_externalizing_proxy,0.6278702718276422,low
cbcl_067,0.627407788300777,low
cbcl_079,-0.626044026371944,low
cbcl_065,0.6251511771390353,low
cbcl_090,0.623483194957376,low
cbcl_063,0.6231805819832918,low
cbcl_055,0.6231168026396547,low
cbcl_068,-0.6226375077412899,low
cbcl_061,0.6220351754630308,low
cbcl_080,-0.6216695867227781,low
cbcl_064,0.6203538252058715,low
cbcl_066,0.6174633206703296,low
cbcl_076,0.6163951807398002,low
cbcl_074,0.6161178987821595,low
cbcl_078,0.6149881720328791,low
cbcl_057,0.6130329358267963,low
cbcl_051,0.6129717898855599,low
cbcl_075,-0.6126448422715208,low
icut_uncaring,0.6120320465458806,low
cbcl_052,0.6080647370718376,low
cbcl_084,0.6066784557188145,low
cbcl_039,0.6022521162371336,low
icut_05,-0.6006488887318439,low
cbcl_056,0.5981853329397756,low
cbcl_038,0.5969181139116777,low
cbcl_054,0.5954941608220691,low
cbcl_083,0.5938618294845974,low
cbcl_036,0.5925641739045743,low
sdq_total_difficulties,0.5916878406001529,low
sdq_hyperactivity_inattention,0.5915607790368927,low
icut_06,0.5901362996981494,low
cbcl_072,0.589949849112164,low
cbcl_081,0.589127597375444,low
cbcl_053,0.5878879812811536,low
cbcl_035,0.5877675669723245,low
icut_callousness,0.5872509662540655,low
sdq_peer_problems,0.5871587814216913,low
cbcl_060,0.5855340769974912,low
sdq_conduct_problems,0.5845916536115706,low
cbcl_073,0.5841258761429234,low
icut_18,-0.5835600177826904,low
cbcl_089,0.5824321144032373,low
icut_22,-0.5814693851709606,low
icut_total,0.578788906697836,low
cbcl_087,0.5779995000185792,low
icut_15,0.5755191202884787,low
cbcl_070,0.5754037112368189,low
cbcl_058,0.5742211436721032,low
icut_04,0.5691782749895047,low
cbcl_071,0.5684559849094682,low
ari_sr_symptom_total,0.5651420072123683,low
icut_21,0.5637376355949348,low
cbcl_077,0.5636601832911114,low
icut_14,0.5624556501250481,low
cbcl_032,0.5603486771394988,low
cbcl_085,0.5573739191075394,low
icut_08,0.5565851250698746,low
icut_07,0.5559725252549281,low
icut_20,0.5543446804757555,low
icut_09,0.5532504269924571,low
sdq_15,0.5531989016326724,low
sdq_01,-0.5528303684929738,low
ari_p_symptom_total,0.5495113004680664,low
icut_13,0.5482604331093355,low
icut_23,-0.5480448829086543,low
icut_19,0.5468778957384062,low
sdq_20,0.5462740596782835,low
sdq_16,0.5453423925140121,low
icut_24,0.544381063075388,low
icut_01,0.5441877081069301,low
icut_03,0.5419108814628645,low
sdq_13,0.5315753509700002,low
sdq_14,0.530720392937804,low
sdq_09,0.5306388841567896,low
sdq_08,0.529149575463121,low
icut_12,0.5284678849105662,low
sdq_11,0.5277814989377352,low
cbcl_118,-0.5267106181373027,low
sdq_06,0.5258486791736184,low
sdq_04,0.5239291183492404,low
ari_sr_04,0.5213947865556967,low
cbcl_114,-0.5185416080179409,low
icut_10,0.5175995975471677,low
cbcl_088,0.5164117694480554,low
cbcl_aggressive_behavior_proxy,0.5155895051488479,low
sdq_02,0.5136360313040332,low
sdq_25,0.5103566357512259,low
icut_11,0.505592092212932,low
cbcl_092,-0.5044120317208947,low
icut_17,0.5023149331516109,low
icut_16,0.5013892229649985,low
cbcl_116,-0.500211964256014,low
cbcl_100,0.5001238927651673,low
icut_02,0.4995898016789829,low
sdq_impact,0.49849741956664295,low
sdq_24,0.4963892622882883,low
sdq_23,-0.496123833498542,low
ari_sr_03,0.4915225890601118,low
sdq_22,0.4907091621359825,low
sdq_prosocial_behavior,0.49006678530718534,low
ari_sr_07,0.4897963341188366,low
ari_sr_impairment_item,0.4897963341188366,low
sdq_21,0.4894690012492856,low
cbcl_104,0.4835431629163405,low
ari_sr_02,0.4832512202568798,low
cbcl_094,0.48313046971078955,low
cbcl_112,0.4825695952888873,low
sdq_18,0.48231429619946353,low
cbcl_099,0.48155591510038415,low
sdq_emotional_symptoms,0.480621658161928,low
ari_p_02,0.47934362403231773,low
ari_p_07,0.4787756917399217,low
ari_p_impairment_item,0.4787756917399217,low
