domain,mode,role,active_model_required,active_model_id,source_line,source_campaign,model_family,feature_set_id,config_id,calibration,threshold_policy,threshold,seed,n_features,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,final_operational_class,overfit_flag,generalization_flag,dataset_ease_flag,confidence_pct,confidence_band,operational_caveat,recommended_for_default_use,notes,feature_list_pipe
adhd,caregiver_1_3,caregiver,yes,adhd__caregiver_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,v17_domain_specialized_rf,hybrid_domain_specialized_rf_v17,rf,domain_strict_1_3,rf_recall_balanced_manual,none,balanced_recall_specificity,0.37999999999999995,20270529.0,9,0.6301369863013698,0.9787234042553191,0.8601036269430051,0.9194135155991621,0.7666666666666667,0.9366938595524198,0.6348300001844969,0.08637692521568062,ACTIVE_HIGH_CONFIDENCE,no,yes,no,89.3,high,none,yes,hybrid_domain_specialized_rf_v17:domain_strict_rf_specialization;no_question_wording_changes,adhd_onset_before_12|adhd_impairment_school|adhd_impairment_home|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_impairment_social|adhd_inatt_07_loses_things|adhd_inatt_02_sustained_attention_difficulty
adhd,caregiver_2_3,caregiver,yes,adhd__caregiver_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,v17_domain_specialized_rf,hybrid_domain_specialized_rf_v17,rf,domain_strict_2_3,rf_recall_guarded,none,balanced_recall_specificity,0.4499999999999999,20270529.0,18,0.674074074074074,0.9680851063829787,0.8860103626943006,0.9270477345386396,0.7947598253275109,0.939256972770367,0.6349693136205401,0.08375163643332674,ACTIVE_HIGH_CONFIDENCE,no,yes,no,89.9,high,none,yes,hybrid_domain_specialized_rf_v17:domain_strict_rf_specialization;no_question_wording_changes,adhd_onset_before_12|adhd_impairment_school|adhd_impairment_home|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_impairment_social|adhd_inatt_07_loses_things|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_08_easily_distracted|adhd_hypimp_07_blurts_out|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_hypimp_02_leaves_seat|adhd_hypimp_05_driven_by_motor|adhd_hypimp_04_cannot_play_quietly|adhd_context_other
adhd,caregiver_full,caregiver,yes,adhd__caregiver_full__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,v17_domain_specialized_rf,hybrid_domain_specialized_rf_v17,rf,domain_strict_full,rf_high_recall_push,sigmoid,balanced_recall_specificity,0.14999999999999997,20270529.0,26,0.656934306569343,0.9574468085106383,0.8782383419689119,0.9178425752397752,0.7792207792207793,0.9409657149156653,0.66977613630941,0.08259282220518545,ACTIVE_HIGH_CONFIDENCE,no,yes,no,88.7,high,none,yes,hybrid_domain_specialized_rf_v17:domain_strict_rf_specialization;no_question_wording_changes,adhd_onset_before_12|adhd_impairment_school|adhd_impairment_home|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_impairment_social|adhd_inatt_07_loses_things|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_08_easily_distracted|adhd_hypimp_07_blurts_out|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_hypimp_02_leaves_seat|adhd_hypimp_05_driven_by_motor|adhd_hypimp_04_cannot_play_quietly|adhd_context_other|adhd_hypimp_01_fidgets|adhd_hypimp_06_talks_excessively|adhd_context_home|adhd_hypimp_09_interrupts_intrudes|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_08_difficulty_waiting_turn|adhd_context_school|age_years
adhd,psychologist_1_3,psychologist,yes,adhd__psychologist_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,v17_domain_specialized_rf,hybrid_domain_specialized_rf_v17,rf,domain_strict_1_3,rf_high_recall_push,sigmoid,balanced_recall_specificity,0.08,20270511.0,9,0.6190476190476191,0.9680851063829787,0.8549222797927462,0.9115036930878624,0.7551867219917012,0.9338138022268769,0.6413740714852344,0.08130952316506299,ACTIVE_HIGH_CONFIDENCE,no,yes,no,88.3,high,none,yes,hybrid_domain_specialized_rf_v17:domain_strict_rf_specialization;no_question_wording_changes,adhd_onset_before_12|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_09_forgetful_daily_activities|adhd_inatt_03_seems_not_listening|adhd_inatt_02_sustained_attention_difficulty|adhd_hypimp_07_blurts_out|adhd_inatt_08_easily_distracted|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_07_loses_things
adhd,psychologist_2_3,psychologist,yes,adhd__psychologist_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,v17_domain_specialized_rf,hybrid_domain_specialized_rf_v17,rf,domain_strict_2_3,rf_high_recall_push,sigmoid,balanced_recall_specificity,0.13,20270511.0,18,0.8141592920353983,0.9787234042553191,0.9455958549222798,0.9621596295887995,0.8888888888888888,0.9899955903428509,0.9605288502790146,0.03304333573444991,ACTIVE_HIGH_CONFIDENCE,no,yes,no,94.4,high,none,yes,hybrid_domain_specialized_rf_v17:domain_strict_rf_specialization;no_question_wording_changes,adhd_onset_before_12|adhd_not_better_explained_other_mental|adhd_impairment_home|adhd_impairment_school|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_09_forgetful_daily_activities|adhd_inatt_03_seems_not_listening|adhd_inatt_02_sustained_attention_difficulty|adhd_impairment_social|adhd_hypimp_07_blurts_out|adhd_inatt_08_easily_distracted|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_07_loses_things|adhd_inatt_04_fails_to_finish_tasks|adhd_hypimp_02_leaves_seat|adhd_hypimp_01_fidgets|adhd_inatt_05_organization_difficulty|adhd_hypimp_04_cannot_play_quietly
adhd,psychologist_full,psychologist,yes,adhd__psychologist_full__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,v17_domain_specialized_rf,hybrid_domain_specialized_rf_v17,rf,domain_strict_full,rf_high_recall_push,sigmoid,balanced_recall_specificity,0.19,20270529.0,27,0.8348623853211009,0.9680851063829787,0.9533678756476683,0.9607264910153235,0.896551724137931,0.9907948407011355,0.9630826128741268,0.032930359964676144,ACTIVE_HIGH_CONFIDENCE,no,yes,no,94.1,high,none,yes,hybrid_domain_specialized_rf_v17:domain_strict_rf_specialization;no_question_wording_changes,adhd_onset_before_12|adhd_not_better_explained_other_mental|adhd_impairment_home|adhd_impairment_school|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_09_forgetful_daily_activities|adhd_inatt_03_seems_not_listening|adhd_inatt_02_sustained_attention_difficulty|adhd_impairment_social|adhd_hypimp_07_blurts_out|adhd_inatt_08_easily_distracted|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_07_loses_things|adhd_inatt_04_fails_to_finish_tasks|adhd_hypimp_02_leaves_seat|adhd_hypimp_01_fidgets|adhd_inatt_05_organization_difficulty|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_09_interrupts_intrudes|adhd_context_other|adhd_hypimp_06_talks_excessively|adhd_hypimp_08_difficulty_waiting_turn|adhd_context_home|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_context_school|adhd_not_psychosis_exclusive
anxiety,caregiver_1_3,caregiver,yes,anxiety__caregiver_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,v17_domain_specialized_rf,hybrid_domain_specialized_rf_v17,rf,domain_strict_1_3,rf_sparse_stability,none,balanced_recall_specificity,0.5199999999999999,20270529.0,5,0.826530612244898,0.9418604651162791,0.9568527918781726,0.9493566284972259,0.8804347826086957,0.9888885609727305,0.955690824027037,0.05194035018731213,ACTIVE_HIGH_CONFIDENCE,no,yes,no,92.2,high,none,yes,hybrid_domain_specialized_rf_v17:domain_strict_rf_specialization;no_question_wording_changes,sep_anx_impairment|gad_difficulty_controlling_worry|gad_impairment|gad_excessive_worry_multiple_areas|social_anxiety_impairment
anxiety,caregiver_2_3,caregiver,yes,anxiety__caregiver_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,v17_domain_specialized_rf,hybrid_domain_specialized_rf_v17,rf,domain_strict_2_3,rf_high_recall_push,none,balanced_recall_specificity,0.32999999999999996,20270529.0,27,0.8137254901960784,0.9651162790697675,0.9517766497461929,0.9584464644079802,0.8829787234042553,0.993595797426514,0.9722061553201079,0.02723009861716629,ACTIVE_HIGH_CONFIDENCE,no,yes,no,93.5,high,none,yes,hybrid_domain_specialized_rf_v17:domain_strict_rf_specialization;no_question_wording_changes,sep_anx_impairment|sep_anx_duration_weeks|agor_escape_help_cognition|age_years|gad_duration_months|gad_assoc_06_sleep_problems|gad_difficulty_controlling_worry|agor_avoid_or_need_companion|social_anxiety_duration_months|sep_anx_03_worry_event_causing_separation|gad_assoc_03_concentration_difficulty|social_anxiety_fear_negative_evaluation|gad_assoc_05_muscle_tension|sep_anx_07_separation_nightmares|sep_anx_05_fear_being_alone_without_attachment|gad_impairment|sep_anx_04_refuses_leaving_home_school|gad_assoc_02_fatigue|gad_assoc_01_restlessness|sep_anx_08_physical_complaints_on_separation|agor_fear_01_public_transport|sep_anx_06_refuses_sleep_away_or_alone|gad_assoc_04_irritability|social_anxiety_fear_being_observed|gad_excessive_worry_multiple_areas|agor_fear_03_enclosed_spaces|social_anxiety_impairment
anxiety,caregiver_full,caregiver,yes,anxiety__caregiver_full__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,v17_domain_specialized_rf,hybrid_domain_specialized_rf_v17,rf,domain_strict_full,rf_recall_guarded,none,balanced_recall_specificity,0.35999999999999993,20270529.0,40,0.84,0.9767441860465116,0.9593908629441624,0.968067524495337,0.9032258064516129,0.9938909219690709,0.9729367308495688,0.02884854507284831,ACTIVE_HIGH_CONFIDENCE,no,yes,no,94.9,high,none,yes,hybrid_domain_specialized_rf_v17:domain_strict_rf_specialization;no_question_wording_changes,sep_anx_impairment|sep_anx_duration_weeks|agor_escape_help_cognition|age_years|gad_duration_months|gad_assoc_06_sleep_problems|gad_difficulty_controlling_worry|agor_fear_05_outside_home_alone|agor_avoid_or_need_companion|social_anxiety_duration_months|sep_anx_03_worry_event_causing_separation|gad_assoc_03_concentration_difficulty|social_anxiety_fear_negative_evaluation|gad_assoc_05_muscle_tension|sep_anx_07_separation_nightmares|sep_anx_05_fear_being_alone_without_attachment|gad_impairment|agor_fear_04_crowds_queues|sep_anx_04_refuses_leaving_home_school|gad_assoc_02_fatigue|gad_assoc_01_restlessness|agor_almost_always_triggered|sep_anx_08_physical_complaints_on_separation|agor_fear_01_public_transport|sep_anx_06_refuses_sleep_away_or_alone|gad_assoc_04_irritability|social_anxiety_fear_being_observed|gad_excessive_worry_multiple_areas|agor_fear_03_enclosed_spaces|social_anxiety_impairment|social_anxiety_avoid_or_endure_intense|agor_duration_months|sep_anx_02_worry_losing_attachment_figures|social_anxiety_fear_interactions|social_anxiety_almost_always_triggered|agor_impairment|social_anxiety_fear_performance|agor_fear_02_open_spaces|sep_anx_01_distress_on_separation|social_anxiety_children_peer_only_flag
anxiety,psychologist_1_3,psychologist,yes,anxiety__psychologist_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,v17_domain_specialized_rf,hybrid_domain_specialized_rf_v17,rf,domain_strict_1_3,rf_high_recall_push,sigmoid,balanced_recall_specificity,0.10999999999999999,20270511.0,12,0.7280701754385965,0.9651162790697675,0.9213197969543148,0.9432180380120412,0.83,0.9842993743359698,0.9476782393006409,0.03464668714606566,ACTIVE_HIGH_CONFIDENCE,no,yes,no,91.3,high,none,yes,hybrid_domain_specialized_rf_v17:domain_strict_rf_specialization;no_question_wording_changes,gad_difficulty_controlling_worry|sep_anx_04_refuses_leaving_home_school|sep_anx_07_separation_nightmares|sep_anx_03_worry_event_causing_separation|sep_anx_02_worry_losing_attachment_figures|sep_anx_05_fear_being_alone_without_attachment|gad_excessive_worry_multiple_areas|sep_anx_01_distress_on_separation|sep_anx_08_physical_complaints_on_separation|social_anxiety_almost_always_triggered|sep_anx_06_refuses_sleep_away_or_alone|social_anxiety_fear_interactions
