domain,mode,stress_type,scenario,balanced_accuracy,delta_ba
adhd,caregiver_1_3,threshold,threshold_shift_-0.10,0.8741318487487597,0.030757358615367547
adhd,caregiver_1_3,threshold,threshold_shift_-0.05,0.8433744901333922,0.0
adhd,caregiver_1_3,threshold,threshold_shift_+0.05,0.8433744901333922,0.0
adhd,caregiver_1_3,threshold,threshold_shift_+0.10,0.8433744901333922,0.0
adhd,caregiver_1_3,missingness,missing_10pct,0.8137746665196781,-0.02959982361371405
adhd,caregiver_2_3,threshold,threshold_shift_-0.10,0.9135431595193473,0.0
adhd,caregiver_2_3,threshold,threshold_shift_-0.05,0.9135431595193473,0.0
adhd,caregiver_2_3,threshold,threshold_shift_+0.05,0.9135431595193473,0.0
adhd,caregiver_2_3,threshold,threshold_shift_+0.10,0.9135431595193473,0.0
adhd,caregiver_2_3,missingness,missing_10pct,0.8439808179914012,-0.06956234152794605
adhd,caregiver_full,threshold,threshold_shift_-0.10,0.9269099327527285,0.04282879506118398
adhd,caregiver_full,threshold,threshold_shift_-0.05,0.9135431595193473,0.029462021827802776
adhd,caregiver_full,threshold,threshold_shift_+0.05,0.8840811376915445,0.0
adhd,caregiver_full,threshold,threshold_shift_+0.10,0.8853764744791093,0.0012953367875647714
adhd,caregiver_full,missingness,missing_10pct,0.8707143644581634,-0.01336677323338109
adhd,psychologist_1_3,threshold,threshold_shift_-0.10,0.898825928784037,-0.0036104067908719895
adhd,psychologist_1_3,threshold,threshold_shift_-0.05,0.902436335574909,0.0
adhd,psychologist_1_3,threshold,threshold_shift_+0.05,0.902436335574909,0.0
adhd,psychologist_1_3,threshold,threshold_shift_+0.10,0.86622202623746,-0.03621430933744896
adhd,psychologist_1_3,missingness,missing_10pct,0.890640502700915,-0.011795832873993994
adhd,psychologist_2_3,threshold,threshold_shift_-0.10,0.914838496306912,0.021552199316503096
adhd,psychologist_2_3,threshold,threshold_shift_-0.05,0.914838496306912,0.021552199316503096
adhd,psychologist_2_3,threshold,threshold_shift_+0.05,0.893286296990409,0.0
adhd,psychologist_2_3,threshold,threshold_shift_+0.10,0.893286296990409,0.0
adhd,psychologist_2_3,missingness,missing_10pct,0.8521662440745232,-0.04112005291588572
adhd,psychologist_full,threshold,threshold_shift_-0.10,0.9578602138683717,0.0
adhd,psychologist_full,threshold,threshold_shift_-0.05,0.9578602138683717,0.0
adhd,psychologist_full,threshold,threshold_shift_+0.05,0.9578602138683717,0.0
adhd,psychologist_full,threshold,threshold_shift_+0.10,0.9578602138683717,0.0
adhd,psychologist_full,missingness,missing_10pct,0.8915775548451108,-0.06628265902326091
anxiety,caregiver_1_3,threshold,threshold_shift_-0.10,0.9281076614331247,0.024731436666273088
anxiety,caregiver_1_3,threshold,threshold_shift_-0.05,0.9248317790107425,0.021455554243890895
anxiety,caregiver_1_3,threshold,threshold_shift_+0.05,0.8975622712784795,-0.005813953488372103
anxiety,caregiver_1_3,threshold,threshold_shift_+0.10,0.8988313068114744,-0.004544917955377259
anxiety,caregiver_1_3,missingness,missing_10pct,0.8992444811710542,-0.004131743595797488
anxiety,caregiver_2_3,threshold,threshold_shift_-0.10,0.9642604178963523,-0.0030692952425923625
anxiety,caregiver_2_3,threshold,threshold_shift_-0.05,0.9667984889623421,-0.0005312241766025627
anxiety,caregiver_2_3,threshold,threshold_shift_+0.05,0.9453429347184512,-0.021986778420493458
anxiety,caregiver_2_3,threshold,threshold_shift_+0.10,0.9466119702514462,-0.020717742887498503
anxiety,caregiver_2_3,missingness,missing_10pct,0.8988313068114744,-0.06849840632747028
anxiety,caregiver_full,threshold,threshold_shift_-0.10,0.9662672647857395,-0.0005312241766025627
anxiety,caregiver_full,threshold,threshold_shift_-0.05,0.9700743713847244,0.0032758824223823035
anxiety,caregiver_full,threshold,threshold_shift_+0.05,0.9635226065399599,-0.0032758824223821925
anxiety,caregiver_full,threshold,threshold_shift_+0.10,0.9602467241175776,-0.006551764844764496
anxiety,caregiver_full,missingness,missing_10pct,0.9091901782552236,-0.05760831070711847
anxiety,psychologist_1_3,threshold,threshold_shift_-0.10,0.883927517412348,0.005813953488372103
anxiety,psychologist_1_3,threshold,threshold_shift_-0.05,0.883927517412348,0.005813953488372103
anxiety,psychologist_1_3,threshold,threshold_shift_+0.05,0.8781135639239759,0.0
anxiety,psychologist_1_3,threshold,threshold_shift_+0.10,0.8781135639239759,0.0
anxiety,psychologist_1_3,missingness,missing_10pct,0.8510506433715028,-0.027062920552473058
anxiety,psychologist_2_3,threshold,threshold_shift_-0.10,0.9573840160547751,-0.011421319796954377
anxiety,psychologist_2_3,threshold,threshold_shift_-0.05,0.9662672647857395,-0.002538071065989911
anxiety,psychologist_2_3,threshold,threshold_shift_+0.05,0.9597154999409752,-0.009089835910754296
anxiety,psychologist_2_3,threshold,threshold_shift_+0.10,0.9647916420729548,-0.004013693778774696
anxiety,psychologist_2_3,missingness,missing_10pct,0.9389977570534765,-0.02980757879825291
anxiety,psychologist_full,threshold,threshold_shift_-0.10,0.9548459449887853,-0.013959390862944177
anxiety,psychologist_full,threshold,threshold_shift_-0.05,0.9611911226537599,-0.0076142131979695105
anxiety,psychologist_full,threshold,threshold_shift_+0.05,0.9597154999409752,-0.009089835910754296
anxiety,psychologist_full,threshold,threshold_shift_+0.10,0.9602467241175776,-0.008558611734151844
anxiety,psychologist_full,missingness,missing_10pct,0.9351906504544918,-0.033614685397237665
conduct,caregiver_1_3,threshold,threshold_shift_-0.10,0.890625,0.004687499999999956
conduct,caregiver_1_3,threshold,threshold_shift_-0.05,0.8921874999999999,0.006249999999999867
conduct,caregiver_1_3,threshold,threshold_shift_+0.05,0.878125,-0.0078125
conduct,caregiver_1_3,threshold,threshold_shift_+0.10,0.8640625,-0.02187500000000009
conduct,caregiver_1_3,missingness,missing_10pct,0.865625,-0.020312500000000067
conduct,caregiver_2_3,threshold,threshold_shift_-0.10,0.8890625000000001,0.03906250000000011
conduct,caregiver_2_3,threshold,threshold_shift_-0.05,0.878125,0.028125000000000067
conduct,caregiver_2_3,threshold,threshold_shift_+0.05,0.8343750000000001,-0.015624999999999889
conduct,caregiver_2_3,threshold,threshold_shift_+0.10,0.8140625,-0.035937499999999956
conduct,caregiver_2_3,missingness,missing_10pct,0.79375,-0.05625000000000002
conduct,caregiver_full,threshold,threshold_shift_-0.10,0.9125,0.009375000000000022
conduct,caregiver_full,threshold,threshold_shift_-0.05,0.9015625,-0.0015624999999999112
conduct,caregiver_full,threshold,threshold_shift_+0.05,0.9,-0.0031249999999999334
conduct,caregiver_full,threshold,threshold_shift_+0.10,0.8968750000000001,-0.006249999999999867
conduct,caregiver_full,missingness,missing_10pct,0.89375,-0.009374999999999911
conduct,psychologist_1_3,threshold,threshold_shift_-0.10,0.8828125,0.0078125
conduct,psychologist_1_3,threshold,threshold_shift_-0.05,0.8859375,0.010937500000000044
conduct,psychologist_1_3,threshold,threshold_shift_+0.05,0.8640625,-0.010937500000000044
conduct,psychologist_1_3,threshold,threshold_shift_+0.10,0.8421875,-0.03281250000000002
conduct,psychologist_1_3,missingness,missing_10pct,0.859375,-0.015625
conduct,psychologist_2_3,threshold,threshold_shift_-0.10,0.915625,0.0
conduct,psychologist_2_3,threshold,threshold_shift_-0.05,0.915625,0.0
conduct,psychologist_2_3,threshold,threshold_shift_+0.05,0.90625,-0.009375000000000022
conduct,psychologist_2_3,threshold,threshold_shift_+0.10,0.90625,-0.009375000000000022
conduct,psychologist_2_3,missingness,missing_10pct,0.9046875,-0.010937500000000044
conduct,psychologist_full,threshold,threshold_shift_-0.10,0.9125000000000001,0.0015625000000001332
conduct,psychologist_full,threshold,threshold_shift_-0.05,0.9109375,0.0
conduct,psychologist_full,threshold,threshold_shift_+0.05,0.9109375,0.0
conduct,psychologist_full,threshold,threshold_shift_+0.10,0.90625,-0.004687499999999956
conduct,psychologist_full,missingness,missing_10pct,0.8999999999999999,-0.010937500000000044
depression,caregiver_1_3,threshold,threshold_shift_-0.10,0.8891408260816276,0.0448277975242064
depression,caregiver_1_3,threshold,threshold_shift_-0.05,0.8758732687829391,0.031560240225517955
depression,caregiver_1_3,threshold,threshold_shift_+0.05,0.824947910283123,-0.01936511827429821
depression,caregiver_1_3,threshold,threshold_shift_+0.10,0.8068390734158598,-0.03747395514156138
depression,caregiver_1_3,missingness,missing_10pct,0.7944601054050742,-0.04985292315234702
depression,caregiver_2_3,threshold,threshold_shift_-0.10,0.9269824733423213,0.0021448706949380725
depression,caregiver_2_3,threshold,threshold_shift_-0.05,0.9198124770192426,-0.005025125628140614
depression,caregiver_2_3,threshold,threshold_shift_+0.05,0.9126424806961637,-0.012195121951219523
depression,caregiver_2_3,threshold,threshold_shift_+0.10,0.9054724843730849,-0.01936511827429832
depression,caregiver_2_3,missingness,missing_10pct,0.8749846794950362,-0.04985292315234702
depression,caregiver_full,threshold,threshold_shift_-0.10,0.8665584017649222,0.01326755729868856
depression,caregiver_full,threshold,threshold_shift_-0.05,0.8568758426277729,0.0035849981615393434
depression,caregiver_full,threshold,threshold_shift_+0.05,0.8362544429464395,-0.01703640151979413
depression,caregiver_full,threshold,threshold_shift_+0.10,0.8204743228336806,-0.032816521632553
depression,caregiver_full,missingness,missing_10pct,0.7485598725333987,-0.10473097193283487
depression,psychologist_1_3,threshold,threshold_shift_-0.10,0.8807145483515136,0.0
depression,psychologist_1_3,threshold,threshold_shift_-0.05,0.8807145483515136,0.0
