domain,mode,seed,precision,recall,balanced_accuracy,pr_auc,brier
adhd,caregiver_1_3,20270421,0.6293103448275862,0.776595744680851,0.8325983904751406,0.6313068882975835,0.08584816818322034
adhd,caregiver_1_3,20270439,0.6220472440944882,0.8404255319148937,0.858036600154338,0.6532994638650018,0.08416100370434328
adhd,caregiver_1_3,20270501,0.6290322580645161,0.8297872340425532,0.8553081247932973,0.6384317197169936,0.08485635818048469
adhd,caregiver_2_3,20270421,0.7289719626168224,0.8297872340425532,0.8773288501818983,0.6954298424951497,0.06996653548076837
adhd,caregiver_2_3,20270439,0.6929133858267716,0.9361702127659575,0.9175669716679529,0.7178994644249596,0.06684851018432154
adhd,caregiver_2_3,20270501,0.6984126984126984,0.9361702127659575,0.9188623084555176,0.7138332014454487,0.06849478532592593
adhd,caregiver_full,20270421,0.6967213114754098,0.9042553191489362,0.9042001984345718,0.7170843697805411,0.06887795974955595
adhd,caregiver_full,20270439,0.7,0.8936170212765957,0.9001763862859662,0.7157040151175634,0.06721837565704976
adhd,caregiver_full,20270501,0.7476635514018691,0.851063829787234,0.8905578216293684,0.7182494872206268,0.06640441504504481
adhd,psychologist_1_3,20270421,0.6013513513513513,0.9468085106382979,0.8969793848528277,0.6216649230459109,0.08652613884421059
adhd,psychologist_1_3,20270439,0.5921052631578947,0.9574468085106383,0.8984125234263036,0.6307392153959903,0.08427705396653355
adhd,psychologist_1_3,20270501,0.5894039735099338,0.9468085106382979,0.8930933744901334,0.6283040303680303,0.08516698684492832
adhd,psychologist_2_3,20270421,0.7049180327868853,0.9148936170212766,0.9108146841583067,0.7050443593348729,0.069776343549694
adhd,psychologist_2_3,20270439,0.7307692307692307,0.8085106382978723,0.8679858890971226,0.7191334580077693,0.06963323802990234
adhd,psychologist_2_3,20270501,0.7016129032258065,0.925531914893617,0.914838496306912,0.7125850054068633,0.0684298903108603
adhd,psychologist_full,20270421,0.8712871287128713,0.9361702127659575,0.9512457281446367,0.9581645120245006,0.0252008270212121
adhd,psychologist_full,20270439,0.8877551020408163,0.925531914893617,0.9485172527835961,0.9682134259935675,0.023179566750772554
adhd,psychologist_full,20270501,0.8877551020408163,0.925531914893617,0.9485172527835961,0.96960525741008,0.023218970419767008
anxiety,caregiver_1_3,20270421,0.7978723404255319,0.872093023255814,0.9119348365010034,0.8534960544106389,0.04373804944299258
