domain,mode,role,active_model_required,active_model_id,source_line,source_campaign,model_family,feature_set_id,config_id,calibration,threshold_policy,threshold,seed,n_features,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,final_operational_class,overfit_flag,generalization_flag,dataset_ease_flag,confidence_pct,confidence_band,operational_caveat,recommended_for_default_use,notes,feature_list_pipe
adhd,caregiver_1_3,caregiver,yes,adhd__caregiver_1_3__rebuild_v2__rf__engineered_full,hybrid_no_external_scores_rebuild_v2,rebuild_v2,rf,engineered_full,rf_regularized,isotonic,default_0_5,0.5,20261119,58,0.6212121212121212,0.8723404255319149,0.8704663212435233,0.8714033733877191,0.7256637168141593,0.9276402822180576,0.6319179403335605,0.0868278728044155,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,shortcut risk; mode fragility; low precision,no,clean_universe_no_external_scores,
adhd,caregiver_2_3,caregiver,yes,adhd__caregiver_2_3__rebuild_v2__rf__engineered_compact,hybrid_no_external_scores_rebuild_v2,rebuild_v2,rf,engineered_compact,rf_regularized,isotonic,default_0_5,0.5,20261101,43,0.7017543859649122,0.851063829787234,0.911917098445596,0.881490464116415,0.7692307692307693,0.9492613824275162,0.7044217957677258,0.072567246649348,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,mode fragility; low precision,no,clean_universe_no_external_scores,
adhd,caregiver_full,caregiver,yes,adhd__caregiver_full__rebuild_v2__rf__engineered_compact,hybrid_no_external_scores_rebuild_v2,rebuild_v2,rf,engineered_compact,rf_balanced_subsample,isotonic,recall_constrained,0.4049999999999999,20261119,53,0.7403846153846154,0.8191489361702128,0.9300518134715026,0.8746003748208577,0.7777777777777778,0.9506394002866276,0.7118788252075036,0.0687218130961477,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,mode fragility; low precision,no,clean_universe_no_external_scores,
adhd,psychologist_1_3,psychologist,yes,adhd__psychologist_1_3__rebuild_v2__rf__engineered_compact,hybrid_no_external_scores_rebuild_v2,rebuild_v2,rf,engineered_compact,rf_balanced_subsample,isotonic,balanced,0.18,20261101,30,0.6148148148148148,0.8829787234042553,0.8652849740932642,0.8741318487487597,0.7248908296943232,0.9259453202513506,0.6375451264670481,0.0841732751976726,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,mode fragility; low precision,no,clean_universe_no_external_scores,
adhd,psychologist_2_3,psychologist,yes,adhd__psychologist_2_3__rebuild_v2__rf__engineered_pruned,hybrid_no_external_scores_rebuild_v2,rebuild_v2,rf,engineered_pruned,rf_regularized,isotonic,precision_min_recall,0.5049999999999999,20261101,70,0.7289719626168224,0.8297872340425532,0.9248704663212436,0.8773288501818983,0.7761194029850746,0.9539604233270864,0.7337389775224177,0.0680043361765456,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,mode fragility; low precision,no,clean_universe_no_external_scores,
adhd,psychologist_full,psychologist,yes,adhd__psychologist_full__v6_hotfix_v1__logreg__dsm5_core_only,v6_hotfix_v1,hybrid_v6_quick_champion_guard_hotfix_v1,logreg,dsm5_core_only,logreg_guard_fallback_v1,none,f1_recall_target_band,0.654,20270421,27,0.6910569105691057,0.9042553191489362,0.9015544041450777,0.902904861647007,0.783410138248848,0.9690497188843568,0.8323549472799558,0.08179239491865822,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,secondary metric anomaly; mode fragility,no,v6_quick_hotfix_guard_replacement:retrained_light,adhd_context_home|adhd_context_other|adhd_context_school|adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_hypimp_08_difficulty_waiting_turn|adhd_hypimp_09_interrupts_intrudes|adhd_impairment_home|adhd_impairment_school|adhd_impairment_social|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|adhd_not_better_explained_other_mental|adhd_not_psychosis_exclusive|adhd_onset_before_12
anxiety,caregiver_1_3,caregiver,yes,anxiety__caregiver_1_3__rebuild_v2__rf__engineered_full,hybrid_no_external_scores_rebuild_v2,rebuild_v2,rf,engineered_full,rf_pos_weight_mid,isotonic,recall_constrained,0.3199999999999999,20261101,58,0.8875,0.8255813953488372,0.9771573604060914,0.9013693778774644,0.8554216867469879,0.9767441860465116,0.9266917820093952,0.0368358394115982,ACTIVE_MODERATE_CONFIDENCE,no,yes,no,86.9,high,mode fragility,yes,clean_universe_no_external_scores,
anxiety,caregiver_2_3,caregiver,yes,anxiety__caregiver_2_3__v6_hotfix_v1__logreg__engineered_pruned_no_eng_v1,v6_hotfix_v1,final_honest_improvement_v1,logreg,engineered_pruned_no_eng_v1,logreg_regularized_v2,none,balanced,0.8649999999999999,20270421,59,0.9,0.8372093023255814,0.9796954314720812,0.9084523668988314,0.8674698795180723,0.976508086412466,0.9296147704456827,0.0567813344547886,ACTIVE_MODERATE_CONFIDENCE,no,yes,no,87.8,high,secondary metric anomaly; mode fragility,yes,v6_quick_hotfix_guard_replacement:existing,adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_07_loses_things|age_years|agor_avoid_or_need_companion|agor_duration_months|agor_escape_help_cognition|agor_fear_01_public_transport|agor_fear_02_open_spaces|agor_fear_03_enclosed_spaces|agor_impairment|dmdd_duration_months|dmdd_irritable_between_outbursts|dmdd_outbursts_frequency_per_week|gad_assoc_01_restlessness|gad_assoc_02_fatigue|gad_assoc_03_concentration_difficulty|gad_assoc_04_irritability|gad_assoc_05_muscle_tension|gad_assoc_06_sleep_problems|gad_difficulty_controlling_worry|gad_duration_months|gad_excessive_worry_multiple_areas|gad_impairment|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_09_death_or_suicidal_thoughts|mdd_duration_weeks|mdd_impairment|pdd_duration_months_child|sep_anx_01_distress_on_separation|sep_anx_02_worry_losing_attachment_figures|sep_anx_03_worry_event_causing_separation|sep_anx_04_refuses_leaving_home_school|sep_anx_05_fear_being_alone_without_attachment|sep_anx_06_refuses_sleep_away_or_alone|sep_anx_07_separation_nightmares|sep_anx_08_physical_complaints_on_separation|sep_anx_duration_weeks|sep_anx_impairment|social_anxiety_almost_always_triggered|social_anxiety_avoid_or_endure_intense|social_anxiety_duration_months|social_anxiety_fear_being_observed|social_anxiety_fear_interactions|social_anxiety_fear_negative_evaluation|social_anxiety_fear_performance|social_anxiety_impairment
anxiety,caregiver_full,caregiver,yes,anxiety__caregiver_full__v6_hotfix_v1__logreg__full_eligible,v6_hotfix_v1,final_honest_improvement_v1,logreg,full_eligible,logreg_regularized_v2,none,balanced,0.73,20270421,126,0.8390804597701149,0.8488372093023255,0.964467005076142,0.9066521071892338,0.8439306358381503,0.9746488017943572,0.9164530208073066,0.0533859879741393,ACTIVE_MODERATE_CONFIDENCE,no,yes,no,86.2,high,secondary metric anomaly; mode fragility,yes,v6_quick_hotfix_guard_replacement:existing,adhd_context_home|adhd_context_other|adhd_context_school|adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_hypimp_08_difficulty_waiting_turn|adhd_hypimp_09_interrupts_intrudes|adhd_impairment_home|adhd_impairment_school|adhd_impairment_social|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|adhd_onset_before_12|age_years|agor_almost_always_triggered|agor_avoid_or_need_companion|agor_duration_months|agor_escape_help_cognition|agor_fear_01_public_transport|agor_fear_02_open_spaces|agor_fear_03_enclosed_spaces|agor_fear_04_crowds_queues|agor_fear_05_outside_home_alone|agor_impairment|conduct_01_bullies_threatens_intimidates|conduct_02_initiates_fights|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_05_physical_cruelty_animals|conduct_06_steals_confronting_victim|conduct_07_forced_sex|conduct_08_fire_setting|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_11_lies_to_obtain_or_avoid|conduct_12_steals_without_confrontation|conduct_13_stays_out_at_night_before_13|conduct_14_runs_away_overnight|conduct_15_truancy_before_13|conduct_impairment_global|conduct_lpe_01_lack_remorse_guilt|conduct_lpe_02_callous_lack_empathy|conduct_lpe_03_unconcerned_performance|conduct_lpe_04_shallow_deficient_affect|conduct_onset_before_10|dmdd_context_home|dmdd_context_peers|dmdd_context_school|dmdd_duration_months|dmdd_irritable_between_outbursts|dmdd_onset_before_10|dmdd_outbursts_frequency_per_week|dmdd_outbursts_severity|encopresis_constipation_present|encopresis_duration_months_consecutive|encopresis_event_frequency_per_month|encopresis_visible_deposition_pattern|enuresis_distress_impairment|enuresis_diurnal|enuresis_duration_months_consecutive|enuresis_event_frequency_per_week|enuresis_nocturnal|enuresis_primary_course|enuresis_secondary_course|gad_assoc_01_restlessness|gad_assoc_02_fatigue|gad_assoc_03_concentration_difficulty|gad_assoc_04_irritability|gad_assoc_05_muscle_tension|gad_assoc_06_sleep_problems|gad_difficulty_controlling_worry|gad_duration_months|gad_excessive_worry_multiple_areas|gad_impairment|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_09_death_or_suicidal_thoughts|mdd_duration_weeks|mdd_impairment|pdd_01_appetite_change|pdd_02_sleep_change|pdd_03_low_energy|pdd_04_low_self_esteem|pdd_05_concentration_difficulty|pdd_06_hopelessness|pdd_depressed_or_irritable_mood|pdd_duration_months_child|pdd_impairment|pdd_no_gap_gt_2_months|sep_anx_01_distress_on_separation|sep_anx_02_worry_losing_attachment_figures|sep_anx_03_worry_event_causing_separation|sep_anx_04_refuses_leaving_home_school|sep_anx_05_fear_being_alone_without_attachment|sep_anx_06_refuses_sleep_away_or_alone|sep_anx_07_separation_nightmares|sep_anx_08_physical_complaints_on_separation|sep_anx_duration_weeks|sep_anx_impairment|social_anxiety_almost_always_triggered|social_anxiety_avoid_or_endure_intense|social_anxiety_children_peer_only_flag|social_anxiety_duration_months|social_anxiety_fear_being_observed|social_anxiety_fear_interactions|social_anxiety_fear_negative_evaluation|social_anxiety_fear_performance|social_anxiety_impairment
anxiety,psychologist_1_3,psychologist,yes,anxiety__psychologist_1_3__v6_hotfix_v1__hgb__engineered_full,v6_hotfix_v1,hybrid_v6_quick_champion_guard_hotfix_v1,hgb,engineered_full,hgb_quick_guard_v1,none,f1_recall_target_band,0.31800000000000006,20270421,69,0.79,0.9186046511627907,0.9467005076142132,0.9326525793885019,0.8494623655913979,0.9779837091252508,0.9104031229648485,0.043188862697825785,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,secondary metric anomaly; shortcut risk; mode fragility; low recall,no,v6_quick_hotfix_guard_replacement:retrained_light,adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_hypimp_08_difficulty_waiting_turn|adhd_hypimp_09_interrupts_intrudes|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|conduct_01_bullies_threatens_intimidates|conduct_02_initiates_fights|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_05_physical_cruelty_animals|conduct_06_steals_confronting_victim|conduct_07_forced_sex|conduct_08_fire_setting|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_11_lies_to_obtain_or_avoid|conduct_12_steals_without_confrontation|conduct_13_stays_out_at_night_before_13|conduct_14_runs_away_overnight|conduct_15_truancy_before_13|dmdd_irritable_between_outbursts|dmdd_outbursts_frequency_per_week|encopresis_event_frequency_per_month|eng_adhd_context_spread|eng_adhd_core_mean|eng_anxiety_core_mean|eng_conduct_core_mean|eng_depression_core_mean|eng_elimination_intensity|eng_externalizing_index|eng_internalizing_index|eng_mood_discrepancy|enuresis_event_frequency_per_week|gad_difficulty_controlling_worry|gad_excessive_worry_multiple_areas|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_09_death_or_suicidal_thoughts|sep_anx_01_distress_on_separation|sep_anx_02_worry_losing_attachment_figures|sep_anx_03_worry_event_causing_separation|sep_anx_04_refuses_leaving_home_school|sep_anx_05_fear_being_alone_without_attachment|sep_anx_06_refuses_sleep_away_or_alone|sep_anx_07_separation_nightmares|sep_anx_08_physical_complaints_on_separation|social_anxiety_almost_always_triggered|social_anxiety_avoid_or_endure_intense|social_anxiety_fear_being_observed|social_anxiety_fear_interactions
