domain,mode,role_normalized,legacy_final_class,normalized_final_class,class_transition,review_bucket,priority_score,secondary_metric_anomaly_flag,overfit_risk_flag,generalization_risk_flag,easy_dataset_flag,shortcut_risk_flag,mode_fragility_flag,calibration_concern_flag,classification_rationale
anxiety,psychologist_1_3,psychologist,PRIMARY_WITH_CAVEAT,REJECT_AS_PRIMARY,downgrade,bajar_a_reject_as_primary,11,yes,no,no,no,yes,yes,no,"metrics[ba=0.857,f1=0.821,p=0.954,r=0.721,brier=0.036]; secondary_metric_anomaly_flag; mode_fragility_flag; shortcut_risk_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98; class=REJECT_AS_PRIMARY"
adhd,psychologist_full,psychologist,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,9,yes,no,no,no,no,no,no,"metrics[ba=0.912,f1=0.883,p=0.929,r=0.840,brier=0.030]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98; class=PRIMARY_WITH_CAVEAT"
anxiety,caregiver_2_3,guardian,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,9,yes,no,no,no,no,no,no,"metrics[ba=0.928,f1=0.879,p=0.874,r=0.884,brier=0.031]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98; class=PRIMARY_WITH_CAVEAT"
anxiety,caregiver_full,guardian,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,9,yes,no,no,no,no,no,no,"metrics[ba=0.939,f1=0.906,p=0.917,r=0.895,brier=0.027]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT"
anxiety,psychologist_2_3,psychologist,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,9,yes,no,no,no,no,no,no,"metrics[ba=0.938,f1=0.901,p=0.906,r=0.895,brier=0.030]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98; class=PRIMARY_WITH_CAVEAT"
anxiety,psychologist_full,psychologist,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,9,yes,no,no,no,no,no,no,"metrics[ba=0.933,f1=0.899,p=0.916,r=0.884,brier=0.027]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT"
depression,caregiver_full,guardian,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,9,yes,no,no,no,no,no,no,"metrics[ba=0.957,f1=0.892,p=0.841,r=0.949,brier=0.029]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT"
depression,psychologist_full,psychologist,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,9,yes,no,no,no,no,no,no,"metrics[ba=0.954,f1=0.901,p=0.869,r=0.936,brier=0.025]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT"
elimination,caregiver_2_3,guardian,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,9,yes,no,no,no,no,no,no,"metrics[ba=0.976,f1=0.943,p=0.926,r=0.962,brier=0.010]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT"
elimination,caregiver_full,guardian,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,9,yes,no,no,no,no,no,no,"metrics[ba=0.978,f1=0.962,p=0.962,r=0.962,brier=0.008]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT"
elimination,psychologist_2_3,psychologist,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,9,yes,no,no,no,no,no,no,"metrics[ba=0.978,f1=0.962,p=0.962,r=0.962,brier=0.008]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT"
elimination,psychologist_full,psychologist,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,9,yes,no,no,no,no,no,no,"metrics[ba=0.977,f1=0.952,p=0.943,r=0.962,brier=0.009]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT"
elimination,caregiver_1_3,guardian,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,6,yes,no,no,no,no,yes,no,"metrics[ba=0.943,f1=0.885,p=0.868,r=0.902,brier=0.020]; secondary_metric_anomaly_flag; mode_fragility_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT"
elimination,psychologist_1_3,psychologist,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,6,yes,no,no,no,no,yes,no,"metrics[ba=0.945,f1=0.902,p=0.902,r=0.902,brier=0.021]; secondary_metric_anomaly_flag; mode_fragility_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT"
conduct,caregiver_2_3,guardian,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,5,no,no,no,no,no,no,yes,"metrics[ba=0.887,f1=0.863,p=0.928,r=0.806,brier=0.060]; calibration_concern_flag; class=PRIMARY_WITH_CAVEAT"
depression,caregiver_1_3,guardian,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,unchanged,revision_pendiente_futuro_retraining,4,no,yes,yes,no,no,yes,yes,"metrics[ba=0.813,f1=0.725,p=0.806,r=0.659,brier=0.060]; generalization_risk_flag; overfit_risk_flag; mode_fragility_flag; calibration_concern_flag; class=HOLD_FOR_LIMITATION"
depression,psychologist_1_3,psychologist,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,unchanged,revision_pendiente_futuro_retraining,4,no,yes,yes,no,no,yes,no,"metrics[ba=0.864,f1=0.783,p=0.797,r=0.768,brier=0.057]; generalization_risk_flag; overfit_risk_flag; mode_fragility_flag; class=HOLD_FOR_LIMITATION"
adhd,caregiver_2_3,guardian,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,unchanged,mantener_igual,3,no,no,no,no,no,yes,no,"metrics[ba=0.881,f1=0.769,p=0.702,r=0.851,brier=0.073]; mode_fragility_flag; class=HOLD_FOR_LIMITATION"
adhd,caregiver_full,guardian,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,unchanged,mantener_igual,3,no,no,no,no,no,yes,no,"metrics[ba=0.875,f1=0.778,p=0.740,r=0.819,brier=0.069]; mode_fragility_flag; class=HOLD_FOR_LIMITATION"
adhd,psychologist_2_3,psychologist,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,unchanged,mantener_igual,3,no,no,no,no,no,yes,no,"metrics[ba=0.877,f1=0.776,p=0.729,r=0.830,brier=0.068]; mode_fragility_flag; class=HOLD_FOR_LIMITATION"
conduct,caregiver_full,guardian,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,unchanged,mantener_igual,3,no,no,no,no,no,no,yes,"metrics[ba=0.905,f1=0.860,p=0.808,r=0.919,brier=0.062]; calibration_concern_flag; class=PRIMARY_WITH_CAVEAT"
conduct,psychologist_2_3,psychologist,ROBUST_PRIMARY,ROBUST_PRIMARY,unchanged,mantener_igual,3,no,no,no,no,no,no,no,"metrics[ba=0.903,f1=0.873,p=0.885,r=0.863,brier=0.060]; class=ROBUST_PRIMARY"
conduct,psychologist_full,psychologist,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,unchanged,mantener_igual,3,no,no,no,no,no,no,no,"metrics[ba=0.914,f1=0.877,p=0.844,r=0.912,brier=0.060]; class=PRIMARY_WITH_CAVEAT"
depression,caregiver_2_3,guardian,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,unchanged,mantener_igual,3,no,no,no,no,no,yes,no,"metrics[ba=0.903,f1=0.836,p=0.831,r=0.841,brier=0.045]; mode_fragility_flag; class=HOLD_FOR_LIMITATION"
depression,psychologist_2_3,psychologist,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,unchanged,mantener_igual,3,no,no,no,no,no,yes,no,"metrics[ba=0.891,f1=0.822,p=0.827,r=0.817,brier=0.048]; mode_fragility_flag; class=HOLD_FOR_LIMITATION"
anxiety,caregiver_1_3,guardian,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,2,no,no,no,no,no,yes,no,"metrics[ba=0.901,f1=0.855,p=0.887,r=0.826,brier=0.037]; mode_fragility_flag; class=PRIMARY_WITH_CAVEAT"
conduct,caregiver_1_3,guardian,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,2,no,no,no,no,no,yes,yes,"metrics[ba=0.908,f1=0.882,p=0.902,r=0.863,brier=0.056]; mode_fragility_flag; calibration_concern_flag; class=PRIMARY_WITH_CAVEAT"
adhd,caregiver_1_3,guardian,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,unchanged,mantener_igual,0,no,no,no,no,no,yes,no,"metrics[ba=0.871,f1=0.726,p=0.621,r=0.872,brier=0.087]; mode_fragility_flag; class=HOLD_FOR_LIMITATION"
adhd,psychologist_1_3,psychologist,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,unchanged,mantener_igual,0,no,no,no,no,no,yes,no,"metrics[ba=0.874,f1=0.725,p=0.615,r=0.883,brier=0.084]; mode_fragility_flag; class=HOLD_FOR_LIMITATION"
conduct,psychologist_1_3,psychologist,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,unchanged,mantener_igual,0,no,no,no,no,no,yes,no,"metrics[ba=0.886,f1=0.858,p=0.909,r=0.812,brier=0.059]; mode_fragility_flag; class=PRIMARY_WITH_CAVEAT"
