domain,mode,source_campaign,model_family,feature_set_id,calibration,threshold_policy,threshold,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,quality_label,overfit_gap_train_val_ba,final_class,role,final_operational_class,overfit_flag,generalization_flag,dataset_ease_flag,confidence_pct,confidence_band,operational_caveat,recommended_for_default_use,role_normalized,generalization_risk_flag,overfit_risk_flag,easy_dataset_flag,secondary_metric_anomaly_flag,secondary_metric_peak,secondary_metric_anomaly_reasons,secondary_anomaly_resolution,mode_fragility_flag,shortcut_risk_flag,calibration_concern_flag,legacy_final_class,normalized_final_class,classification_reason_code,classification_rationale,class_transition
adhd,caregiver_1_3,rebuild_v2,rf,engineered_full,isotonic,default_0_5,0.5,0.6212121212121212,0.8723404255319149,0.8704663212435233,0.8714033733877191,0.7256637168141593,0.9276402822180576,0.6319179403335605,0.0868278728044155,malo,0.0192095689560136,HOLD_FOR_LIMITATION,caregiver,ACTIVE_LIMITED_USE,no,yes,no,34.3,limited,limited reliability; escalate to richer mode; low precision; short mode fragile,no,guardian,no,no,no,no,0.9276402822180576,none,not_required,yes,no,no,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.871,f1=0.726,p=0.621,r=0.872,brier=0.087]; mode_fragility_flag; class=HOLD_FOR_LIMITATION",unchanged
adhd,caregiver_2_3,rebuild_v2,rf,engineered_compact,isotonic,default_0_5,0.5,0.7017543859649122,0.851063829787234,0.911917098445596,0.881490464116415,0.7692307692307693,0.9492613824275162,0.7044217957677258,0.072567246649348,malo,0.011593723587991,HOLD_FOR_LIMITATION,caregiver,ACTIVE_LIMITED_USE,no,yes,no,41.8,limited,limited reliability; escalate to richer mode; low precision,no,guardian,no,no,no,no,0.9492613824275162,none,not_required,yes,no,no,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.881,f1=0.769,p=0.702,r=0.851,brier=0.073]; mode_fragility_flag; class=HOLD_FOR_LIMITATION",unchanged
adhd,caregiver_full,rebuild_v2,rf,engineered_compact,isotonic,recall_constrained,0.4049999999999999,0.7403846153846154,0.8191489361702128,0.9300518134715026,0.8746003748208577,0.7777777777777778,0.9506394002866276,0.7118788252075036,0.0687218130961477,malo,0.0602561275860801,HOLD_FOR_LIMITATION,caregiver,ACTIVE_LIMITED_USE,no,yes,no,42.7,limited,limited reliability; escalate to richer mode; low precision,no,guardian,no,no,no,no,0.9506394002866276,none,not_required,yes,no,no,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.875,f1=0.778,p=0.740,r=0.819,brier=0.069]; mode_fragility_flag; class=HOLD_FOR_LIMITATION",unchanged
adhd,psychologist_1_3,rebuild_v2,rf,engineered_compact,isotonic,balanced,0.18,0.6148148148148148,0.8829787234042553,0.8652849740932642,0.8741318487487597,0.7248908296943232,0.9259453202513506,0.6375451264670481,0.0841732751976726,malo,0.0360948811229926,HOLD_FOR_LIMITATION,psychologist,ACTIVE_LIMITED_USE,no,yes,no,34.9,limited,limited reliability; escalate to richer mode; low precision; short mode fragile,no,psychologist,no,no,no,no,0.9259453202513506,none,not_required,yes,no,no,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.874,f1=0.725,p=0.615,r=0.883,brier=0.084]; mode_fragility_flag; class=HOLD_FOR_LIMITATION",unchanged
adhd,psychologist_2_3,rebuild_v2,rf,engineered_pruned,isotonic,precision_min_recall,0.5049999999999999,0.7289719626168224,0.8297872340425532,0.9248704663212436,0.8773288501818983,0.7761194029850746,0.9539604233270864,0.7337389775224177,0.0680043361765456,malo,0.0304817550435452,HOLD_FOR_LIMITATION,psychologist,ACTIVE_LIMITED_USE,no,yes,no,43.8,limited,limited reliability; escalate to richer mode; low precision,no,psychologist,no,no,no,no,0.9539604233270864,none,not_required,yes,no,no,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.877,f1=0.776,p=0.729,r=0.830,brier=0.068]; mode_fragility_flag; class=HOLD_FOR_LIMITATION",unchanged
adhd,psychologist_full,rebuild_v2,rf,engineered_full,isotonic,precision_min_recall,0.5049999999999999,0.9294117647058824,0.8404255319148937,0.9844559585492229,0.9124407452320582,0.88268156424581,0.9892652408775218,0.9271313857162288,0.0302329344052168,muy_bueno,0.0159574468085107,ROBUST_PRIMARY,psychologist,ACTIVE_HIGH_CONFIDENCE,no,yes,no,91.7,high,none,yes,psychologist,no,no,no,yes,0.9892652408775218,"roc_auc_gt_0_98,specificity_gt_0_98",por_confirmar,no,no,no,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,robust_metrics_blocked_by_unresolved_secondary_anomaly,"metrics[ba=0.912,f1=0.883,p=0.929,r=0.840,brier=0.030]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98; class=PRIMARY_WITH_CAVEAT",downgrade
anxiety,caregiver_1_3,rebuild_v2,rf,engineered_full,isotonic,recall_constrained,0.3199999999999999,0.8875,0.8255813953488372,0.9771573604060914,0.9013693778774644,0.8554216867469879,0.9767441860465116,0.9266917820093952,0.0368358394115982,muy_bueno,0.0435898949356627,ROBUST_PRIMARY,caregiver,ACTIVE_HIGH_CONFIDENCE,no,yes,no,88.5,high,none,yes,guardian,no,no,no,no,0.9771573604060914,none,not_required,yes,no,no,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.901,f1=0.855,p=0.887,r=0.826,brier=0.037]; mode_fragility_flag; class=PRIMARY_WITH_CAVEAT",downgrade
anxiety,caregiver_2_3,rebuild_v2,rf,compact_subset,isotonic,balanced,0.3349999999999999,0.8735632183908046,0.8837209302325582,0.9720812182741116,0.9279010742533348,0.8786127167630058,0.9918840750796836,0.9524808419049928,0.0306755822953721,bueno,0.0561326879943335,ROBUST_PRIMARY,caregiver,ACTIVE_HIGH_CONFIDENCE,no,yes,no,89.7,high,none,yes,guardian,no,no,no,yes,0.9918840750796836,roc_auc_gt_0_98,por_confirmar,no,no,no,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,robust_metrics_blocked_by_unresolved_secondary_anomaly,"metrics[ba=0.928,f1=0.879,p=0.874,r=0.884,brier=0.031]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98; class=PRIMARY_WITH_CAVEAT",downgrade
anxiety,caregiver_full,rebuild_v2,rf,precision_oriented_subset,isotonic,balanced,0.295,0.9166666666666666,0.8953488372093024,0.9822335025380712,0.9387911698736868,0.9058823529411764,0.9911462637232912,0.9465380549682876,0.0274435048754308,muy_bueno,0.0466887026325109,ROBUST_PRIMARY,caregiver,ACTIVE_HIGH_CONFIDENCE,no,yes,no,95.3,high,none,yes,guardian,no,no,no,yes,0.9911462637232912,"roc_auc_gt_0_98,specificity_gt_0_98,suspicious_combo_secondary_plus_brier",por_confirmar,no,no,no,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,robust_metrics_blocked_by_unresolved_secondary_anomaly,"metrics[ba=0.939,f1=0.906,p=0.917,r=0.895,brier=0.027]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT",downgrade
anxiety,psychologist_1_3,rebuild_v2,rf,engineered_full,isotonic,precision_min_recall,0.61,0.953846153846154,0.7209302325581395,0.9923857868020304,0.856658009680085,0.8211920529801324,0.9836058316609608,0.9167286511795306,0.0355709159204354,aceptable,0.0309388895447212,PRIMARY_WITH_CAVEAT,psychologist,ACTIVE_MODERATE_CONFIDENCE,no,yes,no,73.4,moderate,none,yes,psychologist,no,no,no,yes,0.9923857868020304,"roc_auc_gt_0_98,specificity_gt_0_98",por_confirmar,yes,yes,no,PRIMARY_WITH_CAVEAT,REJECT_AS_PRIMARY,hard_blocker_easy_or_shortcut,"metrics[ba=0.857,f1=0.821,p=0.954,r=0.721,brier=0.036]; secondary_metric_anomaly_flag; mode_fragility_flag; shortcut_risk_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98; class=REJECT_AS_PRIMARY",downgrade
