slot_key,domain,current_threshold,recommended_threshold,current_recall,recommended_recall,current_specificity,recommended_specificity,current_precision,recommended_precision,current_f2,recommended_f2,current_fpr,recommended_fpr,current_fnr,recommended_fnr,current_balanced_accuracy,recommended_balanced_accuracy,current_mcc,recommended_mcc,current_pred_pos_rate,recommended_pred_pos_rate,current_confusion,recommended_confusion
adhd/caregiver/caregiver_1_3,adhd,0.3799999999999999,0.3799999999999999,0.9787234042553191,0.9787234042553191,0.8601036269430051,0.8601036269430051,0.6301369863013698,0.6301369863013698,0.8812260536398467,0.8812260536398467,0.13989637305699482,0.13989637305699482,0.02127659574468085,0.02127659574468085,0.9194135155991621,0.9194135155991621,0.7235696380535575,0.7235696380535575,0.30416666666666664,0.30416666666666664,"332,54,2,92","332,54,2,92"
adhd/caregiver/caregiver_2_3,adhd,0.4499999999999999,0.4499999999999999,0.9680851063829787,0.9680851063829787,0.8860103626943006,0.8860103626943006,0.674074074074074,0.674074074074074,0.8904109589041096,0.8904109589041096,0.11398963730569948,0.11398963730569948,0.031914893617021274,0.031914893617021274,0.9270477345386396,0.9270477345386396,0.7538545584970073,0.7538545584970073,0.28125,0.28125,"342,44,3,91","342,44,3,91"
adhd/caregiver/caregiver_full,adhd,0.1499999999999999,0.1499999999999999,0.9574468085106383,0.9574468085106383,0.8782383419689119,0.8782383419689119,0.656934306569343,0.656934306569343,0.8771929824561403,0.8771929824561403,0.12176165803108809,0.12176165803108809,0.0425531914893617,0.0425531914893617,0.9178425752397752,0.9178425752397752,0.7343327892843123,0.7343327892843123,0.28541666666666665,0.28541666666666665,"339,47,4,90","339,47,4,90"
adhd/psychologist/psychologist_1_3,adhd,0.08,0.08,0.9680851063829787,0.9680851063829787,0.8549222797927462,0.8549222797927462,0.6190476190476191,0.6190476190476191,0.869980879541109,0.869980879541109,0.14507772020725387,0.14507772020725387,0.031914893617021274,0.031914893617021274,0.9115036930878624,0.9115036930878624,0.7085663567473047,0.7085663567473047,0.30625,0.30625,"330,56,3,91","330,56,3,91"
adhd/psychologist/psychologist_2_3,adhd,0.13,0.13,0.9787234042553191,0.9787234042553191,0.9455958549222798,0.9455958549222798,0.8141592920353983,0.8141592920353983,0.9406952965235174,0.9406952965235174,0.054404145077720206,0.054404145077720206,0.02127659574468085,0.02127659574468085,0.9621596295887995,0.9621596295887995,0.864584265119001,0.864584265119001,0.23541666666666666,0.23541666666666666,"365,21,2,92","365,21,2,92"
adhd/psychologist/psychologist_full,adhd,0.19,0.19,0.9680851063829787,0.9680851063829787,0.9533678756476683,0.9533678756476683,0.8348623853211009,0.8348623853211009,0.9381443298969072,0.9381443298969072,0.046632124352331605,0.046632124352331605,0.031914893617021274,0.031914893617021274,0.9607264910153235,0.9607264910153235,0.8728317892118598,0.8728317892118598,0.22708333333333333,0.22708333333333333,"368,18,3,91","368,18,3,91"
anxiety/caregiver/caregiver_1_3,anxiety,0.5199999999999999,0.5199999999999999,0.9418604651162791,0.9418604651162791,0.9568527918781726,0.9568527918781726,0.826530612244898,0.826530612244898,0.916289592760181,0.916289592760181,0.04314720812182741,0.04314720812182741,0.05813953488372093,0.05813953488372093,0.9493566284972259,0.9493566284972259,0.8550150618615587,0.8550150618615587,0.20416666666666666,0.20416666666666666,"377,17,5,81","377,17,5,81"
anxiety/caregiver/caregiver_2_3,anxiety,0.3299999999999999,0.3299999999999999,0.9651162790697675,0.9651162790697675,0.9517766497461929,0.9517766497461929,0.8137254901960784,0.8137254901960784,0.9304932735426009,0.9304932735426009,0.048223350253807105,0.048223350253807105,0.03488372093023256,0.03488372093023256,0.9584464644079802,0.9584464644079802,0.8595476833495681,0.8595476833495681,0.2125,0.2125,"375,19,3,83","375,19,3,83"
anxiety/caregiver/caregiver_full,anxiety,0.3599999999999999,0.3599999999999999,0.9767441860465116,0.9767441860465116,0.9593908629441624,0.9593908629441624,0.84,0.84,0.9459459459459462,0.9459459459459462,0.04060913705583756,0.04060913705583756,0.023255813953488372,0.023255813953488372,0.968067524495337,0.968067524495337,0.8839832660059415,0.8839832660059415,0.20833333333333334,0.20833333333333334,"378,16,2,84","378,16,2,84"
anxiety/psychologist/psychologist_1_3,anxiety,0.1099999999999999,0.1099999999999999,0.9651162790697675,0.9651162790697675,0.9213197969543148,0.9213197969543148,0.7280701754385965,0.7280701754385965,0.906113537117904,0.906113537117904,0.07868020304568528,0.07868020304568528,0.03488372093023256,0.03488372093023256,0.9432180380120412,0.9432180380120412,0.798825262438756,0.798825262438756,0.2375,0.2375,"363,31,3,83","363,31,3,83"
anxiety/psychologist/psychologist_2_3,anxiety,0.3999999999999999,0.3999999999999999,0.9651162790697675,0.9651162790697675,0.9644670050761421,0.9644670050761421,0.8556701030927835,0.8556701030927835,0.9410430839002267,0.9410430839002267,0.03553299492385787,0.03553299492385787,0.03488372093023256,0.03488372093023256,0.9647916420729548,0.9647916420729548,0.8877698425667823,0.8877698425667823,0.20208333333333334,0.20208333333333334,"380,14,3,83","380,14,3,83"
anxiety/psychologist/psychologist_full,anxiety,0.4099999999999999,0.4099999999999999,0.9651162790697675,0.9651162790697675,0.9695431472081218,0.9695431472081218,0.8736842105263158,0.8736842105263158,0.9453302961275627,0.9453302961275627,0.030456852791878174,0.030456852791878174,0.03488372093023256,0.03488372093023256,0.9673297131389447,0.9673297131389447,0.8996188762437535,0.8996188762437535,0.19791666666666666,0.19791666666666666,"382,12,3,83","382,12,3,83"
