slot_key,domain,role,mode,high_separability_alert,high_separability_validated,operational_caveat,top1_feature,top3_features_pipe,top1_feature_share,top3_feature_share,feature_dominance_flag,conduct_impairment_global_present
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,no,yes,none,adhd_onset_before_12,adhd_onset_before_12|adhd_impairment_school|adhd_impairment_home,0.4724837074583637,0.6726285300506881,no,no
adhd/caregiver/caregiver_2_3,adhd,caregiver,caregiver_2_3,no,yes,none,adhd_onset_before_12,adhd_onset_before_12|adhd_inatt_03_seems_not_listening|adhd_inatt_02_sustained_attention_difficulty,0.45119405625331793,0.6085972050238821,no,no
adhd/caregiver/caregiver_full,adhd,caregiver,caregiver_full,no,yes,none,adhd_onset_before_12,adhd_onset_before_12|adhd_inatt_06_avoids_sustained_effort|adhd_impairment_school,0.19449749886312032,0.3483174170077317,no,no
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,no,yes,none,adhd_onset_before_12,adhd_onset_before_12|adhd_inatt_03_seems_not_listening|adhd_inatt_06_avoids_sustained_effort,0.20746216121084138,0.46788102780711044,no,no
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,yes,yes,high_separability_requires_external_validation,adhd_onset_before_12,adhd_onset_before_12|adhd_not_better_explained_other_mental|adhd_inatt_06_avoids_sustained_effort,0.43228035839882617,0.7713219779211651,no,no
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,yes,yes,high_separability_requires_external_validation,adhd_onset_before_12,adhd_onset_before_12|adhd_not_better_explained_other_mental|adhd_inatt_06_avoids_sustained_effort,0.3693499655987324,0.6178168655957411,no,no
anxiety/caregiver/caregiver_1_3,anxiety,caregiver,caregiver_1_3,yes,yes,high_separability_requires_external_validation,sep_anx_impairment,sep_anx_impairment|social_anxiety_impairment|gad_difficulty_controlling_worry,0.5542725173210169,0.8775093267010132,no,no
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,yes,yes,high_separability_requires_external_validation,sep_anx_impairment,sep_anx_impairment|sep_anx_duration_weeks|agor_fear_01_public_transport,0.26622338187021316,0.4983587240131301,no,no
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,yes,yes,high_separability_requires_external_validation,sep_anx_impairment,sep_anx_impairment|sep_anx_duration_weeks|agor_duration_months,0.5015620562340289,0.8128372621414433,no,no
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,yes,yes,high_separability_requires_external_validation,sep_anx_07_separation_nightmares,sep_anx_07_separation_nightmares|sep_anx_03_worry_event_causing_separation|sep_anx_08_physical_complaints_on_separation,0.15738719068413384,0.3848253275109169,no,no
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,yes,yes,high_separability_requires_external_validation,sep_anx_impairment,sep_anx_impairment|sep_anx_duration_weeks|social_anxiety_fear_negative_evaluation,0.2040718791818017,0.43825272414452365,no,no
anxiety/psychologist/psychologist_full,anxiety,psychologist,psychologist_full,yes,yes,high_separability_requires_external_validation,sep_anx_impairment,sep_anx_impairment|sep_anx_07_separation_nightmares|sep_anx_duration_weeks,0.19372347774597895,0.3170827987762751,no,no
conduct/caregiver/caregiver_1_3,conduct,caregiver,caregiver_1_3,yes,yes,high_separability_requires_external_validation,conduct_impairment_global,conduct_impairment_global|conduct_15_truancy_before_13|conduct_05_physical_cruelty_animals,0.982993197278912,0.9914965986394562,yes,yes
conduct/caregiver/caregiver_2_3,conduct,caregiver,caregiver_2_3,yes,yes,high_separability_requires_external_validation,conduct_impairment_global,conduct_impairment_global|conduct_09_property_destruction|conduct_03_weapon_use,0.9781312127236579,0.982107355864811,yes,yes
conduct/caregiver/caregiver_full,conduct,caregiver,caregiver_full,yes,yes,high_separability_requires_external_validation,conduct_impairment_global,conduct_impairment_global|conduct_15_truancy_before_13|conduct_12_steals_without_confrontation,0.9530332681017617,0.9726027397260273,yes,yes
conduct/psychologist/psychologist_1_3,conduct,psychologist,psychologist_1_3,no,yes,none,conduct_06_steals_confronting_victim,conduct_06_steals_confronting_victim|conduct_15_truancy_before_13|conduct_09_property_destruction,0.2714285714285731,0.628571428571433,no,no
conduct/psychologist/psychologist_2_3,conduct,psychologist,psychologist_2_3,yes,yes,high_separability_requires_external_validation,conduct_impairment_global,conduct_impairment_global|conduct_09_property_destruction|conduct_11_lies_to_obtain_or_avoid,0.9945054945054952,0.9981684981684984,yes,yes
conduct/psychologist/psychologist_full,conduct,psychologist,psychologist_full,yes,yes,high_separability_requires_external_validation,conduct_impairment_global,conduct_impairment_global|conduct_15_truancy_before_13|conduct_12_steals_without_confrontation,0.9580838323353297,0.9780439121756486,yes,yes
depression/caregiver/caregiver_1_3,depression,caregiver,caregiver_1_3,yes,yes,high_separability_requires_external_validation,mdd_impairment,mdd_impairment|mdd_duration_weeks|pdd_duration_months_child,0.41348452003779695,0.9495859040631435,yes,no
depression/caregiver/caregiver_2_3,depression,caregiver,caregiver_2_3,yes,yes,high_separability_requires_external_validation,mdd_duration_weeks,mdd_duration_weeks|mdd_impairment|pdd_duration_months_child,0.5504571026722924,0.980485232067511,yes,no
depression/caregiver/caregiver_full,depression,caregiver,caregiver_full,yes,yes,high_separability_requires_external_validation,mdd_impairment,mdd_impairment|mdd_duration_weeks|pdd_duration_months_child,0.31427466578278695,0.6893160976687668,no,no
depression/psychologist/psychologist_1_3,depression,psychologist,psychologist_1_3,yes,yes,high_separability_requires_external_validation,mdd_duration_weeks,mdd_duration_weeks|mdd_impairment|pdd_duration_months_child,0.3596183905567838,0.8009486336441555,no,no
depression/psychologist/psychologist_2_3,depression,psychologist,psychologist_2_3,yes,yes,high_separability_requires_external_validation,mdd_impairment,mdd_impairment|mdd_duration_weeks|pdd_depressed_or_irritable_mood,0.30838815789473806,0.6576597744360927,no,no
depression/psychologist/psychologist_full,depression,psychologist,psychologist_full,yes,yes,high_separability_requires_external_validation,mdd_impairment,mdd_impairment|mdd_duration_weeks|pdd_duration_months_child,0.3335064549636458,0.6626354058465669,no,no
elimination/caregiver/caregiver_1_3,elimination,caregiver,caregiver_1_3,yes,yes,high_separability_requires_external_validation,enuresis_duration_months_consecutive,enuresis_duration_months_consecutive|encopresis_event_frequency_per_month,0.7626750624253609,1.0,yes,no
elimination/caregiver/caregiver_2_3,elimination,caregiver,caregiver_2_3,yes,yes,high_separability_requires_external_validation,enuresis_duration_months_consecutive,enuresis_duration_months_consecutive|encopresis_duration_months_consecutive|encopresis_event_frequency_per_month,0.528283694021856,0.8878294407542322,no,no
elimination/caregiver/caregiver_full,elimination,caregiver,caregiver_full,yes,yes,high_separability_requires_external_validation,enuresis_duration_months_consecutive,enuresis_duration_months_consecutive|encopresis_duration_months_consecutive|encopresis_visible_deposition_pattern,0.479189892233371,0.7213861018208851,no,no
elimination/psychologist/psychologist_1_3,elimination,psychologist,psychologist_1_3,yes,yes,high_separability_requires_external_validation,encopresis_event_frequency_per_month,encopresis_event_frequency_per_month|enuresis_duration_months_consecutive|enuresis_primary_course,0.41767194109352984,1.0,yes,no
elimination/psychologist/psychologist_2_3,elimination,psychologist,psychologist_2_3,yes,yes,high_separability_requires_external_validation,enuresis_duration_months_consecutive,enuresis_duration_months_consecutive|enuresis_nocturnal|encopresis_event_frequency_per_month,0.386158001350439,0.8480756245779879,no,no
elimination/psychologist/psychologist_full,elimination,psychologist,psychologist_full,yes,yes,high_separability_requires_external_validation,enuresis_duration_months_consecutive,enuresis_duration_months_consecutive|encopresis_event_frequency_per_month|encopresis_duration_months_consecutive,0.42764618800888254,0.9628053293856407,yes,no
