slot_key,domain,ablation,n_features,threshold,recall,specificity,fpr,fnr,precision,npv,f1,f2,pr_auc,roc_auc,balanced_accuracy,mcc,brier,gap_train_holdout_recall,gap_train_holdout_f2,gap_train_holdout_ba
adhd/caregiver/caregiver_1_3,adhd,no_top1,8,0.45,0.9361702127659575,0.8160621761658031,0.18393782383419688,0.06382978723404255,0.5534591194968553,0.9813084112149533,0.6956521739130435,0.822429906542056,0.5915533194538452,0.9172913680961305,0.8761161944658803,0.6342471577787971,0.10684333365635783,0.05319148936170215,0.05825191163976218,0.042139786131628276
adhd/caregiver/caregiver_2_3,adhd,no_top1,17,0.41000000000000003,0.9680851063829787,0.8264248704663213,0.17357512953367876,0.031914893617021274,0.5759493670886076,0.9906832298136646,0.7222222222222222,0.8520599250936329,0.5772462019817297,0.9158031088082902,0.89725498842465,0.6709659093030607,0.10305199397857583,0.03191489361702127,0.037529980269143115,0.027183698967405245
adhd/caregiver/caregiver_full,adhd,no_top1,25,0.09999999999999999,0.9680851063829787,0.8212435233160622,0.17875647668393782,0.031914893617021274,0.56875,0.990625,0.7165354330708661,0.8488805970149255,0.59740952878952,0.9184213427406019,0.8946643148495205,0.6644777665489652,0.09984862235684726,0.03191489361702127,0.038469937912701924,0.028047256825781797
adhd/psychologist/psychologist_1_3,adhd,no_top1,8,0.09,0.9574468085106383,0.8031088082901554,0.19689119170984457,0.0425531914893617,0.5421686746987951,0.9872611464968153,0.6923076923076923,0.8302583025830259,0.5762356616728959,0.9077830448682614,0.8802778084003968,0.6345556115992999,0.09989227197089856,0.03900709219858156,0.03809769247259842,0.027707345753867685
adhd/psychologist/psychologist_2_3,adhd,no_top1,17,0.09,0.9787234042553191,0.8989637305699482,0.10103626943005181,0.02127659574468085,0.7022900763358778,0.994269340974212,0.8177777777777778,0.9072978303747534,0.8825779532833303,0.9730459706757799,0.9388435674126336,0.781895926076131,0.055607588441677715,0.021276595744680882,0.02895714970492791,0.019705655385293896
adhd/psychologist/psychologist_full,adhd,no_top1,26,0.14,0.9680851063829787,0.9093264248704663,0.09067357512953368,0.031914893617021274,0.7222222222222222,0.9915254237288136,0.8272727272727273,0.9063745019920318,0.8724296584388209,0.9720262374600374,0.9387057656267226,0.7913598517504158,0.05682028263989574,0.03191489361702127,0.042481487240808025,0.028479035754970017
anxiety/caregiver/caregiver_1_3,anxiety,no_top1,4,0.35000000000000003,0.9069767441860465,0.8604060913705583,0.13959390862944163,0.09302325581395349,0.5864661654135338,0.9769452449567724,0.7123287671232876,0.8176100628930817,0.8782830533033542,0.9538425215440914,0.8836914177783024,0.6575349767692298,0.07139596614722032,0.003875968992248069,0.004068258785239975,0.002784008184787412
anxiety/caregiver/caregiver_2_3,anxiety,no_top1,26,0.25,0.9534883720930233,0.9238578680203046,0.07614213197969544,0.046511627906976744,0.7321428571428571,0.9891304347826086,0.8282828282828283,0.8991228070175439,0.9410120775796392,0.9838566875221343,0.9386731200566639,0.7954913015017638,0.038496124942862406,0.046511627906976716,0.030942081230473373,0.020294731043166814
anxiety/caregiver/caregiver_full,anxiety,no_top1,39,0.52,0.9069767441860465,0.9746192893401016,0.025380710659898477,0.09302325581395349,0.8863636363636364,0.9795918367346939,0.896551724137931,0.9027777777777777,0.9416957474549497,0.9858045095030102,0.9407980167630741,0.873740756914628,0.03802944070422335,0.03875968992248069,0.03568376068376089,0.021917916027230144
anxiety/psychologist/psychologist_1_3,anxiety,no_top1,11,0.3081462302507446,0.9069767441860465,0.9593908629441624,0.04060913705583756,0.09302325581395349,0.8297872340425532,0.9792746113989638,0.8666666666666667,0.8904109589041095,0.94487565533033,0.983207413528509,0.9331838035651044,0.8372245666817942,0.036911911499923636,0.03488372093023262,0.033543413719464676,0.020825955219769487
