domain,role,mode,feature_set_type,target_n_features,available_n_features_for_mode,selected_n_features,best_attainable_under_current_questionnaire,is_subset_of_full,is_nested_with_2_3,cross_domain_feature_count,eng_feature_count,features_pipe
adhd,caregiver,caregiver_full,domain_strict_full,26,26,26,no,yes,yes,0,0,adhd_onset_before_12|adhd_impairment_school|adhd_impairment_home|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_impairment_social|adhd_inatt_07_loses_things|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_08_easily_distracted|adhd_hypimp_07_blurts_out|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_hypimp_02_leaves_seat|adhd_hypimp_05_driven_by_motor|adhd_hypimp_04_cannot_play_quietly|adhd_context_other|adhd_hypimp_01_fidgets|adhd_hypimp_06_talks_excessively|adhd_context_home|adhd_hypimp_09_interrupts_intrudes|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_08_difficulty_waiting_turn|adhd_context_school|age_years
adhd,caregiver,caregiver_2_3,domain_strict_2_3,18,26,18,no,yes,yes,0,0,adhd_onset_before_12|adhd_impairment_school|adhd_impairment_home|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_impairment_social|adhd_inatt_07_loses_things|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_08_easily_distracted|adhd_hypimp_07_blurts_out|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_hypimp_02_leaves_seat|adhd_hypimp_05_driven_by_motor|adhd_hypimp_04_cannot_play_quietly|adhd_context_other
adhd,caregiver,caregiver_1_3,domain_strict_1_3,9,25,9,no,yes,yes,0,0,adhd_onset_before_12|adhd_impairment_school|adhd_impairment_home|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_impairment_social|adhd_inatt_07_loses_things|adhd_inatt_02_sustained_attention_difficulty
adhd,psychologist,psychologist_full,domain_strict_full,27,27,27,no,yes,yes,0,0,adhd_onset_before_12|adhd_not_better_explained_other_mental|adhd_impairment_home|adhd_impairment_school|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_09_forgetful_daily_activities|adhd_inatt_03_seems_not_listening|adhd_inatt_02_sustained_attention_difficulty|adhd_impairment_social|adhd_hypimp_07_blurts_out|adhd_inatt_08_easily_distracted|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_07_loses_things|adhd_inatt_04_fails_to_finish_tasks|adhd_hypimp_02_leaves_seat|adhd_hypimp_01_fidgets|adhd_inatt_05_organization_difficulty|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_09_interrupts_intrudes|adhd_context_other|adhd_hypimp_06_talks_excessively|adhd_hypimp_08_difficulty_waiting_turn|adhd_context_home|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_context_school|adhd_not_psychosis_exclusive
adhd,psychologist,psychologist_2_3,domain_strict_2_3,18,26,18,no,yes,yes,0,0,adhd_onset_before_12|adhd_not_better_explained_other_mental|adhd_impairment_home|adhd_impairment_school|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_09_forgetful_daily_activities|adhd_inatt_03_seems_not_listening|adhd_inatt_02_sustained_attention_difficulty|adhd_impairment_social|adhd_hypimp_07_blurts_out|adhd_inatt_08_easily_distracted|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_07_loses_things|adhd_inatt_04_fails_to_finish_tasks|adhd_hypimp_02_leaves_seat|adhd_hypimp_01_fidgets|adhd_inatt_05_organization_difficulty|adhd_hypimp_04_cannot_play_quietly
adhd,psychologist,psychologist_1_3,domain_strict_1_3,9,15,9,no,yes,yes,0,0,adhd_onset_before_12|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_09_forgetful_daily_activities|adhd_inatt_03_seems_not_listening|adhd_inatt_02_sustained_attention_difficulty|adhd_hypimp_07_blurts_out|adhd_inatt_08_easily_distracted|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_07_loses_things
conduct,caregiver,caregiver_full,domain_strict_full,22,22,22,no,yes,yes,0,0,conduct_impairment_global|conduct_09_property_destruction|conduct_03_weapon_use|conduct_06_steals_confronting_victim|conduct_15_truancy_before_13|conduct_08_fire_setting|conduct_01_bullies_threatens_intimidates|conduct_05_physical_cruelty_animals|conduct_11_lies_to_obtain_or_avoid|conduct_07_forced_sex|conduct_14_runs_away_overnight|conduct_12_steals_without_confrontation|conduct_02_initiates_fights|conduct_13_stays_out_at_night_before_13|conduct_lpe_04_shallow_deficient_affect|conduct_10_breaks_into_house_building_car|conduct_lpe_02_callous_lack_empathy|conduct_lpe_01_lack_remorse_guilt|conduct_04_physical_cruelty_people|conduct_lpe_03_unconcerned_performance|age_years|conduct_onset_before_10
conduct,caregiver,caregiver_2_3,domain_strict_2_3,15,17,15,no,yes,yes,0,0,conduct_impairment_global|conduct_09_property_destruction|conduct_03_weapon_use|conduct_06_steals_confronting_victim|conduct_15_truancy_before_13|conduct_08_fire_setting|conduct_01_bullies_threatens_intimidates|conduct_05_physical_cruelty_animals|conduct_11_lies_to_obtain_or_avoid|conduct_07_forced_sex|conduct_14_runs_away_overnight|conduct_12_steals_without_confrontation|conduct_02_initiates_fights|conduct_13_stays_out_at_night_before_13|conduct_10_breaks_into_house_building_car
conduct,caregiver,caregiver_1_3,domain_strict_1_3,8,16,8,no,yes,yes,0,0,conduct_impairment_global|conduct_09_property_destruction|conduct_03_weapon_use|conduct_06_steals_confronting_victim|conduct_15_truancy_before_13|conduct_08_fire_setting|conduct_01_bullies_threatens_intimidates|conduct_05_physical_cruelty_animals
conduct,psychologist,psychologist_full,domain_strict_full,23,23,23,no,yes,yes,0,0,conduct_impairment_global|conduct_09_property_destruction|conduct_06_steals_confronting_victim|conduct_03_weapon_use|conduct_08_fire_setting|conduct_15_truancy_before_13|conduct_11_lies_to_obtain_or_avoid|conduct_02_initiates_fights|conduct_01_bullies_threatens_intimidates|conduct_05_physical_cruelty_animals|conduct_12_steals_without_confrontation|conduct_14_runs_away_overnight|conduct_07_forced_sex|conduct_lpe_02_callous_lack_empathy|conduct_13_stays_out_at_night_before_13|conduct_lpe_04_shallow_deficient_affect|conduct_10_breaks_into_house_building_car|conduct_04_physical_cruelty_people|conduct_lpe_03_unconcerned_performance|conduct_lpe_01_lack_remorse_guilt|age_years|conduct_onset_before_10|conduct_no_antisocial_personality_if_18plus
