domain,role,feature,ranking_position,ranking_score,impurity_mean,impurity_std,permutation_mean,permutation_std,feature_label_human,questionnaire_section_suggested
adhd,caregiver,adhd_onset_before_12,1,0.3076780949391476,0.1573185879934697,0.00782441785004613,0.2132964943225665,0.018293187079704537,Adhd onset before 12,por_confirmar
adhd,caregiver,adhd_impairment_school,2,0.09160494554046685,0.13261416433398443,0.010464450460373982,0.01203698599933864,3.445044647779061e-05,Adhd impairment school,por_confirmar
adhd,caregiver,adhd_impairment_home,3,0.06990388520792938,0.09860452840934354,0.012550957484276228,0.01074164921177384,0.004637030095910044,Adhd impairment home,por_confirmar
adhd,caregiver,adhd_inatt_06_avoids_sustained_effort,4,0.05523961668228431,0.06606858850564613,0.006730502781910665,0.015599162165141733,0.002370190717671694,Adhd inatt 06 avoids sustained effort,por_confirmar
adhd,caregiver,adhd_inatt_03_seems_not_listening,5,0.0476201283298333,0.06175200780971378,0.0011486968465016561,0.010569396979384887,0.004671480542387835,Adhd inatt 03 seems not listening,por_confirmar
adhd,caregiver,adhd_inatt_09_forgetful_daily_activities,6,0.045124981614917924,0.059637398235564174,0.002512395334017805,0.009342961084775697,0.003307242861867482,Adhd inatt 09 forgetful daily activities,por_confirmar
adhd,caregiver,adhd_impairment_social,7,0.041181577303358585,0.05965628128394192,0.0039286782018468445,0.005388049829125802,0.0026595744680850963,Adhd impairment social,por_confirmar
adhd,caregiver,adhd_inatt_07_loses_things,8,0.03823346782144563,0.04988547006418024,0.012177731004894634,0.008302557601146565,0.0036310770587587027,Adhd inatt 07 loses things,por_confirmar
adhd,caregiver,adhd_inatt_02_sustained_attention_difficulty,9,0.037329203838440496,0.043233993812067974,0.0003033239336282928,0.011389317605556226,0.004637030095910044,Adhd inatt 02 sustained attention difficulty,por_confirmar
adhd,caregiver,adhd_inatt_08_easily_distracted,10,0.03428344846578994,0.04210787581108123,0.02631117262965922,0.009019126887884504,0.003631077058758675,Adhd inatt 08 easily distracted,por_confirmar
adhd,caregiver,adhd_hypimp_07_blurts_out,11,0.030134485804133623,0.0335164247300235,0.0012791697045943884,0.010025079925035874,0.00197745562782492,Adhd hypimp 07 blurts out,por_confirmar
adhd,caregiver,adhd_inatt_01_attention_to_detail_errors,12,0.029424919494364276,0.034550027016102075,0.0026603032160961377,0.008695292690993367,0.0026595744680850963,Adhd inatt 01 attention to detail errors,por_confirmar
adhd,caregiver,adhd_inatt_04_fails_to_finish_tasks,13,0.02402901901241703,0.025556859546190094,0.0046320699430472964,0.008695292690993311,0.0026595744680850963,Adhd inatt 04 fails to finish tasks,por_confirmar
adhd,caregiver,adhd_inatt_05_organization_difficulty,14,0.01903736891599178,0.018431671379154194,0.001800385312718303,0.007978723404255372,0.002590673575129543,Adhd inatt 05 organization difficulty,por_confirmar
adhd,caregiver,adhd_hypimp_02_leaves_seat,15,0.01755484985984642,0.013147479153047904,0.0003404729714713973,0.009666795281666918,0.00032383419689119286,Adhd hypimp 02 leaves seat,por_confirmar
adhd,caregiver,adhd_hypimp_05_driven_by_motor,16,0.016648598981816407,0.014392973316089162,0.002128883928744134,0.008013173850733163,0.0019774556278249478,Adhd hypimp 05 driven by motor,por_confirmar
adhd,caregiver,adhd_hypimp_04_cannot_play_quietly,17,0.014998594992760479,0.010620982525641276,0.001976777409917571,0.008626391798037758,0.0,Adhd hypimp 04 cannot play quietly,por_confirmar
adhd,caregiver,adhd_context_other,18,0.014563993989485333,0.013192259304004354,0.00014843101180778202,0.00664893617021281,0.001329787234042562,Adhd context other,por_confirmar
adhd,caregiver,adhd_hypimp_01_fidgets,19,0.013219552767107873,0.022032587945179788,0.00434324945200397,-0.0019085547348692555,0.0006821188402601763,Adhd hypimp 01 fidgets,por_confirmar
adhd,caregiver,adhd_hypimp_06_talks_excessively,20,0.01196634841870486,0.01215846180319189,0.003974586804585182,0.0046714805423878625,0.0006476683937823857,Adhd hypimp 06 talks excessively,por_confirmar
adhd,caregiver,adhd_context_home,21,0.008527328843204942,0.0036708502176007467,0.00020551409592589465,0.006325101973321617,0.0010059530371513692,Adhd context home,por_confirmar
adhd,caregiver,adhd_hypimp_09_interrupts_intrudes,22,0.00822968684528801,0.009823418628155245,0.0044245042530057415,0.0023357402711939312,0.0009715025906735786,Adhd hypimp 09 interrupts intrudes,por_confirmar
adhd,caregiver,adhd_hypimp_03_runs_or_climbs_inappropriately,23,0.008044218216294115,0.007298091444137848,0.00044667548272809816,0.0036655275052364933,0.0023012898247161406,Adhd hypimp 03 runs or climbs inappropriately,por_confirmar
adhd,caregiver,adhd_hypimp_08_difficulty_waiting_turn,24,0.0063197526237001485,0.004423982123147903,0.0005551144359073987,0.0036655275052364933,0.0023012898247161406,Adhd hypimp 08 difficulty waiting turn,por_confirmar
adhd,caregiver,adhd_context_school,25,0.00505064980659828,0.0017691112705810813,0.0010394239605528615,0.003989361702127686,0.0006821188402601763,Adhd context school,por_confirmar
adhd,caregiver,age_years,26,0.004051281684672496,0.004535923338759921,0.0011630671735347532,0.001329787234042562,0.0026251240216073335,Edad en años cumplidos,Datos básicos
adhd,psychologist,adhd_onset_before_12,1,0.30749435251046503,0.13936653868439106,0.0015920275534537546,0.2314312093484732,0.018940855473486923,Adhd onset before 12,por_confirmar
adhd,psychologist,adhd_not_better_explained_other_mental,2,0.1627425903036222,0.077171821421712,0.010456581678705222,0.12036985999338551,0.005029765185756818,Adhd not better explained other mental,por_confirmar
adhd,psychologist,adhd_impairment_home,3,0.07492020082477562,0.10348310206224337,0.033561819043431855,0.013263421893947719,0.00852304045860433,Adhd impairment home,por_confirmar
adhd,psychologist,adhd_impairment_school,4,0.07135713089816571,0.10919748874491837,0.013008114166246938,0.006035718222908132,0.005966817329952606,Adhd impairment school,por_confirmar
adhd,psychologist,adhd_inatt_06_avoids_sustained_effort,5,0.050989574446289224,0.07113030073037413,0.002656083923300266,0.008591941351559856,0.004568129202954491,Adhd inatt 06 avoids sustained effort,por_confirmar
adhd,psychologist,adhd_inatt_09_forgetful_daily_activities,6,0.04470311772141888,0.06969520742196915,0.005445825350469654,0.0029834086649762614,0.006290651526843771,Adhd inatt 09 forgetful daily activities,por_confirmar
