slot_key,domain,role,mode,active_model_id,model_family,feature_set_type,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,bootstrap,class_weight,criterion,ccp_alpha,seed,calibration,threshold_policy,threshold,mean_tree_depth,max_tree_depth,mean_leaves,artifact_hash
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_1_3,160,7,14,6,sqrt,0.9,True,manual_recall,gini,0.0,20270529,none,balanced_recall_specificity,0.37999999999999995,7.0,7,24.4,f5bf1f75f6327a65dac467e682a9a528f8ccdceda5bcffc484000f9a6771620c
adhd/caregiver/caregiver_2_3,adhd,caregiver,caregiver_2_3,adhd__caregiver_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_2_3,170,6,12,5,sqrt,0.85,True,balanced,gini,0.0,20270529,none,balanced_recall_specificity,0.4499999999999999,6.0,6,22.49411764705882,510b3d81edb54ab50984a65859ca9b69aa129e7867e83584efd5e3799f72fb66
adhd/caregiver/caregiver_full,adhd,caregiver,caregiver_full,adhd__caregiver_full__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_full,190,8,10,4,sqrt,0.95,True,balanced,gini,0.0,20270529,sigmoid,balanced_recall_specificity,0.14999999999999997,8.0,8,26.242105263157896,d5876550a3e908f2843aac078ab940d3de6949d44f87a525f51ce50399acc85c
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,adhd__psychologist_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_1_3,190,8,10,4,sqrt,0.95,True,balanced,gini,0.0,20270511,sigmoid,balanced_recall_specificity,0.08,8.0,8,27.08421052631579,a6c9505106d7b53ac6866f896bfbe6df959c4ff71932c8455b773b103ab0536f
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,adhd__psychologist_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_2_3,190,8,10,4,sqrt,0.95,True,balanced,gini,0.0,20270511,sigmoid,balanced_recall_specificity,0.13,7.973684210526316,8,22.99473684210526,d465825fba81cf99d63829b8e38963935ff00d280d446e2c17c11f5ffc3136dd
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd__psychologist_full__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_full,190,8,10,4,sqrt,0.95,True,balanced,gini,0.0,20270529,sigmoid,balanced_recall_specificity,0.19,7.994736842105263,8,23.45263157894737,abca1ff9a989ac37c8411b714de0a302f53771c67f17b7cb3b4dc1426221a77d
anxiety/caregiver/caregiver_1_3,anxiety,caregiver,caregiver_1_3,anxiety__caregiver_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_1_3,120,5,20,10,0.2,0.7,True,balanced_subsample,gini,0.001,20270529,none,balanced_recall_specificity,0.5199999999999999,4.858333333333333,5,12.775,1d225b56fc3f41139eb8bab0f471ff5034173b7e6f7738fedcf8b89fb8fbc11f
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,anxiety__caregiver_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_2_3,190,8,10,4,sqrt,0.95,True,balanced,gini,0.0,20270529,none,balanced_recall_specificity,0.32999999999999996,7.868421052631579,8,34.98421052631579,4a69ff716f72d0b1045d21708f219126ecce93610144870ef453b6ad0a6bc7b1
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,anxiety__caregiver_full__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_full,170,6,12,5,sqrt,0.85,True,balanced,gini,0.0,20270529,none,balanced_recall_specificity,0.35999999999999993,6.0,6,26.929411764705883,67e5c2b7a340bd3edeed275444fa01345ccd721d885dea20ad8a092b32ceb21a
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,anxiety__psychologist_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_1_3,190,8,10,4,sqrt,0.95,True,balanced,gini,0.0,20270511,sigmoid,balanced_recall_specificity,0.10999999999999999,7.831578947368421,8,33.57368421052632,f19a0f0b907fb4ab3c07c51562b69141048f37d9b3386b778dbf3fa6464e1f13
