slot_key,domain,role,mode,feature,permutation_ba_drop_mean,permutation_ba_drop_std
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,adhd_onset_before_12,0.17983133061404477,0.023867269319810425
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,adhd_impairment_school,0.04275989416822845,0.01056939697938486
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,adhd_impairment_home,0.03341693308345273,0.007978723404255317
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,adhd_inatt_06_avoids_sustained_effort,0.012856906625509978,0.01660511520229302
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,adhd_inatt_03_seems_not_listening,0.016811817881159763,0.0005787675008268045
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,adhd_inatt_09_forgetful_daily_activities,0.022847536104067978,0.009342961084775614
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,adhd_impairment_social,0.018038253775768953,0.0019430051813471572
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,adhd_inatt_07_loses_things,0.02731231396758904,0.007331055010472931
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,adhd_inatt_02_sustained_attention_difficulty,0.02673354646676218,0.006476683937823857
adhd/caregiver/caregiver_2_3,adhd,caregiver,caregiver_2_3,adhd_onset_before_12,0.1757386175724837,0.0212076948517253
adhd/caregiver/caregiver_2_3,adhd,caregiver,caregiver_2_3,adhd_impairment_school,0.01336677323338109,0.0012953367875647714
adhd/caregiver/caregiver_2_3,adhd,caregiver,caregiver_2_3,adhd_impairment_home,0.02264083342520118,0.0013642376805204082
adhd/caregiver/caregiver_2_3,adhd,caregiver,caregiver_2_3,adhd_inatt_06_avoids_sustained_effort,0.018617021276595702,0.0026595744680850686
adhd/caregiver/caregiver_2_3,adhd,caregiver,caregiver_2_3,adhd_inatt_03_seems_not_listening,0.03263146290375918,0.0007165692867379114
adhd/caregiver/caregiver_2_3,adhd,caregiver,caregiver_2_3,adhd_inatt_09_forgetful_daily_activities,0.014662110020945862,0.010638297872340496
adhd/caregiver/caregiver_2_3,adhd,caregiver,caregiver_2_3,adhd_impairment_social,0.00999062947855811,0.0006476683937823857
