slot_key,domain,role,mode,probability_mean,probability_std,probability_min,probability_max,probability_p05,probability_p25,probability_p50,probability_p75,probability_p95,predicted_positive_rate
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,0.2721742872371539,0.3591416965492869,1e-06,0.9531047569124057,1e-06,1e-06,0.056540028569859235,0.5974192568898873,0.9386780619355152,0.30416666666666664
adhd/caregiver/caregiver_2_3,adhd,caregiver,caregiver_2_3,0.268827460127973,0.3441651554991532,1e-06,0.942221881482637,1e-06,1e-06,0.05208622355220497,0.5666654920885721,0.9240816314958158,0.28125
adhd/caregiver/caregiver_full,adhd,caregiver,caregiver_full,0.18825197650590647,0.3015949786241262,0.008253098487718354,0.8971580543913619,0.008253098487718354,0.008281007325376323,0.012445973563181684,0.24037365778539732,0.8669840644138475,0.28541666666666665
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,0.19157989826035687,0.29820078998398997,0.009414859820523166,0.8653007026568877,0.009414859820523166,0.009414859820523166,0.011647745097903466,0.327210604216838,0.8389392603996779,0.30625
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,0.18943854728519743,0.35278980810081034,0.0016316645079240636,0.9906808813845496,0.0016316645079240636,0.0016316645079240636,0.002811647950933601,0.049044440212258324,0.9844441781915738,0.23541666666666666
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,0.19044918903687913,0.35322991629815065,0.0011086983672852443,0.9943904960691068,0.0011086983672852443,0.0011086983672852443,0.002359764946228253,0.06374663840440642,0.9888094476525255,0.22708333333333333
anxiety/caregiver/caregiver_1_3,anxiety,caregiver,caregiver_1_3,0.26770319211970717,0.3205651773379799,0.017156540655533407,0.984840221932916,0.017156540655533407,0.024199495866958742,0.09367358172856526,0.44283789187867334,0.9722668247688491,0.20416666666666666
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,0.20547879152880802,0.3332811484956632,1e-06,0.9997148439774677,1e-06,1e-06,0.030852668799816137,0.20689682827306888,0.9829035901933539,0.2125
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,0.21445457200696783,0.3277332397075183,0.0002580948364495126,0.9971310224500757,0.00041029301722780897,0.0035779675614049516,0.048042598767995,0.23346126317306065,0.9747513274264559,0.20833333333333334
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,0.18150869018234422,0.33191381082830923,0.00743746899568978,0.9710222574506692,0.007442370560456552,0.007483564002812984,0.011470651755047473,0.0915341297493739,0.9677648349943914,0.2375
