slot_key,domain,role,mode,active_model_id,model_family,feature_set_id,config_id,calibration,threshold_policy,threshold,seed,n_features,cross_domain_feature_count,eng_feature_count,feature_columns_pipe,precision,recall,specificity,fpr,fnr,npv,f1,f2,balanced_accuracy,mcc,pr_auc,roc_auc,brier,tn,fp,fn,tp,prevalence,positive_rate_predicted,probability_mean,probability_std,probability_min,probability_max,probability_p05,probability_p25,probability_p50,probability_p75,probability_p95,train_recall,train_f2,train_pr_auc,train_balanced_accuracy,val_recall,val_f2,val_pr_auc,val_balanced_accuracy,gap_train_holdout_recall,gap_train_holdout_f2,gap_train_holdout_pr_auc,gap_train_holdout_ba,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_pr_auc_mean,cv_pr_auc_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,seed_stability_f1_std,top1_feature_share,top3_feature_share,feature_dominance_flag,high_separability_alert,candidate_key,top1_feature_share_dup,top3_feature_share_dup,feature_dominance_flag_dup
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_1_3,rf_recall_balanced_manual,none,balanced_recall_specificity,0.37999999999999995,20270529,9,0,0,adhd_onset_before_12|adhd_impairment_school|adhd_impairment_home|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_impairment_social|adhd_inatt_07_loses_things|adhd_inatt_02_sustained_attention_difficulty,0.6301369863013698,0.9787234042553191,0.8601036269430051,0.13989637305699482,0.02127659574468085,0.9940119760479041,0.7666666666666667,0.8812260536398467,0.9194135155991621,0.7235696380535575,0.6348300001844969,0.9366938595524198,0.08637692521568062,332,54,2,92,0.19583333333333333,0.30416666666666664,0.2721742872371539,0.3591416965492869,1e-06,0.9531047569124057,1e-06,1e-06,0.056540028569859235,0.5974192568898873,0.9386780619355152,1.0,0.9114414996767938,0.8291295131223035,0.940846286701209,0.9893617021276596,0.904669260700389,0.7300436290798914,0.9363906956234154,0.021276595744680882,0.030215446036947036,0.19429951293780667,0.021432771102046888,0.9335449735449735,0.01870832434337316,0.7963402338402338,0.013149307451010934,0.7592045662344536,0.007142182776818559,0.9165829712019882,0.0023155596138575547,0.010040866426930114,0.19987092044318513,0.5452628821356515,no,no,adhd/caregiver/caregiver_1_3::domain_strict_1_3::rf_recall_balanced_manual::20270529::none::balanced_recall_specificity::0.380000,0.19987092044318513,0.5452628821356515,no
adhd/caregiver/caregiver_2_3,adhd,caregiver,caregiver_2_3,adhd__caregiver_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_2_3,rf_recall_guarded,none,balanced_recall_specificity,0.4499999999999999,20270529,18,0,0,adhd_onset_before_12|adhd_impairment_school|adhd_impairment_home|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_impairment_social|adhd_inatt_07_loses_things|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_08_easily_distracted|adhd_hypimp_07_blurts_out|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_hypimp_02_leaves_seat|adhd_hypimp_05_driven_by_motor|adhd_hypimp_04_cannot_play_quietly|adhd_context_other,0.674074074074074,0.9680851063829787,0.8860103626943006,0.11398963730569948,0.031914893617021274,0.991304347826087,0.7947598253275109,0.8904109589041096,0.9270477345386396,0.7538545584970073,0.6349693136205401,0.939256972770367,0.08375163643332674,342,44,3,91,0.19583333333333333,0.28125,0.268827460127973,0.3441651554991532,1e-06,0.942221881482637,1e-06,1e-06,0.05208622355220497,0.5666654920885721,0.9240816314958158,1.0,0.9245901639344263,0.861646492546299,0.9503454231433506,0.9893617021276596,0.9226190476190477,0.7351003560627896,0.949344063499063,0.03191489361702127,0.034179205030316684,0.2266771789257589,0.02329768860471093,0.9627936507936509,0.009842703428610095,0.8260097839687056,0.01657392848537726,0.7799956289732336,0.030877689668164995,0.936387821833177,0.0027526398773515728,0.012325742109231062,0.1604742010016676,0.4187250707756435,no,no,adhd/caregiver/caregiver_2_3::domain_strict_2_3::rf_recall_guarded::20270529::none::balanced_recall_specificity::0.450000,0.1604742010016676,0.4187250707756435,no
adhd/caregiver/caregiver_full,adhd,caregiver,caregiver_full,adhd__caregiver_full__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_full,rf_high_recall_push,sigmoid,balanced_recall_specificity,0.14999999999999997,20270529,26,0,0,adhd_onset_before_12|adhd_impairment_school|adhd_impairment_home|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_impairment_social|adhd_inatt_07_loses_things|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_08_easily_distracted|adhd_hypimp_07_blurts_out|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_hypimp_02_leaves_seat|adhd_hypimp_05_driven_by_motor|adhd_hypimp_04_cannot_play_quietly|adhd_context_other|adhd_hypimp_01_fidgets|adhd_hypimp_06_talks_excessively|adhd_context_home|adhd_hypimp_09_interrupts_intrudes|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_08_difficulty_waiting_turn|adhd_context_school|age_years,0.656934306569343,0.9574468085106383,0.8782383419689119,0.12176165803108809,0.0425531914893617,0.9883381924198251,0.7792207792207793,0.8771929824561403,0.9178425752397752,0.7343327892843123,0.66977613630941,0.9409657149156653,0.08259282220518545,339,47,4,90,0.19583333333333333,0.28541666666666665,0.18825197650590647,0.3015949786241262,0.008253098487718354,0.8971580543913619,0.008253098487718354,0.008281007325376323,0.012445973563181684,0.24037365778539732,0.8669840644138475,1.0,0.9337748344370861,0.8828658510424012,0.9568221070811744,0.9787234042553191,0.9126984126984127,0.7690649145891634,0.942729577775328,0.04255319148936165,0.056581851980945785,0.2130897147329912,0.03897953184139924,0.9415238095238095,0.01872294722618386,0.8290834028824872,0.0028002605412472898,0.7929480323997686,0.01179841945240183,0.9306085293699664,0.0055087101761403,0.009868530926245574,0.1429024155410612,0.34941116271527,no,no,adhd/caregiver/caregiver_full::domain_strict_full::rf_high_recall_push::20270529::sigmoid::balanced_recall_specificity::0.150000,0.1429024155410612,0.34941116271527,no
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,adhd__psychologist_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_1_3,rf_high_recall_push,sigmoid,balanced_recall_specificity,0.08,20270511,9,0,0,adhd_onset_before_12|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_09_forgetful_daily_activities|adhd_inatt_03_seems_not_listening|adhd_inatt_02_sustained_attention_difficulty|adhd_hypimp_07_blurts_out|adhd_inatt_08_easily_distracted|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_07_loses_things,0.6190476190476191,0.9680851063829787,0.8549222797927462,0.14507772020725387,0.031914893617021274,0.990990990990991,0.7551867219917012,0.869980879541109,0.9115036930878624,0.7085663567473047,0.6413740714852344,0.9338138022268769,0.08130952316506299,330,56,3,91,0.19583333333333333,0.30625,0.19157989826035687,0.29820078998398997,0.009414859820523166,0.8653007026568877,0.009414859820523166,0.009414859820523166,0.011647745097903466,0.327210604216838,0.8389392603996779,0.9964539007092199,0.9052835051546393,0.8613262097229168,0.9364825634806895,0.9893617021276596,0.904669260700389,0.7200328639646411,0.9363906956234154,0.028368794326241176,0.03530262561353026,0.21995213823768245,0.02497887039282709,0.9521058201058201,0.01138927203480155,0.8155454169348166,0.009791917577057427,0.742626931009291,0.019091366806467624,0.9294226354127378,0.0053615819382043396,0.010299332075048306,0.2284638872452722,0.4679171450508019,no,no,adhd/psychologist/psychologist_1_3::domain_strict_1_3::rf_high_recall_push::20270511::sigmoid::balanced_recall_specificity::0.080000,0.2284638872452722,0.4679171450508019,no
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,adhd__psychologist_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_2_3,rf_high_recall_push,sigmoid,balanced_recall_specificity,0.13,20270511,18,0,0,adhd_onset_before_12|adhd_not_better_explained_other_mental|adhd_impairment_home|adhd_impairment_school|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_09_forgetful_daily_activities|adhd_inatt_03_seems_not_listening|adhd_inatt_02_sustained_attention_difficulty|adhd_impairment_social|adhd_hypimp_07_blurts_out|adhd_inatt_08_easily_distracted|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_07_loses_things|adhd_inatt_04_fails_to_finish_tasks|adhd_hypimp_02_leaves_seat|adhd_hypimp_01_fidgets|adhd_inatt_05_organization_difficulty|adhd_hypimp_04_cannot_play_quietly,0.8141592920353983,0.9787234042553191,0.9455958549222798,0.054404145077720206,0.02127659574468085,0.9945504087193461,0.8888888888888888,0.9406952965235174,0.9621596295887995,0.864584265119001,0.9605288502790146,0.9899955903428509,0.03304333573444991,365,21,2,92,0.19583333333333333,0.23541666666666666,0.18943854728519743,0.35278980810081034,0.0016316645079240636,0.9906808813845496,0.0016316645079240636,0.0016316645079240636,0.002811647950933601,0.049044440212258324,0.9844441781915738,1.0,0.9704060564349622,0.9932091934006936,0.9814335060449051,0.9893617021276596,0.9768907563025212,0.9939227255079071,0.9856134935508765,0.021276595744680882,0.029710759911444895,0.032680343121679,0.019273876456105565,0.9680846560846561,0.006533069720430461,0.9410526589024676,0.019270034152989855,0.9862547933726612,0.005048996591448097,0.973027129019498,0.005618293444456379,0.007683896096291536,0.1389106262719943,0.35755678430757365,no,yes,adhd/psychologist/psychologist_2_3::domain_strict_2_3::rf_high_recall_push::20270511::sigmoid::balanced_recall_specificity::0.130000,0.1389106262719943,0.35755678430757365,no
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd__psychologist_full__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_full,rf_high_recall_push,sigmoid,balanced_recall_specificity,0.19,20270529,27,0,0,adhd_onset_before_12|adhd_not_better_explained_other_mental|adhd_impairment_home|adhd_impairment_school|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_09_forgetful_daily_activities|adhd_inatt_03_seems_not_listening|adhd_inatt_02_sustained_attention_difficulty|adhd_impairment_social|adhd_hypimp_07_blurts_out|adhd_inatt_08_easily_distracted|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_07_loses_things|adhd_inatt_04_fails_to_finish_tasks|adhd_hypimp_02_leaves_seat|adhd_hypimp_01_fidgets|adhd_inatt_05_organization_difficulty|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_09_interrupts_intrudes|adhd_context_other|adhd_hypimp_06_talks_excessively|adhd_hypimp_08_difficulty_waiting_turn|adhd_context_home|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_context_school|adhd_not_psychosis_exclusive,0.8348623853211009,0.9680851063829787,0.9533678756476683,0.046632124352331605,0.031914893617021274,0.9919137466307277,0.896551724137931,0.9381443298969072,0.9607264910153235,0.8728317892118598,0.9630826128741268,0.9907948407011355,0.032930359964676144,368,18,3,91,0.19583333333333333,0.22708333333333333,0.19044918903687913,0.35322991629815065,0.0011086983672852443,0.9943904960691068,0.0011086983672852443,0.0011086983672852443,0.002359764946228253,0.06374663840440642,0.9888094476525255,1.0,0.9798471160528145,0.9951764014603844,0.9874784110535406,0.9893617021276596,0.9768907563025212,0.9957296113188253,0.9856134935508765,0.03191489361702127,0.04170278615590728,0.032093788586257666,0.026751920038217136,0.9601269841269842,0.006377081665772566,0.9476397285162225,0.00951504820228096,0.9868042618883899,0.0022059317625612225,0.9719690994577475,0.0016147689370832226,0.013326407223351974,0.13412988738269319,0.3280485245685284,no,yes,adhd/psychologist/psychologist_full::domain_strict_full::rf_high_recall_push::20270529::sigmoid::balanced_recall_specificity::0.190000,0.13412988738269319,0.3280485245685284,no
anxiety/caregiver/caregiver_1_3,anxiety,caregiver,caregiver_1_3,anxiety__caregiver_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_1_3,rf_sparse_stability,none,balanced_recall_specificity,0.5199999999999999,20270529,5,0,0,sep_anx_impairment|gad_difficulty_controlling_worry|gad_impairment|gad_excessive_worry_multiple_areas|social_anxiety_impairment,0.826530612244898,0.9418604651162791,0.9568527918781726,0.04314720812182741,0.05813953488372093,0.9869109947643979,0.8804347826086957,0.916289592760181,0.9493566284972259,0.8550150618615587,0.955690824027037,0.9888885609727305,0.05194035018731213,377,17,5,81,0.17916666666666667,0.20416666666666666,0.26770319211970717,0.3205651773379799,0.017156540655533407,0.984840221932916,0.017156540655533407,0.024199495866958742,0.09367358172856526,0.44283789187867334,0.9722668247688491,0.9069767441860465,0.8757485029940121,0.9400741756096339,0.9238775429898083,0.8837209302325582,0.8315098468271335,0.8679823442565575,0.894906150395467,-0.03488372093023262,-0.04054108976616888,-0.015616648417403067,-0.02547908550741762,0.9070429697431986,0.017604261901833416,0.7925661211853162,0.021173349971953578,0.917307259065031,0.014220768779883137,0.9116444856561969,0.007961231898142346,0.015573706703895455,0.2726479655954957,0.6861224625529906,no,yes,anxiety/caregiver/caregiver_1_3::domain_strict_1_3::rf_sparse_stability::20270529::none::balanced_recall_specificity::0.520000,0.2726479655954957,0.6861224625529906,no
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,anxiety__caregiver_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_2_3,rf_high_recall_push,none,balanced_recall_specificity,0.32999999999999996,20270529,27,0,0,sep_anx_impairment|sep_anx_duration_weeks|agor_escape_help_cognition|age_years|gad_duration_months|gad_assoc_06_sleep_problems|gad_difficulty_controlling_worry|agor_avoid_or_need_companion|social_anxiety_duration_months|sep_anx_03_worry_event_causing_separation|gad_assoc_03_concentration_difficulty|social_anxiety_fear_negative_evaluation|gad_assoc_05_muscle_tension|sep_anx_07_separation_nightmares|sep_anx_05_fear_being_alone_without_attachment|gad_impairment|sep_anx_04_refuses_leaving_home_school|gad_assoc_02_fatigue|gad_assoc_01_restlessness|sep_anx_08_physical_complaints_on_separation|agor_fear_01_public_transport|sep_anx_06_refuses_sleep_away_or_alone|gad_assoc_04_irritability|social_anxiety_fear_being_observed|gad_excessive_worry_multiple_areas|agor_fear_03_enclosed_spaces|social_anxiety_impairment,0.8137254901960784,0.9651162790697675,0.9517766497461929,0.048223350253807105,0.03488372093023256,0.9920634920634921,0.8829787234042553,0.9304932735426009,0.9584464644079802,0.8595476833495681,0.9722061553201079,0.993595797426514,0.02723009861716629,375,19,3,83,0.17916666666666667,0.2125,0.20547879152880802,0.3332811484956632,1e-06,0.9997148439774677,1e-06,1e-06,0.030852668799816137,0.20689682827306888,0.9829035901933539,1.0,0.9605361131794489,0.9946263270604913,0.977580372250423,0.9418604651162791,0.8862144420131292,0.9250523550371185,0.930321095502302,0.03488372093023251,0.03004283963684795,0.022420171740383354,0.019133907842442843,0.8954487668446478,0.03231924853944749,0.8838569604086844,0.02124567040865964,0.9588010231238803,0.010942864117476449,0.9334459115773122,0.015884727210011156,0.013876419759880633,0.18966447630592675,0.39541125174134,no,yes,anxiety/caregiver/caregiver_2_3::domain_strict_2_3::rf_high_recall_push::20270529::none::balanced_recall_specificity::0.330000,0.18966447630592675,0.39541125174134,no
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,anxiety__caregiver_full__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_full,rf_recall_guarded,none,balanced_recall_specificity,0.35999999999999993,20270529,40,0,0,sep_anx_impairment|sep_anx_duration_weeks|agor_escape_help_cognition|age_years|gad_duration_months|gad_assoc_06_sleep_problems|gad_difficulty_controlling_worry|agor_fear_05_outside_home_alone|agor_avoid_or_need_companion|social_anxiety_duration_months|sep_anx_03_worry_event_causing_separation|gad_assoc_03_concentration_difficulty|social_anxiety_fear_negative_evaluation|gad_assoc_05_muscle_tension|sep_anx_07_separation_nightmares|sep_anx_05_fear_being_alone_without_attachment|gad_impairment|agor_fear_04_crowds_queues|sep_anx_04_refuses_leaving_home_school|gad_assoc_02_fatigue|gad_assoc_01_restlessness|agor_almost_always_triggered|sep_anx_08_physical_complaints_on_separation|agor_fear_01_public_transport|sep_anx_06_refuses_sleep_away_or_alone|gad_assoc_04_irritability|social_anxiety_fear_being_observed|gad_excessive_worry_multiple_areas|agor_fear_03_enclosed_spaces|social_anxiety_impairment|social_anxiety_avoid_or_endure_intense|agor_duration_months|sep_anx_02_worry_losing_attachment_figures|social_anxiety_fear_interactions|social_anxiety_almost_always_triggered|agor_impairment|social_anxiety_fear_performance|agor_fear_02_open_spaces|sep_anx_01_distress_on_separation|social_anxiety_children_peer_only_flag,0.84,0.9767441860465116,0.9593908629441624,0.04060913705583756,0.023255813953488372,0.9947368421052631,0.9032258064516129,0.9459459459459462,0.968067524495337,0.8839832660059415,0.9729367308495688,0.9938909219690709,0.02884854507284831,378,16,2,84,0.17916666666666667,0.20833333333333334,0.21445457200696783,0.3277332397075183,0.0002580948364495126,0.9971310224500757,0.00041029301722780897,0.0035779675614049516,0.048042598767995,0.23346126317306065,0.9747513274264559,0.9922480620155039,0.9559372666168784,0.9902703652694391,0.9745504269468382,0.9651162790697675,0.9080962800875274,0.9227796091249225,0.944487073545036,0.015503875968992276,0.009991320670932224,0.017333634419870347,0.006482902451501293,0.8982964658021867,0.02674503235884688,0.883217982845312,0.016100315026595934,0.9552052377721066,0.011517396557079727,0.9342348404211608,0.010461092766778248,0.01191248803331271,0.14505067887468132,0.3403775114823441,no,yes,anxiety/caregiver/caregiver_full::domain_strict_full::rf_recall_guarded::20270529::none::balanced_recall_specificity::0.360000,0.14505067887468132,0.3403775114823441,no
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,anxiety__psychologist_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_1_3,rf_high_recall_push,sigmoid,balanced_recall_specificity,0.10999999999999999,20270511,12,0,0,gad_difficulty_controlling_worry|sep_anx_04_refuses_leaving_home_school|sep_anx_07_separation_nightmares|sep_anx_03_worry_event_causing_separation|sep_anx_02_worry_losing_attachment_figures|sep_anx_05_fear_being_alone_without_attachment|gad_excessive_worry_multiple_areas|sep_anx_01_distress_on_separation|sep_anx_08_physical_complaints_on_separation|social_anxiety_almost_always_triggered|sep_anx_06_refuses_sleep_away_or_alone|social_anxiety_fear_interactions,0.7280701754385965,0.9651162790697675,0.9213197969543148,0.07868020304568528,0.03488372093023256,0.9918032786885246,0.83,0.906113537117904,0.9432180380120412,0.798825262438756,0.9476782393006409,0.9842993743359698,0.03464668714606566,363,31,3,83,0.17916666666666667,0.2375,0.18150869018234422,0.33191381082830923,0.00743746899568978,0.9710222574506692,0.007442370560456552,0.007483564002812984,0.011470651755047473,0.0915341297493739,0.9677648349943914,0.9961240310077519,0.9338662790697674,0.9700630861013202,0.9612599850470231,0.9069767441860465,0.8590308370044053,0.8754001021221022,0.9128792350371857,0.03100775193798444,0.02775274195186339,0.022384846800679314,0.018041947034981964,0.8575896262395117,0.036316653815268135,0.840350296724416,0.004939837836471455,0.9184627617410834,0.00649423215071352,0.9088074873909854,0.013638169792842506,0.016391675209831626,0.18429338130434972,0.3879255499289558,no,yes,anxiety/psychologist/psychologist_1_3::domain_strict_1_3::rf_high_recall_push::20270511::sigmoid::balanced_recall_specificity::0.110000,0.18429338130434972,0.3879255499289558,no
