slot_key,domain,role,mode,old_active_model_id,new_active_model_id,old_precision,new_precision,delta_precision,old_recall,new_recall,delta_recall,old_f1,new_f1,delta_f1,old_f2,new_f2,delta_f2,old_specificity,new_specificity,delta_specificity,old_pr_auc,new_pr_auc,delta_pr_auc,old_brier,new_brier,delta_brier,old_n_features,new_n_features,old_cross_domain_feature_count,new_cross_domain_feature_count,cross_domain_reduction,old_eng_feature_count,new_eng_feature_count,eng_reduction,promotion_reason
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd__caregiver_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.71900826446281,0.6301369863013698,-0.08887127816144014,0.925531914893617,0.9787234042553191,0.05319148936170215,0.8093023255813954,0.7666666666666667,-0.04263565891472865,0.8752515090543259,0.8812260536398467,0.005974544585520825,0.911917098445596,0.8601036269430051,-0.05181347150259086,0.7241089004526715,0.6348300001844969,-0.08927890026817464,0.063894662445087,0.08637692521568062,0.02248226277059362,36,9,11,0,11,0,0,0,domain_strict_specialization_and_rf_guardrails
adhd/caregiver/caregiver_2_3,adhd,caregiver,caregiver_2_3,adhd__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd__caregiver_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.689922480620155,0.674074074074074,-0.015848406546080995,0.946808510638298,0.9680851063829787,0.02127659574468077,0.7982062780269058,0.7947598253275109,-0.0034464526993949196,0.8811881188118812,0.8904109589041096,0.009222840092228402,0.8963730569948186,0.8860103626943006,-0.01036269430051806,0.7461931953430669,0.6349693136205401,-0.11122388172252684,0.0786879634511631,0.08375163643332674,0.005063672982163633,69,18,44,0,44,0,0,0,domain_strict_specialization_and_rf_guardrails
adhd/caregiver/caregiver_full,adhd,caregiver,caregiver_full,adhd__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd__caregiver_full__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.704,0.656934306569343,-0.04706569343065692,0.9361702127659576,0.9574468085106383,0.02127659574468077,0.8036529680365296,0.7792207792207793,-0.024432188815750377,0.8782435129740519,0.8771929824561403,-0.0010505305179115965,0.9041450777202072,0.8782383419689119,-0.025906735751295318,0.7300419974766443,0.66977613630941,-0.060265861167234314,0.0755461324257614,0.08259282220518545,0.007046689779424048,53,26,30,0,30,9,0,9,domain_strict_specialization_and_rf_guardrails
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,adhd__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd__psychologist_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.6904761904761905,0.6190476190476191,-0.0714285714285714,0.925531914893617,0.9680851063829787,0.042553191489361764,0.7909090909090909,0.7551867219917012,-0.03572236891738967,0.8665338645418326,0.869980879541109,0.0034470149992764654,0.8989637305699482,0.8549222797927462,-0.04404145077720201,0.7180700559629031,0.6413740714852344,-0.07669598447766868,0.0786775125764627,0.08130952316506299,0.0026320105886002837,9,9,0,0,0,0,0,0,domain_strict_specialization_and_rf_guardrails
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,adhd__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd__psychologist_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.8333333333333334,0.8141592920353983,-0.019174041297935096,0.851063829787234,0.9787234042553191,0.12765957446808507,0.8421052631578947,0.8888888888888888,0.04678362573099415,0.8474576271186441,0.9406952965235174,0.09323766940487321,0.9585492227979274,0.9455958549222798,-0.012953367875647603,0.9313831206397698,0.9605288502790146,0.029145729639244777,0.0405985018273197,0.03304333573444991,-0.00755516609286979,101,18,75,0,75,0,0,0,domain_strict_specialization_and_rf_guardrails
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,adhd__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd__psychologist_full__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.7226890756302521,0.8348623853211009,0.11217330969084882,0.9148936170212766,0.9680851063829787,0.05319148936170215,0.8075117370892019,0.896551724137931,0.08903998704872917,0.8686868686868687,0.9381443298969072,0.06945746121003848,0.9145077720207254,0.9533678756476683,0.03886010362694292,0.8534145929527844,0.9630826128741268,0.10966801992134234,0.0939018702887466,0.032930359964676144,-0.06097151032407045,27,27,0,0,0,0,0,0,domain_strict_specialization_and_rf_guardrails
anxiety/caregiver/caregiver_1_3,anxiety,caregiver,caregiver_1_3,anxiety__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,anxiety__caregiver_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.8461538461538461,0.826530612244898,-0.019623233908948157,0.8953488372093024,0.9418604651162791,0.046511627906976716,0.8700564971751412,0.8804347826086957,0.010378285433554457,0.8850574712643677,0.916289592760181,0.031232121495813225,0.964467005076142,0.9568527918781726,-0.0076142131979693994,0.9193327479894848,0.955690824027037,0.036358076037552145,0.0377847444619504,0.05194035018731213,0.01415560572536173,58,5,55,0,55,9,0,9,domain_strict_specialization_and_rf_guardrails
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,anxiety__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,anxiety__caregiver_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.8554216867469879,0.8137254901960784,-0.0416961965509095,0.8255813953488372,0.9651162790697675,0.13953488372093026,0.8402366863905325,0.8829787234042553,0.04274203701372281,0.8313817330210774,0.9304932735426009,0.09911154052152349,0.9695431472081218,0.9517766497461929,-0.017766497461928932,0.8985296515822613,0.9722061553201079,0.07367650373784662,0.1324680784221708,0.02723009861716629,-0.10523797980500449,59,27,23,0,23,0,0,0,domain_strict_specialization_and_rf_guardrails
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,anxiety__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,anxiety__caregiver_full__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.8235294117647058,0.84,0.016470588235294126,0.813953488372093,0.9767441860465116,0.16279069767441856,0.8187134502923976,0.9032258064516129,0.08451235615921526,0.8158508158508159,0.9459459459459462,0.1300951300951303,0.9619289340101524,0.9593908629441624,-0.002538071065990022,0.8531067850920091,0.9729367308495688,0.11982994575755967,0.1363188022729681,0.02884854507284831,-0.1074702572001198,126,40,86,0,86,0,0,0,domain_strict_specialization_and_rf_guardrails
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,anxiety__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,anxiety__psychologist_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.8452380952380952,0.7280701754385965,-0.1171679197994987,0.8255813953488372,0.9651162790697675,0.13953488372093026,0.8352941176470589,0.83,-0.0052941176470588935,0.8294392523364487,0.906113537117904,0.07667428478145533,0.967005076142132,0.9213197969543148,-0.045685279187817285,0.8800940637253928,0.9476782393006409,0.0675841755752481,0.1195811534254709,0.03464668714606566,-0.08493446627940524,14,12,0,0,0,0,0,0,domain_strict_specialization_and_rf_guardrails
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,anxiety__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,anxiety__psychologist_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.8372093023255814,0.8556701030927835,0.018460800767202024,0.8372093023255814,0.9651162790697675,0.12790697674418605,0.8372093023255814,0.907103825136612,0.06989452281103059,0.8372093023255814,0.9410430839002267,0.10383378157464529,0.964467005076142,0.9644670050761421,1.1102230246251565e-16,0.89612205748892,0.975020175202338,0.07889811771341793,0.1215485431123243,0.028287425001016987,-0.09326111811130731,60,33,22,0,22,0,0,0,domain_strict_specialization_and_rf_guardrails
anxiety/psychologist/psychologist_full,anxiety,psychologist,psychologist_full,anxiety__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,anxiety__psychologist_full__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.8676470588235294,0.8736842105263158,0.006037151702786403,0.686046511627907,0.9651162790697675,0.2790697674418605,0.7662337662337663,0.9171270718232044,0.15089330558943814,0.7160194174757281,0.9453302961275627,0.22931087865183464,0.9771573604060914,0.9695431472081218,-0.0076142131979695105,0.8598799565788883,0.9745363432434598,0.11465638666457156,0.1582824747037535,0.029139088120931963,-0.12914338658282154,151,49,102,0,102,0,0,0,domain_strict_specialization_and_rf_guardrails
conduct/caregiver/caregiver_1_3,conduct,caregiver,caregiver_1_3,conduct__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,conduct__caregiver_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.847457627118644,0.9815950920245399,0.13413746490589584,0.9375,1.0,0.0625,0.8902077151335311,0.9907120743034056,0.10050435916987444,0.9179926560587515,0.9962640099626401,0.07827135390388862,0.915625,0.990625,0.07499999999999996,0.9551823306213616,0.9985714042970324,0.0433890736756708,0.0578663135437616,0.003791155857556285,-0.054075157686205313,20,8,5,0,5,0,0,0,domain_strict_specialization_and_rf_guardrails
conduct/caregiver/caregiver_2_3,conduct,caregiver,caregiver_2_3,conduct__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,conduct__caregiver_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.8097826086956522,0.9937888198757764,0.18400621118012417,0.93125,1.0,0.06874999999999998,0.8662790697674418,0.9968847352024922,0.13060566543505037,0.904126213592233,0.9987515605493132,0.09462534695708025,0.890625,0.996875,0.10624999999999996,0.9555356459496308,0.9992177331965124,0.04368208724688161,0.1324384607101464,0.0033532083724903128,-0.12908525233765608,49,15,32,0,32,0,0,0,domain_strict_specialization_and_rf_guardrails
conduct/caregiver/caregiver_full,conduct,caregiver,caregiver_full,conduct__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,conduct__caregiver_full__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.8658536585365854,0.9937888198757764,0.12793516133919103,0.8875,1.0,0.11250000000000004,0.8765432098765432,0.9968847352024922,0.120341525325949,0.8830845771144278,0.9987515605493132,0.11566698343488546,0.93125,0.996875,0.06562499999999993,0.9444381405188534,0.9990847500137279,0.05464660949487443,0.0622645664290617,0.0038188095685123104,-0.05844575686054939,47,22,31,0,31,8,0,8,domain_strict_specialization_and_rf_guardrails
conduct/psychologist/psychologist_1_3,conduct,psychologist,psychologist_1_3,conduct__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,conduct__psychologist_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.8388888888888889,0.7956989247311828,-0.04318996415770615,0.94375,0.925,-0.018749999999999933,0.888235294117647,0.8554913294797688,-0.03274396463787821,0.9207317073170732,0.8958837772397096,-0.024847930077363634,0.909375,0.88125,-0.028125000000000067,0.9555839908013486,0.9179496727288678,-0.037634318072480744,0.0589950192283938,0.07630165512126948,0.017306635892875677,27,8,12,0,12,0,0,0,domain_strict_specialization_and_rf_guardrails
conduct/psychologist/psychologist_2_3,conduct,psychologist,psychologist_2_3,conduct__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,conduct__psychologist_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.8658536585365854,0.9937888198757764,0.12793516133919103,0.8875,1.0,0.11250000000000004,0.8765432098765432,0.9968847352024922,0.120341525325949,0.8830845771144278,0.9987515605493132,0.11566698343488546,0.93125,0.996875,0.06562499999999993,0.9491031031044496,0.9991293928708709,0.05002628976642132,0.0620712742098516,0.003384332205609512,-0.058686942004242085,43,16,27,0,27,8,0,8,domain_strict_specialization_and_rf_guardrails
conduct/psychologist/psychologist_full,conduct,psychologist,psychologist_full,conduct__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,conduct__psychologist_full__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.8562874251497006,0.9937888198757764,0.1375013947260758,0.89375,1.0,0.10624999999999996,0.8746177370030581,0.9968847352024922,0.1222669981994341,0.885997521685254,0.9987515605493132,0.11275403886405921,0.925,0.996875,0.07187499999999991,0.948410786024648,0.9990847500137279,0.05067396398907986,0.062206107554836,0.0036815885799210096,-0.058524518974914994,56,23,40,0,40,8,0,8,domain_strict_specialization_and_rf_guardrails
depression/caregiver/caregiver_1_3,depression,caregiver,caregiver_1_3,depression__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,depression__caregiver_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,0.8085106382978723,0.8387096774193549,0.030199039121482585,0.926829268292683,0.9512195121951219,0.024390243902438935,0.8636363636363636,0.8914285714285715,0.027792207792207813,0.900473933649289,0.9263657957244654,0.025891862075176464,0.9547738693467336,0.9623115577889447,0.007537688442211143,0.8381279998498211,0.8887106422223056,0.05058264237248444,0.0517434923300924,0.04944904219023849,-0.0022944501398539097,42,10,25,0,25,0,0,0,domain_strict_specialization_and_rf_guardrails
