slot_key,domain,role,mode,n_features,cross_domain_feature_count,eng_feature_count,feature_dominance_flag,domain_purity_ok,no_eng_shortcut_ok
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,9,0,0,no,yes,yes
adhd/caregiver/caregiver_2_3,adhd,caregiver,caregiver_2_3,18,0,0,no,yes,yes
adhd/caregiver/caregiver_full,adhd,caregiver,caregiver_full,26,0,0,no,yes,yes
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,9,0,0,no,yes,yes
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,18,0,0,no,yes,yes
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,27,0,0,no,yes,yes
anxiety/caregiver/caregiver_1_3,anxiety,caregiver,caregiver_1_3,5,0,0,no,yes,yes
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,27,0,0,no,yes,yes
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,40,0,0,no,yes,yes
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,12,0,0,no,yes,yes
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,33,0,0,no,yes,yes
anxiety/psychologist/psychologist_full,anxiety,psychologist,psychologist_full,49,0,0,no,yes,yes
conduct/caregiver/caregiver_1_3,conduct,caregiver,caregiver_1_3,8,0,0,no,yes,yes
conduct/caregiver/caregiver_2_3,conduct,caregiver,caregiver_2_3,15,0,0,no,yes,yes
conduct/caregiver/caregiver_full,conduct,caregiver,caregiver_full,22,0,0,no,yes,yes
conduct/psychologist/psychologist_1_3,conduct,psychologist,psychologist_1_3,8,0,0,no,yes,yes
conduct/psychologist/psychologist_2_3,conduct,psychologist,psychologist_2_3,16,0,0,no,yes,yes
conduct/psychologist/psychologist_full,conduct,psychologist,psychologist_full,23,0,0,no,yes,yes
depression/caregiver/caregiver_1_3,depression,caregiver,caregiver_1_3,10,0,0,no,yes,yes
depression/caregiver/caregiver_2_3,depression,caregiver,caregiver_2_3,18,0,0,no,yes,yes
depression/caregiver/caregiver_full,depression,caregiver,caregiver_full,29,0,0,no,yes,yes
depression/psychologist/psychologist_1_3,depression,psychologist,psychologist_1_3,8,0,0,no,yes,yes
depression/psychologist/psychologist_2_3,depression,psychologist,psychologist_2_3,19,0,0,no,yes,yes
depression/psychologist/psychologist_full,depression,psychologist,psychologist_full,40,0,0,no,yes,yes
elimination/caregiver/caregiver_1_3,elimination,caregiver,caregiver_1_3,2,0,0,yes,yes,yes
elimination/caregiver/caregiver_2_3,elimination,caregiver,caregiver_2_3,6,0,0,no,yes,yes
elimination/caregiver/caregiver_full,elimination,caregiver,caregiver_full,9,0,0,no,yes,yes
elimination/psychologist/psychologist_1_3,elimination,psychologist,psychologist_1_3,4,0,0,no,yes,yes
elimination/psychologist/psychologist_2_3,elimination,psychologist,psychologist_2_3,8,0,0,no,yes,yes
elimination/psychologist/psychologist_full,elimination,psychologist,psychologist_full,12,0,0,no,yes,yes
