slot_key,domain,role,mode,metric_name,registered_value,recomputed_value,abs_delta,within_tolerance
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,precision,0.6301369863013698,0.6301369863013698,0.0,yes
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,recall,0.9787234042553191,0.9787234042553191,0.0,yes
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,specificity,0.8601036269430051,0.8601036269430051,0.0,yes
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,balanced_accuracy,0.9194135155991621,0.9194135155991621,0.0,yes
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,f1,0.7666666666666667,0.7666666666666667,0.0,yes
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,f2,0.8812260536398467,0.8812260536398467,0.0,yes
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,pr_auc,0.6348300001844969,0.6348300001844969,0.0,yes
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,roc_auc,0.9366938595524198,0.9366938595524198,0.0,yes
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,brier,0.08637692521568062,0.08637692521568062,0.0,yes
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,threshold,0.37999999999999995,0.37999999999999995,0.0,yes
adhd/caregiver/caregiver_2_3,adhd,caregiver,caregiver_2_3,precision,0.674074074074074,0.674074074074074,0.0,yes
adhd/caregiver/caregiver_2_3,adhd,caregiver,caregiver_2_3,recall,0.9680851063829787,0.9680851063829787,0.0,yes
adhd/caregiver/caregiver_2_3,adhd,caregiver,caregiver_2_3,specificity,0.8860103626943006,0.8860103626943006,0.0,yes
adhd/caregiver/caregiver_2_3,adhd,caregiver,caregiver_2_3,balanced_accuracy,0.9270477345386396,0.9270477345386396,0.0,yes
adhd/caregiver/caregiver_2_3,adhd,caregiver,caregiver_2_3,f1,0.7947598253275109,0.7947598253275109,0.0,yes
adhd/caregiver/caregiver_2_3,adhd,caregiver,caregiver_2_3,f2,0.8904109589041096,0.8904109589041096,0.0,yes
adhd/caregiver/caregiver_2_3,adhd,caregiver,caregiver_2_3,pr_auc,0.6349693136205401,0.6349693136205401,0.0,yes
adhd/caregiver/caregiver_2_3,adhd,caregiver,caregiver_2_3,roc_auc,0.939256972770367,0.939256972770367,0.0,yes
adhd/caregiver/caregiver_2_3,adhd,caregiver,caregiver_2_3,brier,0.08375163643332674,0.08375163643332674,0.0,yes
adhd/caregiver/caregiver_2_3,adhd,caregiver,caregiver_2_3,threshold,0.4499999999999999,0.4499999999999999,0.0,yes
adhd/caregiver/caregiver_full,adhd,caregiver,caregiver_full,precision,0.656934306569343,0.656934306569343,0.0,yes
adhd/caregiver/caregiver_full,adhd,caregiver,caregiver_full,recall,0.9574468085106383,0.9574468085106383,0.0,yes
adhd/caregiver/caregiver_full,adhd,caregiver,caregiver_full,specificity,0.8782383419689119,0.8782383419689119,0.0,yes
adhd/caregiver/caregiver_full,adhd,caregiver,caregiver_full,balanced_accuracy,0.9178425752397752,0.9178425752397752,0.0,yes
adhd/caregiver/caregiver_full,adhd,caregiver,caregiver_full,f1,0.7792207792207793,0.7792207792207793,0.0,yes
adhd/caregiver/caregiver_full,adhd,caregiver,caregiver_full,f2,0.8771929824561403,0.8771929824561403,0.0,yes
adhd/caregiver/caregiver_full,adhd,caregiver,caregiver_full,pr_auc,0.66977613630941,0.66977613630941,0.0,yes
adhd/caregiver/caregiver_full,adhd,caregiver,caregiver_full,roc_auc,0.9409657149156653,0.9409657149156653,0.0,yes
adhd/caregiver/caregiver_full,adhd,caregiver,caregiver_full,brier,0.08259282220518545,0.08259282220518545,0.0,yes
adhd/caregiver/caregiver_full,adhd,caregiver,caregiver_full,threshold,0.14999999999999997,0.14999999999999997,0.0,yes
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,precision,0.6190476190476191,0.6190476190476191,0.0,yes
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,recall,0.9680851063829787,0.9680851063829787,0.0,yes
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,specificity,0.8549222797927462,0.8549222797927462,0.0,yes
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,balanced_accuracy,0.9115036930878624,0.9115036930878624,0.0,yes
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,f1,0.7551867219917012,0.7551867219917012,0.0,yes
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,f2,0.869980879541109,0.869980879541109,0.0,yes
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,pr_auc,0.6413740714852344,0.6413740714852344,0.0,yes
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,roc_auc,0.9338138022268769,0.9338138022268769,0.0,yes
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,brier,0.08130952316506299,0.08130952316506299,0.0,yes
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,threshold,0.08,0.08,0.0,yes
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,precision,0.8141592920353983,0.8141592920353983,0.0,yes
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,recall,0.9787234042553191,0.9787234042553191,0.0,yes
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,specificity,0.9455958549222798,0.9455958549222798,0.0,yes
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,balanced_accuracy,0.9621596295887995,0.9621596295887995,0.0,yes
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,f1,0.8888888888888888,0.8888888888888888,0.0,yes
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,f2,0.9406952965235174,0.9406952965235174,0.0,yes
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,pr_auc,0.9605288502790146,0.9605288502790146,0.0,yes
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,roc_auc,0.9899955903428509,0.9899955903428509,0.0,yes
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,brier,0.03304333573444991,0.03304333573444991,0.0,yes
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,threshold,0.13,0.13,0.0,yes
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,precision,0.8348623853211009,0.8348623853211009,0.0,yes
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,recall,0.9680851063829787,0.9680851063829787,0.0,yes
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,specificity,0.9533678756476683,0.9533678756476683,0.0,yes
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,balanced_accuracy,0.9607264910153235,0.9607264910153235,0.0,yes
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,f1,0.896551724137931,0.896551724137931,0.0,yes
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,f2,0.9381443298969072,0.9381443298969072,0.0,yes
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,pr_auc,0.9630826128741268,0.9630826128741268,0.0,yes
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,roc_auc,0.9907948407011355,0.9907948407011355,0.0,yes
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,brier,0.032930359964676144,0.032930359964676144,0.0,yes
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,threshold,0.19,0.19,0.0,yes
anxiety/caregiver/caregiver_1_3,anxiety,caregiver,caregiver_1_3,precision,0.826530612244898,0.826530612244898,0.0,yes
anxiety/caregiver/caregiver_1_3,anxiety,caregiver,caregiver_1_3,recall,0.9418604651162791,0.9418604651162791,0.0,yes
anxiety/caregiver/caregiver_1_3,anxiety,caregiver,caregiver_1_3,specificity,0.9568527918781726,0.9568527918781726,0.0,yes
anxiety/caregiver/caregiver_1_3,anxiety,caregiver,caregiver_1_3,balanced_accuracy,0.9493566284972259,0.9493566284972259,0.0,yes
anxiety/caregiver/caregiver_1_3,anxiety,caregiver,caregiver_1_3,f1,0.8804347826086957,0.8804347826086957,0.0,yes
anxiety/caregiver/caregiver_1_3,anxiety,caregiver,caregiver_1_3,f2,0.916289592760181,0.916289592760181,0.0,yes
anxiety/caregiver/caregiver_1_3,anxiety,caregiver,caregiver_1_3,pr_auc,0.955690824027037,0.955690824027037,0.0,yes
anxiety/caregiver/caregiver_1_3,anxiety,caregiver,caregiver_1_3,roc_auc,0.9888885609727305,0.9888885609727305,0.0,yes
anxiety/caregiver/caregiver_1_3,anxiety,caregiver,caregiver_1_3,brier,0.05194035018731213,0.05194035018731213,0.0,yes
anxiety/caregiver/caregiver_1_3,anxiety,caregiver,caregiver_1_3,threshold,0.5199999999999999,0.5199999999999999,0.0,yes
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,precision,0.8137254901960784,0.8137254901960784,0.0,yes
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,recall,0.9651162790697675,0.9651162790697675,0.0,yes
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,specificity,0.9517766497461929,0.9517766497461929,0.0,yes
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,balanced_accuracy,0.9584464644079802,0.9584464644079802,0.0,yes
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,f1,0.8829787234042553,0.8829787234042553,0.0,yes
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,f2,0.9304932735426009,0.9304932735426009,0.0,yes
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,pr_auc,0.9722061553201079,0.9722061553201079,0.0,yes
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,roc_auc,0.993595797426514,0.993595797426514,0.0,yes
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,brier,0.02723009861716629,0.02723009861716629,0.0,yes
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,threshold,0.32999999999999996,0.32999999999999996,0.0,yes
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,precision,0.84,0.84,0.0,yes
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,recall,0.9767441860465116,0.9767441860465116,0.0,yes
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,specificity,0.9593908629441624,0.9593908629441624,0.0,yes
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,balanced_accuracy,0.968067524495337,0.968067524495337,0.0,yes
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,f1,0.9032258064516129,0.9032258064516129,0.0,yes
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,f2,0.9459459459459462,0.9459459459459462,0.0,yes
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,pr_auc,0.9729367308495688,0.9729367308495688,0.0,yes
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,roc_auc,0.9938909219690709,0.9938909219690709,0.0,yes
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,brier,0.02884854507284831,0.02884854507284831,0.0,yes
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,threshold,0.35999999999999993,0.35999999999999993,0.0,yes
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,precision,0.7280701754385965,0.7280701754385965,0.0,yes
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,recall,0.9651162790697675,0.9651162790697675,0.0,yes
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,specificity,0.9213197969543148,0.9213197969543148,0.0,yes
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,balanced_accuracy,0.9432180380120412,0.9432180380120412,0.0,yes
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,f1,0.83,0.83,0.0,yes
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,f2,0.906113537117904,0.906113537117904,0.0,yes
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,pr_auc,0.9476782393006409,0.9476782393006409,0.0,yes
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,roc_auc,0.9842993743359698,0.9842993743359698,0.0,yes
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,brier,0.03464668714606566,0.03464668714606566,0.0,yes
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,threshold,0.10999999999999999,0.10999999999999999,0.0,yes
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,precision,0.8556701030927835,0.8556701030927835,0.0,yes
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,recall,0.9651162790697675,0.9651162790697675,0.0,yes
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,specificity,0.9644670050761421,0.9644670050761421,0.0,yes
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,balanced_accuracy,0.9647916420729548,0.9647916420729548,0.0,yes
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,f1,0.907103825136612,0.907103825136612,0.0,yes
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,f2,0.9410430839002267,0.9410430839002267,0.0,yes
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,pr_auc,0.975020175202338,0.975020175202338,0.0,yes
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,roc_auc,0.9943631212371621,0.9943631212371621,0.0,yes
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,brier,0.028287425001016987,0.028287425001016987,0.0,yes
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,threshold,0.3999999999999999,0.3999999999999999,0.0,yes
anxiety/psychologist/psychologist_full,anxiety,psychologist,psychologist_full,precision,0.8736842105263158,0.8736842105263158,0.0,yes
anxiety/psychologist/psychologist_full,anxiety,psychologist,psychologist_full,recall,0.9651162790697675,0.9651162790697675,0.0,yes
anxiety/psychologist/psychologist_full,anxiety,psychologist,psychologist_full,specificity,0.9695431472081218,0.9695431472081218,0.0,yes
anxiety/psychologist/psychologist_full,anxiety,psychologist,psychologist_full,balanced_accuracy,0.9673297131389447,0.9673297131389447,0.0,yes
anxiety/psychologist/psychologist_full,anxiety,psychologist,psychologist_full,f1,0.9171270718232044,0.9171270718232044,0.0,yes
anxiety/psychologist/psychologist_full,anxiety,psychologist,psychologist_full,f2,0.9453302961275627,0.9453302961275627,0.0,yes
anxiety/psychologist/psychologist_full,anxiety,psychologist,psychologist_full,pr_auc,0.9745363432434598,0.9745363432434598,0.0,yes
anxiety/psychologist/psychologist_full,anxiety,psychologist,psychologist_full,roc_auc,0.9940679966946052,0.9940679966946052,0.0,yes
anxiety/psychologist/psychologist_full,anxiety,psychologist,psychologist_full,brier,0.029139088120931963,0.029139088120931963,0.0,yes
anxiety/psychologist/psychologist_full,anxiety,psychologist,psychologist_full,threshold,0.4099999999999999,0.4099999999999999,0.0,yes
conduct/caregiver/caregiver_1_3,conduct,caregiver,caregiver_1_3,precision,0.9815950920245399,0.9815950920245399,0.0,yes
conduct/caregiver/caregiver_1_3,conduct,caregiver,caregiver_1_3,recall,1.0,1.0,0.0,yes
conduct/caregiver/caregiver_1_3,conduct,caregiver,caregiver_1_3,specificity,0.990625,0.990625,0.0,yes
conduct/caregiver/caregiver_1_3,conduct,caregiver,caregiver_1_3,balanced_accuracy,0.9953125,0.9953125,0.0,yes
conduct/caregiver/caregiver_1_3,conduct,caregiver,caregiver_1_3,f1,0.9907120743034056,0.9907120743034056,0.0,yes
conduct/caregiver/caregiver_1_3,conduct,caregiver,caregiver_1_3,f2,0.9962640099626401,0.9962640099626401,0.0,yes
conduct/caregiver/caregiver_1_3,conduct,caregiver,caregiver_1_3,pr_auc,0.9985714042970324,0.9985714042970324,0.0,yes
conduct/caregiver/caregiver_1_3,conduct,caregiver,caregiver_1_3,roc_auc,0.99935546875,0.99935546875,0.0,yes
conduct/caregiver/caregiver_1_3,conduct,caregiver,caregiver_1_3,brier,0.003791155857556285,0.003791155857556285,0.0,yes
conduct/caregiver/caregiver_1_3,conduct,caregiver,caregiver_1_3,threshold,0.05,0.05,0.0,yes
conduct/caregiver/caregiver_2_3,conduct,caregiver,caregiver_2_3,precision,0.9937888198757764,0.9937888198757764,0.0,yes
conduct/caregiver/caregiver_2_3,conduct,caregiver,caregiver_2_3,recall,1.0,1.0,0.0,yes
conduct/caregiver/caregiver_2_3,conduct,caregiver,caregiver_2_3,specificity,0.996875,0.996875,0.0,yes
