domain,role,mode,feature_set_id,n_features,feature_list_pipe,construction_rule
elimination,caregiver,caregiver_1_3,ranked_direct,4,enuresis_event_frequency_per_week|enuresis_distress_impairment|enuresis_duration_months_consecutive|encopresis_event_frequency_per_month,direct_elimination_ranked_without_eng_elimination_intensity
elimination,caregiver,caregiver_1_3,no_top1_direct,4,enuresis_distress_impairment|enuresis_duration_months_consecutive|encopresis_event_frequency_per_month|enuresis_nocturnal,direct_elimination_ranked_without_eng_elimination_intensity
elimination,caregiver,caregiver_1_3,no_top2_direct,4,enuresis_duration_months_consecutive|encopresis_event_frequency_per_month|enuresis_nocturnal|enuresis_primary_course,direct_elimination_ranked_without_eng_elimination_intensity
elimination,caregiver,caregiver_1_3,balanced_direct,4,enuresis_event_frequency_per_week|enuresis_distress_impairment|encopresis_event_frequency_per_month|encopresis_duration_months_consecutive,direct_elimination_ranked_without_eng_elimination_intensity
elimination,caregiver,caregiver_1_3,enuresis_core,4,enuresis_event_frequency_per_week|enuresis_distress_impairment|enuresis_duration_months_consecutive|enuresis_nocturnal,direct_elimination_ranked_without_eng_elimination_intensity
elimination,caregiver,caregiver_1_3,encopresis_augmented,4,encopresis_event_frequency_per_month|encopresis_duration_months_consecutive|encopresis_constipation_present|encopresis_visible_deposition_pattern,direct_elimination_ranked_without_eng_elimination_intensity
elimination,caregiver,caregiver_2_3,ranked_direct,7,enuresis_event_frequency_per_week|enuresis_distress_impairment|enuresis_duration_months_consecutive|encopresis_event_frequency_per_month|enuresis_nocturnal|enuresis_primary_course|encopresis_duration_months_consecutive,direct_elimination_ranked_without_eng_elimination_intensity
elimination,caregiver,caregiver_2_3,no_top1_direct,7,enuresis_distress_impairment|enuresis_duration_months_consecutive|encopresis_event_frequency_per_month|enuresis_nocturnal|enuresis_primary_course|encopresis_duration_months_consecutive|encopresis_constipation_present,direct_elimination_ranked_without_eng_elimination_intensity
elimination,caregiver,caregiver_2_3,no_top2_direct,7,enuresis_duration_months_consecutive|encopresis_event_frequency_per_month|enuresis_nocturnal|enuresis_primary_course|encopresis_duration_months_consecutive|encopresis_constipation_present|enuresis_diurnal,direct_elimination_ranked_without_eng_elimination_intensity
elimination,caregiver,caregiver_2_3,balanced_direct,7,enuresis_event_frequency_per_week|enuresis_distress_impairment|enuresis_duration_months_consecutive|encopresis_event_frequency_per_month|encopresis_duration_months_consecutive|encopresis_constipation_present|enuresis_nocturnal,direct_elimination_ranked_without_eng_elimination_intensity
elimination,caregiver,caregiver_2_3,enuresis_core,7,enuresis_event_frequency_per_week|enuresis_distress_impairment|enuresis_duration_months_consecutive|enuresis_nocturnal|enuresis_primary_course|enuresis_diurnal|enuresis_secondary_course,direct_elimination_ranked_without_eng_elimination_intensity
elimination,caregiver,caregiver_2_3,encopresis_augmented,7,encopresis_event_frequency_per_month|encopresis_duration_months_consecutive|encopresis_constipation_present|encopresis_visible_deposition_pattern|enuresis_event_frequency_per_week|enuresis_distress_impairment|enuresis_duration_months_consecutive,direct_elimination_ranked_without_eng_elimination_intensity
elimination,caregiver,caregiver_full,ranked_direct,11,enuresis_event_frequency_per_week|enuresis_distress_impairment|enuresis_duration_months_consecutive|encopresis_event_frequency_per_month|enuresis_nocturnal|enuresis_primary_course|encopresis_duration_months_consecutive|encopresis_constipation_present|enuresis_diurnal|encopresis_visible_deposition_pattern|enuresis_secondary_course,direct_elimination_ranked_without_eng_elimination_intensity
elimination,caregiver,caregiver_full,no_top1_direct,10,enuresis_distress_impairment|enuresis_duration_months_consecutive|encopresis_event_frequency_per_month|enuresis_nocturnal|enuresis_primary_course|encopresis_duration_months_consecutive|encopresis_constipation_present|enuresis_diurnal|encopresis_visible_deposition_pattern|enuresis_secondary_course,direct_elimination_ranked_without_eng_elimination_intensity
elimination,caregiver,caregiver_full,no_top2_direct,9,enuresis_duration_months_consecutive|encopresis_event_frequency_per_month|enuresis_nocturnal|enuresis_primary_course|encopresis_duration_months_consecutive|encopresis_constipation_present|enuresis_diurnal|encopresis_visible_deposition_pattern|enuresis_secondary_course,direct_elimination_ranked_without_eng_elimination_intensity
elimination,caregiver,caregiver_full,balanced_direct,11,enuresis_event_frequency_per_week|enuresis_distress_impairment|enuresis_duration_months_consecutive|enuresis_nocturnal|enuresis_primary_course|encopresis_event_frequency_per_month|encopresis_duration_months_consecutive|encopresis_constipation_present|encopresis_visible_deposition_pattern|enuresis_diurnal|enuresis_secondary_course,direct_elimination_ranked_without_eng_elimination_intensity
elimination,caregiver,caregiver_full,enuresis_core,7,enuresis_event_frequency_per_week|enuresis_distress_impairment|enuresis_duration_months_consecutive|enuresis_nocturnal|enuresis_primary_course|enuresis_diurnal|enuresis_secondary_course,direct_elimination_ranked_without_eng_elimination_intensity
elimination,caregiver,caregiver_full,encopresis_augmented,11,encopresis_event_frequency_per_month|encopresis_duration_months_consecutive|encopresis_constipation_present|encopresis_visible_deposition_pattern|enuresis_event_frequency_per_week|enuresis_distress_impairment|enuresis_duration_months_consecutive|enuresis_nocturnal|enuresis_primary_course|enuresis_diurnal|enuresis_secondary_course,direct_elimination_ranked_without_eng_elimination_intensity
elimination,psychologist,psychologist_1_3,ranked_direct,5,enuresis_event_frequency_per_week|enuresis_distress_impairment|enuresis_duration_months_consecutive|encopresis_event_frequency_per_month|enuresis_nocturnal,direct_elimination_ranked_without_eng_elimination_intensity
