domain,role,mode,active_model_id,probability_mean,probability_std,prediction_positive_rate,holdout_n,holdout_positive_n,holdout_negative_n
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.19484008523152235,0.32089055256415694,0.2520833333333333,480,94,386
adhd,caregiver,caregiver_2_3,adhd__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.2742115769145279,0.34850200213255167,0.26875,480,94,386
adhd,caregiver,caregiver_full,adhd__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.2618017819576127,0.3498215793953558,0.2604166666666667,480,94,386
adhd,psychologist,psychologist_1_3,adhd__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.26700171872581685,0.35608633632929937,0.2625,480,94,386
adhd,psychologist,psychologist_2_3,adhd__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.18890849907190888,0.34943483224156197,0.2,480,94,386
adhd,psychologist,psychologist_full,adhd__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.3190930957468285,0.306667946765755,0.24791666666666667,480,94,386
anxiety,caregiver,caregiver_1_3,anxiety__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.18514320178549057,0.3361182664293698,0.18958333333333333,480,86,394
anxiety,caregiver,caregiver_2_3,anxiety__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.3788099724876984,0.13818277220413935,0.17291666666666666,480,86,394
anxiety,caregiver,caregiver_full,anxiety__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.37721844198406296,0.13103141261016768,0.17708333333333334,480,86,394
anxiety,psychologist,psychologist_1_3,anxiety__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.3573079380508146,0.15965514748663853,0.175,480,86,394
anxiety,psychologist,psychologist_2_3,anxiety__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.36279942791271375,0.15087375463885186,0.17916666666666667,480,86,394
anxiety,psychologist,psychologist_full,anxiety__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.40244126263260976,0.09612731480014555,0.14166666666666666,480,86,394
conduct,caregiver,caregiver_1_3,conduct__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.3705140091528689,0.3882355193625332,0.36875,480,160,320
conduct,caregiver,caregiver_2_3,conduct__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.47092391352354546,0.17851121752788363,0.38333333333333336,480,160,320
conduct,caregiver,caregiver_full,conduct__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.3562681431956424,0.39419865094997286,0.3416666666666667,480,160,320
