domain,mode,dsm5_variant,best_ba,best_f1,best_pr_auc,best_selection
adhd,psychologist_full,yes,0.9723845221034064,0.9381443298969072,0.9810704800026473,0.9411300671657498
adhd,psychologist_full,no,0.9738176606768824,0.9292929292929293,0.9857772771870864,0.9440352295488188
anxiety,caregiver_2_3,yes,0.9809644670050761,0.9340659340659341,0.9716605667161502,0.9303106288828817
anxiety,caregiver_2_3,no,0.9809644670050761,0.9340659340659341,0.9714017950873457,0.9343010297741863
anxiety,caregiver_full,yes,0.9822335025380711,0.9247311827956989,0.9681036513121304,0.9360001019113104
anxiety,caregiver_full,no,0.9822335025380711,0.9281767955801105,0.9731212771106135,0.9304721090120179
anxiety,psychologist_2_3,yes,0.9809644670050761,0.9230769230769231,0.9713297552895732,0.9349616356456023
anxiety,psychologist_2_3,no,0.984771573604061,0.9347826086956522,0.9713706744575754,0.946775681315354
anxiety,psychologist_full,yes,0.9822335025380711,0.9247311827956989,0.9777125143452416,0.941274603629852
anxiety,psychologist_full,no,0.983502538071066,0.9340659340659341,0.9747978828713924,0.9328435465241253
conduct,caregiver_full,yes,0.996875,0.9968652037617555,1.0,0.9675374273326854
conduct,caregiver_full,no,1.0,1.0,1.0000000000000002,0.9593323437626409
conduct,psychologist_full,yes,0.996875,0.9968652037617555,1.0,0.9669682657565832
conduct,psychologist_full,no,1.0,1.0,1.0000000000000002,0.9593389326082071
depression,caregiver_1_3,yes,0.892725824243167,0.770949720670391,0.8146478863183055,0.8552992927685119
depression,caregiver_1_3,no,0.9122747885770315,0.7914438502673797,0.838060262693097,0.8502543802210029
depression,caregiver_2_3,yes,0.9332638803774973,0.8470588235294118,0.9207264521855475,0.8978176584776681
depression,caregiver_2_3,no,0.9381051599460718,0.8588235294117647,0.9212878199835375,0.8899011841083488
depression,caregiver_full,yes,0.9664480941291824,0.8938547486033519,0.9435005017854363,0.8930117166714998
depression,caregiver_full,no,0.9397291334722393,0.8771929824561403,0.9362409030830273,0.8847786975583497
depression,psychologist_1_3,yes,0.892725824243167,0.770949720670391,0.8146478863183055,0.8552992927685119
depression,psychologist_1_3,no,0.9221411937737468,0.8108108108108109,0.846586354671887,0.8580873790554306
depression,psychologist_2_3,yes,0.9330800343179311,0.8433734939759037,0.9152293563632522,0.8934515820591598
depression,psychologist_2_3,no,0.946715283735752,0.863905325443787,0.9278921692039043,0.8842771850097004
depression,psychologist_full,yes,0.946899129795318,0.8700564971751412,0.9408423994052707,0.9092279250696544
depression,psychologist_full,no,0.9431302855742125,0.8771929824561403,0.9524984569870404,0.8911113103131829
elimination,caregiver_1_3,no,0.985981308411215,0.9026548672566371,0.9696084291183364,0.9196452499911799
elimination,caregiver_2_3,yes,0.9976635514018692,0.9902912621359223,1.0,0.9665909736850055
elimination,caregiver_2_3,no,0.9988317757009346,0.9904761904761905,1.0000000000000002,0.9593728836095009
elimination,caregiver_full,yes,0.9988317757009346,0.9904761904761905,0.9992673328123258,0.9662328694695992
elimination,caregiver_full,no,1.0,1.0,1.0000000000000002,0.9569778228922877
elimination,psychologist_1_3,no,0.9848130841121495,0.9026548672566371,0.9652640313798163,0.9155145362745736
elimination,psychologist_2_3,yes,0.9976635514018692,0.9902912621359223,1.0,0.9665909736850055
elimination,psychologist_2_3,no,1.0,1.0,1.0000000000000002,0.9572043249648114
elimination,psychologist_full,yes,1.0,1.0,1.0000000000000002,0.966859120433683
elimination,psychologist_full,no,1.0,1.0,1.0000000000000002,0.9573045514753727
