domain,mode,pass_name,model_family,config_id,feature_set_id,weight_policy,trials,best_val_score,best_holdout_ba,best_holdout_f1,best_holdout_pr_auc
adhd,psychologist_full,pass_c,rf,rf_precision_guard_v4,engineered_full,combined_aggressive,2,0.9401976884383101,0.9525410649322015,0.9072164948453608,0.9787631715490701
adhd,psychologist_full,pass_c,extra_trees,extra_precision_guard_v3,engineered_full,combined_aggressive,2,0.9326428775563873,0.9485172527835961,0.90625,0.9823420449984517
adhd,psychologist_full,pass_a,extra_trees,extra_regularized_v3,engineered_full,none,2,0.9326312885463027,0.956564877080807,0.9081632653061225,0.9857772771870864
adhd,psychologist_full,pass_a,rf,rf_regularized_v4,engineered_compact,none,2,0.9315015280328702,0.9618840260169772,0.9137055837563451,0.9771604518159219
adhd,psychologist_full,pass_c,xgb,xgb_regularized_v2,engineered_full,combined_aggressive,2,0.9312779436052584,0.9378789549112556,0.8947368421052632,0.9706475773511142
adhd,psychologist_full,pass_c,xgb,xgb_regularized_v2,engineered_full,none,2,0.9310487793042684,0.9419027670598611,0.8958333333333334,0.9677609281123947
adhd,psychologist_full,pass_c,rf,rf_precision_guard_v4,engineered_full,none,2,0.9309133994630006,0.9472219159960313,0.9015544041450777,0.9732944745571738
adhd,psychologist_full,pass_c,xgb,xgb_regularized_v2,engineered_full_no_shortcut_v1,combined_aggressive,2,0.9289363525818907,0.9419027670598611,0.8958333333333334,0.9732537958094635
adhd,psychologist_full,pass_a,extra_trees,extra_regularized_v3,engineered_compact,none,2,0.9284003020593591,0.9457887774225554,0.91005291005291,0.9779096841512371
adhd,psychologist_full,pass_a,hgb,hgb_regularized_v3,engineered_full,class_minor_boost,2,0.9265818019486457,0.9725223238893176,0.9246231155778895,0.9682838335073345
adhd,psychologist_full,pass_a,hgb,hgb_regularized_v3,engineered_full,none,2,0.9253169093017507,0.9431981038474259,0.900523560209424,0.9577936487268992
adhd,psychologist_full,pass_c,hgb,hgb_regularized_v3,engineered_full,none,2,0.9253169093017507,0.9431981038474259,0.900523560209424,0.9577936487268992
adhd,psychologist_full,pass_b,hgb,hgb_conservative_v3,engineered_full_no_shortcut_v1,cost_asym,2,0.9245846178412247,0.9525410649322015,0.9072164948453608,0.9716949349677082
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,balanced_subset,mode_fragile,2,0.9241561795114922,0.9191930327417044,0.8804347826086957,0.9706424550819519
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,balanced_subset,none,2,0.9241561795114922,0.9191930327417044,0.8804347826086957,0.9706424550819519
adhd,psychologist_full,pass_c,xgb,xgb_regularized_v2,engineered_full_no_shortcut_v1,none,2,0.9240858461729468,0.9272406570389152,0.8829787234042553,0.9712552608037359
adhd,psychologist_full,pass_c,extra_trees,extra_precision_guard_v3,engineered_full,none,2,0.9240247010203478,0.9444934406349906,0.9052631578947369,0.9789888135854168
adhd,psychologist_full,pass_c,extra_trees,extra_precision_guard_v3,engineered_full_no_shortcut_v1,combined_aggressive,2,0.9238352734362079,0.9444934406349906,0.9052631578947369,0.9747862991510947
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,engineered_full_no_eng_v1,cost_asym,2,0.9224966809801757,0.9245121816778745,0.8864864864864865,0.9723631187259907
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,stability_pruned_subset,cost_asym,2,0.9202640386766607,0.9178976959541396,0.8756756756756757,0.9732875468495857
adhd,psychologist_full,pass_c,rf,rf_precision_guard_v4,engineered_full_no_eng_v1,none,2,0.9200775904287722,0.9178976959541396,0.8756756756756757,0.9709254071668156
adhd,psychologist_full,pass_c,rf,rf_precision_guard_v4,engineered_full_no_shortcut_v1,combined_aggressive,2,0.919562460306656,0.9498125895711609,0.9109947643979057,0.9708563963370527
adhd,psychologist_full,pass_a,rf,rf_regularized_v4,engineered_full,class_minor_boost,2,0.919495353700737,0.9697938485282769,0.9285714285714286,0.9828302631764304
adhd,psychologist_full,pass_c,hgb,hgb_regularized_v3,engineered_full_no_shortcut_v1,combined_aggressive,2,0.9186851365602209,0.9164645573806637,0.8839779005524862,0.9717623665928382
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,engineered_full_no_shortcut_v1,cost_asym,2,0.9185144305955647,0.9338551427626502,0.8936170212765957,0.970716913431532
adhd,psychologist_full,pass_b,rf,rf_recall_guard_v4,stability_pruned_subset,cost_asym,2,0.9184785994068558,0.92853599382648,0.8877005347593583,0.9562779124473648
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,engineered_full_no_shortcut_v1,mode_fragile,2,0.918076627130478,0.9325598059750855,0.8888888888888888,0.9721101159182093
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,engineered_full_no_shortcut_v1,none,2,0.918076627130478,0.9325598059750855,0.8888888888888888,0.9721101159182093
adhd,psychologist_full,pass_c,extra_trees,extra_precision_guard_v3,engineered_full_no_shortcut_v1,none,2,0.918076627130478,0.9325598059750855,0.8888888888888888,0.9721101159182093
