domain,mode,active_model_id,promotion_decision,pass_name,weight_policy,model_family,feature_set_id,config_id,calibration,threshold_policy,threshold,old_precision,precision,old_recall,recall,old_balanced_accuracy,balanced_accuracy,old_f1,f1,old_roc_auc,roc_auc,old_pr_auc,pr_auc,old_brier,brier,delta_precision,delta_recall,delta_balanced_accuracy,delta_f1,delta_pr_auc,delta_brier,old_secondary_anomaly,new_secondary_anomaly,generalization_ok,material_gain_ok,anomaly_resolution_ok,class_upgrade_candidate,anomaly_guard_ok,hard_guard_ok,hard_guard_reason,minimum_operational_ok,recall_target_band,recall_in_target_band,root_cause_hypothesis
adhd,psychologist_full,adhd__psychologist_full__rebuild_v2__rf__engineered_full,HOLD_FOR_LIMITATION,pass_a,frontier_hard,rf,engineered_full,rf_regularized_v4,none,balanced,0.542,0.9294117647058824,0.88,0.8404255319148937,0.9361702127659575,0.9124407452320582,0.9525410649322015,0.88268156424581,0.9072164948453608,0.9892652408775218,0.99542498070775,0.9271313857162288,0.9817121920007721,0.0302329344052168,0.0229118310405825,-0.04941176470588238,0.0957446808510638,0.04010031970014327,0.024534930599550808,0.054580806284543315,-0.007321103364634301,yes,yes,yes,yes,no,yes,no,no,"metric_gt_0_98:roc_auc,pr_auc",yes,0.92-0.97,yes,secondary_metric_anomaly|anomaly_due_to_feature_dominance|insufficient_dsm5_core_signal|weighting_boundary_adjustment
anxiety,caregiver_2_3,anxiety__caregiver_2_3__final_honest_improvement_v1__rf__engineered_pruned,HOLD_FOR_LIMITATION,pass_a,frontier_hard,hgb,precision_oriented_subset,hgb_regularized_v3,none,balanced,0.30400000000000005,0.8681318681318682,0.8673469387755102,0.9186046511627908,0.9883720930232558,0.9440738991854564,0.9776885845826939,0.8926553672316384,0.9239130434782609,0.9919135875339392,0.9935367725180024,0.9572096459522188,0.9680295041789044,0.0268054004251118,0.023663836712509455,-0.0007849293563579884,0.06976744186046502,0.033614685397237554,0.03125767624662246,0.01081985822668563,-0.003141563712602345,yes,yes,yes,yes,no,no,no,no,"metric_gt_0_98:recall,roc_auc",yes,0.92-0.97,no,secondary_metric_anomaly|anomaly_due_to_feature_dominance|weighting_boundary_adjustment
anxiety,caregiver_full,anxiety__caregiver_full__final_honest_improvement_v1__rf__engineered_compact,HOLD_FOR_LIMITATION,pass_b,frontier_hard,rf,dsm5_core_only,rf_recall_guard_v4,none,balanced,0.4160000000000001,0.8695652173913043,0.8791208791208791,0.9302325581395348,0.9302325581395349,0.9498878526738284,0.9511568882068233,0.898876404494382,0.903954802259887,0.9929465234328888,0.9904969897296659,0.9704386771709956,0.955558468254747,0.0260018685275156,0.03299676467630195,0.009555661729574783,1.1102230246251565e-16,0.0012690355329949554,0.005078397765505005,-0.014880208916248638,0.006994896148786348,yes,yes,yes,no,no,no,no,no,metric_gt_0_98:roc_auc,yes,0.92-0.97,yes,secondary_metric_anomaly|anomaly_due_to_feature_dominance|dsm5_core_signal_strengthened|weighting_boundary_adjustment
anxiety,psychologist_2_3,anxiety__psychologist_2_3__final_honest_improvement_v1__rf__engineered_pruned,HOLD_FOR_LIMITATION,pass_b,cost_asym,logreg,engineered_pruned_no_eng_v1,logreg_balanced_v3,none,balanced,0.78,0.8247422680412371,0.8809523809523809,0.9302325581395348,0.8604651162790697,0.9435426750088538,0.9175422028095856,0.8743169398907104,0.8705882352941177,0.9918840750796836,0.9799610435603825,0.966312961726849,0.9324479334085906,0.0276760963771888,0.051685847716394166,0.05621011291114386,-0.06976744186046502,-0.026000472199268154,-0.0037287045965926913,-0.03386502831825844,0.024009751339205368,yes,no,no,no,no,no,yes,yes,ok,no,0.92-0.97,no,secondary_metric_anomaly|anomaly_due_to_feature_dominance|weighting_boundary_adjustment
anxiety,psychologist_full,anxiety__psychologist_full__final_honest_improvement_v1__rf__engineered_pruned,HOLD_FOR_LIMITATION,pass_b,cost_asym,hgb,dsm5_core_only,hgb_conservative_v3,none,balanced,0.5,0.8421052631578947,0.8617021276595744,0.9302325581395348,0.9418604651162791,0.9460807460748436,0.9544327706292055,0.8839779005524862,0.9,0.9919135875339392,0.9946877582339748,0.9591820433560584,0.9732810667537386,0.026434653046354,0.02209687128002622,0.019596864501679745,0.011627906976744318,0.008352024554361903,0.01602209944751387,0.01409902339768021,-0.004337781766327778,yes,yes,yes,yes,no,no,no,no,metric_gt_0_98:roc_auc,yes,0.92-0.97,yes,secondary_metric_anomaly|anomaly_due_to_feature_dominance|dsm5_core_signal_strengthened|weighting_boundary_adjustment
conduct,caregiver_full,conduct__caregiver_full__hybrid_final_aggressive_rescue_v6__extra_trees__dsm5_core_plus_context,HOLD_FOR_LIMITATION,pass_b,cost_asym,logreg,dsm5_core_only,logreg_balanced_v3,none,balanced,0.8360000000000001,0.9937888198757764,1.0,1.0,0.95625,0.9984375,0.978125,0.9968847352024922,0.9776357827476039,1.0,0.9999804687500001,1.0,0.9999611801242235,0.004063457795468,0.007009327355003456,0.006211180124223614,-0.043749999999999956,-0.020312499999999956,-0.019248952454888335,-3.881987577647461e-05,0.0029458695595354564,yes,yes,yes,no,no,no,no,no,"metric_gt_0_98:specificity,roc_auc,pr_auc",yes,0.92-0.97,yes,secondary_metric_anomaly|dsm5_core_signal_strengthened|weighting_boundary_adjustment
conduct,psychologist_full,conduct__psychologist_full__hybrid_final_aggressive_rescue_v6__hgb__dsm5_core_plus_context,HOLD_FOR_LIMITATION,pass_b,cost_asym,logreg,dsm5_core_plus_context,logreg_balanced_v3,none,balanced,0.78,0.9937888198757764,0.9936305732484076,1.0,0.975,0.9984375,0.9859374999999999,0.9968847352024922,0.9842271293375394,0.99994140625,0.9998632812499999,0.9998828094481228,0.9997265256992965,0.0024097644020472,0.006434506211980265,-0.00015824662736874107,-0.025000000000000022,-0.012500000000000067,-0.012657605864952792,-0.00015628374882625806,0.004024741809933065,yes,yes,yes,no,no,no,no,no,"metric_gt_0_98:specificity,roc_auc,pr_auc",yes,0.92-0.97,no,secondary_metric_anomaly|dsm5_core_signal_strengthened|weighting_boundary_adjustment
depression,caregiver_1_3,depression__caregiver_1_3__rebuild_v2__rf__precision_oriented_subset,HOLD_FOR_LIMITATION,pass_b,cost_asym,rf,dsm5_core_only,rf_recall_guard_v4,none,balanced,0.43000000000000005,0.8059701492537313,0.7083333333333334,0.6585365853658537,0.8292682926829268,0.8129366343914696,0.8794582669444785,0.7248322147651006,0.7640449438202247,0.958282264983454,0.9604424561833558,0.764765007527117,0.8074707473825127,0.0600670985657974,0.060387802707874395,-0.09763681592039797,0.1707317073170731,0.06652163255300891,0.039212729055124074,0.04270573985539572,0.00032070414207699405,no,no,no,yes,no,no,yes,yes,ok,no,0.88-0.95,no,limited_separability_or_underfit|recall_tradeoff|precision_recall_tradeoff|dsm5_core_signal_strengthened|weighting_boundary_adjustment
depression,caregiver_2_3,depression__caregiver_2_3__hybrid_final_decisive_rescue_v5__rf__precision_oriented_subset,HOLD_FOR_LIMITATION,pass_b,cost_asym,rf,dsm5_core_plus_context,rf_recall_guard_v4,none,balanced,0.4020000000000001,0.7789473684210526,0.7872340425531915,0.902439024390244,0.9024390243902439,0.9248376026473832,0.9260938840544184,0.8361581920903954,0.8409090909090909,0.9791334722392452,0.9798075744576542,0.9185052705693368,0.9129971894755767,0.0439804889728679,0.043545124713697,0.008286674132138905,-1.1102230246251565e-16,0.0012562814070351536,0.004750898818695504,-0.005508081093760109,-0.0004353642591709006,no,no,yes,no,no,no,yes,yes,ok,no,0.92-0.97,no,insufficient_dsm5_core_signal|low_precision_due_to_boundary_noise|precision_recall_tradeoff|dsm5_core_signal_strengthened|weighting_boundary_adjustment
depression,caregiver_full,depression__caregiver_full__boosted_v3__catboost__full_eligible,HOLD_FOR_LIMITATION,pass_b,frontier_hard,rf,dsm5_core_plus_context,rf_recall_guard_v4,none,balanced,0.4580000000000001,0.8409090909090909,0.8072289156626506,0.9487179487179488,0.8170731707317073,0.9569460390355912,0.8884360828532909,0.891566265060241,0.8121212121212121,0.9909108304630694,0.9822894962617967,0.9434742112852106,0.9168682995139801,0.0293666393254193,0.04389584130735466,-0.03368017524644029,-0.13164477798624152,-0.06850995618230027,-0.07944505293902882,-0.026605911771230506,0.014529201981935361,yes,yes,no,no,no,no,no,no,metric_gt_0_98:roc_auc,no,0.92-0.97,no,secondary_metric_anomaly|insufficient_dsm5_core_signal|dsm5_core_signal_strengthened|weighting_boundary_adjustment
