domain,mode,old_balanced_accuracy,new_balanced_accuracy,old_f1,new_f1,old_pr_auc,new_pr_auc,old_secondary_metric_anomaly_flag,new_secondary_metric_anomaly_flag,winner_pass,winner_weight_policy,winner_feature_set_id,margin_status
adhd,psychologist_full,0.9124407452320582,0.9525410649322015,0.88268156424581,0.9072164948453608,0.9271313857162288,0.9817121920007721,yes,yes,pass_a,frontier_hard,engineered_full,material_candidate
anxiety,caregiver_2_3,0.9440738991854564,0.9776885845826939,0.8926553672316384,0.9239130434782609,0.9572096459522188,0.9680295041789044,yes,yes,pass_a,frontier_hard,precision_oriented_subset,material_candidate
anxiety,caregiver_full,0.9498878526738284,0.9511568882068233,0.898876404494382,0.903954802259887,0.9704386771709956,0.955558468254747,yes,yes,pass_b,frontier_hard,dsm5_core_only,near_ceiling_or_minor_gain
anxiety,psychologist_2_3,0.9435426750088538,0.9175422028095856,0.8743169398907104,0.8705882352941177,0.966312961726849,0.9324479334085906,yes,no,pass_b,cost_asym,engineered_pruned_no_eng_v1,near_ceiling_or_minor_gain
anxiety,psychologist_full,0.9460807460748436,0.9544327706292055,0.8839779005524862,0.9,0.9591820433560584,0.9732810667537386,yes,yes,pass_b,cost_asym,dsm5_core_only,material_candidate
conduct,caregiver_full,0.9984375,0.978125,0.9968847352024922,0.9776357827476039,1.0,0.9999611801242235,yes,yes,pass_b,cost_asym,dsm5_core_only,near_ceiling_or_minor_gain
conduct,psychologist_full,0.9984375,0.9859374999999999,0.9968847352024922,0.9842271293375394,0.9998828094481228,0.9997265256992965,yes,yes,pass_b,cost_asym,dsm5_core_plus_context,near_ceiling_or_minor_gain
depression,caregiver_1_3,0.8129366343914696,0.8794582669444785,0.7248322147651006,0.7640449438202247,0.764765007527117,0.8074707473825127,no,no,pass_b,cost_asym,dsm5_core_only,material_candidate
depression,caregiver_2_3,0.9248376026473832,0.9260938840544184,0.8361581920903954,0.8409090909090909,0.9185052705693368,0.9129971894755767,no,no,pass_b,cost_asym,dsm5_core_plus_context,near_ceiling_or_minor_gain
depression,caregiver_full,0.9569460390355912,0.8884360828532909,0.891566265060241,0.8121212121212121,0.9434742112852106,0.9168682995139801,yes,yes,pass_b,frontier_hard,dsm5_core_plus_context,near_ceiling_or_minor_gain
depression,psychologist_1_3,0.8640458389508519,0.8636781468317196,0.782608695652174,0.7514450867052023,0.7681311253035743,0.8268498172793142,no,no,pass_a,frontier_hard,compact_subset,material_candidate
depression,psychologist_2_3,0.9260938840544184,0.9006312048045104,0.8409090909090909,0.8263473053892215,0.8675121016971403,0.912235674151938,no,no,pass_b,frontier_hard,dsm5_core_only,material_candidate
depression,psychologist_full,0.9542671259089168,0.9201801691383749,0.9012345679012346,0.8520710059171598,0.9533076719585644,0.9408423994052707,yes,yes,pass_b,frontier_hard,dsm5_core_plus_context,near_ceiling_or_minor_gain
elimination,caregiver_1_3,0.9428218839983546,0.8933321351545651,0.8846153846153846,0.8155339805825242,0.9700376570280697,0.9549851779073619,yes,yes,pass_c,combined_aggressive,engineered_full,near_ceiling_or_minor_gain
elimination,caregiver_2_3,0.9964953271028038,0.9772645578720345,0.97196261682243,0.9523809523809523,0.941642680399478,0.989027928557279,yes,yes,pass_b,cost_asym,dsm5_core_plus_context,material_candidate
elimination,caregiver_full,0.9964953271028038,0.9880481667864845,0.97196261682243,0.9714285714285714,0.9433519475427756,0.9978363704778799,yes,yes,pass_b,cost_asym,dsm5_core_plus_context,material_candidate
elimination,psychologist_1_3,0.9451528863293568,0.9233465132997843,0.9019607843137256,0.8571428571428571,0.9724347146967124,0.9585695637927711,yes,yes,pass_b,none,stability_pruned_subset,near_ceiling_or_minor_gain
elimination,psychologist_2_3,0.9964953271028038,0.9772645578720345,0.97196261682243,0.9523809523809523,0.966688236695034,0.989027928557279,yes,yes,pass_b,cost_asym,dsm5_core_plus_context,material_candidate
elimination,psychologist_full,0.9964953271028038,0.9807692307692308,0.97196261682243,0.9803921568627451,0.9917564458695416,1.0,yes,yes,pass_b,frontier_hard,dsm5_core_only,near_ceiling_or_minor_gain
