domain,mode,weight_policy,best_ba,best_f1,best_pr_auc,best_selection
adhd,psychologist_full,combined_aggressive,0.9738176606768824,0.9292929292929293,0.9823420449984517,0.9401976884383101
adhd,psychologist_full,none,0.9684985117407121,0.9238578680203046,0.9857772771870864,0.9326312885463027
adhd,psychologist_full,class_minor_boost,0.9738176606768824,0.9292929292929293,0.9849531881237787,0.9265818019486457
adhd,psychologist_full,cost_asym,0.9525410649322015,0.9072164948453608,0.9732875468495857,0.9245846178412247
adhd,psychologist_full,mode_fragile,0.9431981038474259,0.900523560209424,0.9728772446456351,0.9241561795114922
anxiety,caregiver_2_3,combined_aggressive,0.9685987486719396,0.9222222222222223,0.9678767924499002,0.9275926304180142
anxiety,caregiver_2_3,none,0.9796954314720812,0.9281767955801105,0.9712901321055745,0.9254347819757262
anxiety,caregiver_2_3,cost_asym,0.9809644670050761,0.9273743016759777,0.971331325204217,0.9244377086960249
anxiety,caregiver_2_3,mode_fragile,0.975150513516704,0.9230769230769231,0.9703728452914493,0.9201513644009454
anxiety,caregiver_2_3,class_minor_boost,0.976419549049699,0.9281767955801105,0.9683081571209511,0.9176778150784043
anxiety,caregiver_full,mode_fragile,0.9809644670050761,0.9265536723163842,0.9669045371035179,0.9238687117686204
anxiety,caregiver_full,none,0.9809644670050761,0.9281767955801105,0.9727672929045332,0.9238687117686204
anxiety,caregiver_full,cost_asym,0.9822335025380711,0.9247311827956989,0.9692420704691236,0.9236758471830291
anxiety,caregiver_full,combined_aggressive,0.976419549049699,0.9281767955801105,0.9697146023170644,0.923665076849022
anxiety,caregiver_full,class_minor_boost,0.9809644670050761,0.9239130434782609,0.9660030323833524,0.9153446048560784
anxiety,psychologist_2_3,combined_aggressive,0.9771573604060914,0.9281767955801105,0.9693356426367656,0.932672795425269
anxiety,psychologist_2_3,cost_asym,0.984771573604061,0.9347826086956522,0.97101800835285,0.9273286253884323
anxiety,psychologist_2_3,none,0.984771573604061,0.9347826086956522,0.9704359399885725,0.9243028597862627
anxiety,psychologist_2_3,mode_fragile,0.9822335025380711,0.9247311827956989,0.9707093143069347,0.9210096404695328
anxiety,psychologist_2_3,class_minor_boost,0.9802266556486837,0.9340659340659341,0.9619038572678631,0.9144830623805482
anxiety,psychologist_full,combined_aggressive,0.9776885845826939,0.9239130434782609,0.9670029330770888,0.9252943059285316
anxiety,psychologist_full,cost_asym,0.983502538071066,0.9297297297297298,0.9696699281304442,0.9221859567942703
anxiety,psychologist_full,none,0.9822335025380711,0.9289617486338798,0.9687820503137595,0.920618755274357
anxiety,psychologist_full,mode_fragile,0.9822335025380711,0.9273743016759777,0.9687820503137595,0.9194609092387263
anxiety,psychologist_full,class_minor_boost,0.9758883248730965,0.9180327868852459,0.9632504524717975,0.9175547515654416
conduct,caregiver_full,cost_asym,0.9984375,0.9968847352024922,1.0,0.9655392855130669
conduct,caregiver_full,mode_fragile,0.9875,0.9873417721518988,1.0,0.9615677172808096
conduct,caregiver_full,none,1.0,1.0,1.0,0.9615677172808096
conduct,caregiver_full,combined_aggressive,1.0,1.0,1.0000000000000002,0.9555902501197443
conduct,caregiver_full,class_minor_boost,1.0,1.0,1.0,0.953795917170914
conduct,psychologist_full,cost_asym,0.9984375,0.9968847352024922,1.0,0.9660200743872446
conduct,psychologist_full,mode_fragile,0.990625,0.9905362776025236,1.0,0.9620891442344811
conduct,psychologist_full,none,1.0,1.0,1.0,0.9620891442344811
conduct,psychologist_full,combined_aggressive,1.0,1.0,1.0,0.9593389326082071
conduct,psychologist_full,class_minor_boost,1.0,1.0,1.0,0.9550445546343855
depression,caregiver_1_3,cost_asym,0.8672631449932591,0.7514450867052023,0.820142965539252,0.8476536966019861
depression,caregiver_1_3,class_minor_boost,0.9074335090084569,0.7891891891891892,0.8304671044879076,0.845921189114944
depression,caregiver_1_3,mode_fragile,0.8649344282387548,0.7558139534883721,0.8171664996903539,0.8444683403965777
depression,caregiver_1_3,none,0.8963108224047065,0.7777777777777778,0.8362998744248975,0.8389442236222244
depression,caregiver_2_3,none,0.9235813212403481,0.8470588235294118,0.9194501613369142,0.8860717468037511
depression,caregiver_2_3,class_minor_boost,0.9286064468684888,0.8538011695906432,0.9212878199835375,0.884734840887195
depression,caregiver_2_3,cost_asym,0.9248376026473832,0.8361581920903954,0.9117852926173995,0.8810151361157575
depression,caregiver_2_3,mode_fragile,0.9332638803774973,0.8372093023255814,0.9118042281041641,0.8743215854077174
depression,caregiver_2_3,combined_aggressive,0.9354087510724354,0.8588235294117647,0.9193974615599879,0.8704166077681856
depression,caregiver_full,none,0.9359602892511337,0.8705882352941177,0.9327504275816398,0.8840886921262013
depression,caregiver_full,combined_aggressive,0.937216570658169,0.8670520231213873,0.9353104969078838,0.8811140388418158
depression,caregiver_full,mode_fragile,0.9359602892511337,0.8620689655172413,0.9327504275816398,0.8793770818340487
depression,caregiver_full,class_minor_boost,0.9384728520652041,0.872093023255814,0.9362409030830273,0.8761194742444116
depression,caregiver_full,cost_asym,0.9260938840544184,0.8470588235294118,0.9336184783978834,0.8723344227373219
depression,psychologist_1_3,none,0.8939821056502022,0.7752808988764045,0.8341785037193234,0.8551637665669101
depression,psychologist_1_3,cost_asym,0.8771295501899743,0.7701149425287356,0.8345193452650477,0.8524902665898058
depression,psychologist_1_3,mode_fragile,0.8794582669444785,0.7640449438202247,0.8259507505292737,0.8458445014215461
depression,psychologist_1_3,class_minor_boost,0.8975671038117417,0.7802197802197802,0.828930874789314,0.8334337072603608
depression,psychologist_2_3,none,0.946715283735752,0.863905325443787,0.9278921692039043,0.876640970975717
depression,psychologist_2_3,class_minor_boost,0.9347040078440986,0.8571428571428571,0.9238653938686995,0.8756237099451826
depression,psychologist_2_3,cost_asym,0.9284226008089227,0.8414634146341463,0.9219425317469405,0.8732320591553447
depression,psychologist_2_3,mode_fragile,0.9442027209216816,0.8432432432432433,0.9190568641923892,0.8664768083329855
depression,psychologist_full,combined_aggressive,0.9311190096825592,0.8604651162790697,0.9455582570304992,0.8911113103131829
depression,psychologist_full,class_minor_boost,0.9431302855742125,0.8662420382165605,0.9524984569870404,0.884638371011547
depression,psychologist_full,cost_asym,0.9189238877313397,0.8470588235294118,0.933902539189629,0.8773271090676102
depression,psychologist_full,mode_fragile,0.9271663194018875,0.8414634146341463,0.932259242214215,0.8728638178031614
depression,psychologist_full,none,0.929862728275524,0.8554913294797688,0.9435223697746619,0.8728638178031614
elimination,caregiver_1_3,none,0.985981308411215,0.896551724137931,0.9696084291183364,0.9112429408336636
elimination,caregiver_1_3,class_minor_boost,0.9740294751976994,0.8771929824561403,0.9577877436609443,0.9029763550320358
elimination,caregiver_1_3,combined_aggressive,0.9848130841121495,0.8888888888888888,0.9616584090768158,0.9024973994752211
elimination,caregiver_1_3,mode_fragile,0.957135154565061,0.8672566371681416,0.9519656451837847,0.8848081099666224
elimination,caregiver_1_3,cost_asym,0.9667505391804457,0.8771929824561403,0.9506237853208,0.8735710472193164
elimination,caregiver_2_3,cost_asym,0.9988317757009346,0.9904761904761905,0.9996371552975329,0.9570781477640856
elimination,caregiver_2_3,combined_aggressive,0.9988317757009346,0.9904761904761905,0.9996371552975329,0.9561586676935451
elimination,caregiver_2_3,none,0.9988317757009346,0.9904761904761905,1.0000000000000002,0.952721597265361
elimination,caregiver_2_3,class_minor_boost,0.9988317757009346,0.9904761904761905,0.9996371552975329,0.9516271916317768
