domain,mode,ablation_case,delta_ba,delta_pr_auc,removed_features
adhd,caregiver_1_3,drop_top3,-0.01752838716789773,0.03217067924567962,eng_adhd_core_mean|eng_externalizing_index|eng_conduct_core_mean
adhd,caregiver_2_3,drop_top3,-0.06901113438430173,-0.07401577820073313,eng_adhd_core_mean|eng_externalizing_index|adhd_onset_before_12
adhd,caregiver_full,drop_top3,-0.048754271855363296,-0.05321652186063397,eng_adhd_core_mean|eng_externalizing_index|adhd_onset_before_12
adhd,psychologist_1_3,drop_top3,-0.03265902326094139,0.03892309615589706,eng_adhd_core_mean|eng_externalizing_index|eng_conduct_core_mean
adhd,psychologist_2_3,drop_top3,-0.0687355308124794,-0.05655386117270067,eng_adhd_core_mean|eng_externalizing_index|adhd_onset_before_12
adhd,psychologist_full,drop_top3,-0.08312203726160294,-0.21786953520591423,eng_adhd_core_mean|eng_externalizing_index|adhd_not_better_explained_other_mental
anxiety,caregiver_1_3,drop_top3,-0.02971904143548576,-0.023933180680646426,eng_anxiety_core_mean|eng_internalizing_index|eng_depression_core_mean
anxiety,caregiver_2_3,drop_top3,-0.041228898595207175,-0.02829331018630321,eng_anxiety_core_mean|eng_internalizing_index|sep_anx_impairment
anxiety,caregiver_full,drop_top3,-0.02780073190886556,-0.031455058215789866,eng_anxiety_core_mean|eng_internalizing_index|sep_anx_impairment
anxiety,psychologist_1_3,drop_top3,-0.02780073190886556,0.050327830002745766,eng_anxiety_core_mean|eng_internalizing_index|eng_depression_core_mean
anxiety,psychologist_2_3,drop_top3,-0.04249793412820213,-0.03458123684322456,eng_anxiety_core_mean|eng_internalizing_index|sep_anx_impairment
anxiety,psychologist_full,drop_top3,-0.041228898595207175,-0.03352370124304316,eng_anxiety_core_mean|eng_internalizing_index|sep_anx_impairment
conduct,caregiver_1_3,drop_top3,0.009374999999999911,0.00024695107603833755,conduct_09_property_destruction|conduct_03_weapon_use|conduct_05_physical_cruelty_animals
conduct,caregiver_2_3,drop_top3,-0.012499999999999956,0.0019346722864758137,eng_externalizing_index|conduct_09_property_destruction|eng_adhd_core_mean
conduct,caregiver_full,drop_top3,-0.11406250000000007,-0.07279259401059957,conduct_impairment_global|conduct_03_weapon_use|conduct_09_property_destruction
conduct,psychologist_1_3,drop_top3,-0.012499999999999956,-0.012936732584849175,conduct_09_property_destruction|conduct_03_weapon_use|conduct_15_truancy_before_13
conduct,psychologist_2_3,drop_top3,-0.014062499999999978,0.013990327695027394,eng_externalizing_index|conduct_09_property_destruction|eng_adhd_core_mean
depression,caregiver_1_3,drop_top3,0.002328716754504301,-0.07339761957731739,mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change
depression,caregiver_2_3,drop_top3,-0.05506189484005386,-0.08750247201274008,mdd_duration_weeks|mdd_impairment|pdd_duration_months_child
depression,caregiver_full,drop_top3,-0.062415737222698886,-0.0921366715430364,mdd_impairment|mdd_duration_weeks|pdd_duration_months_child
depression,psychologist_1_3,drop_top3,-0.004841279568574608,-0.012538786798037327,mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change
depression,psychologist_2_3,drop_top3,-0.05147689667851463,-0.08317483267484682,mdd_duration_weeks|mdd_impairment|pdd_duration_months_child
elimination,caregiver_1_3,drop_top3,-0.4402408339324228,-0.8180127700324415,enuresis_event_frequency_per_week|encopresis_event_frequency_per_month|mdd_06_fatigue_or_low_energy
elimination,caregiver_2_3,drop_top3,-0.007009345794392496,-0.005898763819322972,eng_elimination_intensity|enuresis_duration_months_consecutive|enuresis_event_frequency_per_week
elimination,caregiver_full,drop_top3,-0.004672897196261627,-0.0037647915869727377,eng_elimination_intensity|enuresis_event_frequency_per_week|enuresis_duration_months_consecutive
elimination,psychologist_1_3,drop_top3,-0.43790438533429193,-0.822232633449291,enuresis_event_frequency_per_week|encopresis_event_frequency_per_month|social_anxiety_almost_always_triggered
elimination,psychologist_2_3,drop_top3,-0.015186915887850372,-0.039905143842008384,eng_elimination_intensity|enuresis_duration_months_consecutive|enuresis_distress_impairment
elimination,psychologist_full,drop_top3,-0.005841121495327117,-0.003778503659279564,eng_elimination_intensity|enuresis_duration_months_consecutive|enuresis_event_frequency_per_week
