domain,mode,dsm5_variant,best_ba,best_f1,best_pr_auc,best_selection
adhd,psychologist_full,yes,0.9710891853158417,0.9333333333333333,0.9805614699057523,0.9222979007204076
adhd,psychologist_full,no,0.9778414728254878,0.93,0.9836786602564388,0.9257109869543172
anxiety,caregiver_2_3,yes,0.9809644670050761,0.9333333333333333,0.970297517160069,0.9137862694063359
anxiety,caregiver_2_3,no,0.9822335025380711,0.9340659340659341,0.971331325204217,0.9164884681870737
anxiety,caregiver_full,yes,0.9822335025380711,0.9247311827956989,0.9676526616839523,0.9117221847636345
anxiety,caregiver_full,no,0.9822335025380711,0.9289617486338798,0.9692420704691236,0.9119234426025976
anxiety,psychologist_2_3,yes,0.9809644670050761,0.9222222222222223,0.9697629435449472,0.9107211121295996
anxiety,psychologist_2_3,no,0.984771573604061,0.9347826086956522,0.97101800835285,0.918753276882045
anxiety,psychologist_full,yes,0.9822335025380711,0.9247311827956989,0.9777125143452416,0.9229517061112218
anxiety,psychologist_full,no,0.983502538071066,0.9297297297297298,0.973701351852929,0.908549802912046
conduct,caregiver_full,yes,0.9984375,0.9968847352024922,1.0000000000000002,0.9519280584265595
conduct,caregiver_full,no,1.0,1.0,1.0,0.9459868840816904
conduct,psychologist_full,yes,0.9984375,0.9968847352024922,1.0,0.9519213048070414
conduct,psychologist_full,no,1.0,1.0,1.0,0.9459611629144058
depression,caregiver_1_3,yes,0.8939821056502022,0.7717391304347826,0.8145472246918155,0.846446231017377
depression,caregiver_1_3,no,0.9267986272827552,0.8,0.8424977855679714,0.8425174279542529
depression,caregiver_2_3,yes,0.9284226008089227,0.8333333333333334,0.9186463865705374,0.8794684544369046
depression,caregiver_2_3,no,0.9354087510724354,0.8488372093023255,0.9222208882828997,0.8683417437400797
depression,caregiver_full,yes,0.9651918127221473,0.8888888888888888,0.9435005017854363,0.8878033047708699
depression,caregiver_full,no,0.9490440004902562,0.872093023255814,0.9362409030830273,0.8773041539196238
depression,psychologist_1_3,yes,0.8939821056502022,0.7717391304347826,0.8145472246918155,0.846446231017377
depression,psychologist_1_3,no,0.9362973403603383,0.7978723404255319,0.8442963320017358,0.8428426327585858
depression,psychologist_full,yes,0.9517404093638926,0.8715083798882681,0.9400631744594041,0.8926934097822828
depression,psychologist_full,no,0.9465314376761857,0.896969696969697,0.9523834873031465,0.8870339508204644
elimination,caregiver_1_3,no,0.9813084112149533,0.897196261682243,0.964628713396672,0.9083168981310024
elimination,caregiver_2_3,yes,0.9976635514018692,0.9902912621359223,1.0,0.953766355140187
elimination,caregiver_2_3,no,0.9988317757009346,0.9904761904761905,1.0000000000000002,0.947766355140187
elimination,caregiver_full,yes,0.9976635514018692,0.9811320754716981,0.9996371552975328,0.953766355140187
elimination,caregiver_full,no,0.9988317757009346,0.9904761904761905,1.0000000000000002,0.947766355140187
elimination,psychologist_1_3,no,0.9836448598130841,0.8947368421052632,0.9651031543340631,0.9053343782330825
elimination,psychologist_2_3,yes,0.9976635514018692,0.9902912621359223,1.0,0.953766355140187
elimination,psychologist_2_3,no,0.9988317757009346,0.9904761904761905,1.0000000000000002,0.947766355140187
elimination,psychologist_full,yes,0.9988317757009346,0.9904761904761905,1.0000000000000002,0.9538831775700936
elimination,psychologist_full,no,0.9976635514018692,0.9811320754716981,1.0000000000000002,0.947766355140187
