domain,mode,active_model_id,promotion_decision,pass_name,weight_policy,model_family,feature_set_id,config_id,calibration,threshold_policy,threshold,old_precision,precision,old_recall,recall,old_balanced_accuracy,balanced_accuracy,old_f1,f1,old_roc_auc,roc_auc,old_pr_auc,pr_auc,old_brier,brier,delta_precision,delta_recall,delta_balanced_accuracy,delta_f1,delta_pr_auc,delta_brier,old_secondary_anomaly,new_secondary_anomaly,generalization_ok,material_gain_ok,anomaly_resolution_ok,class_upgrade_candidate,anomaly_guard_ok,root_cause_hypothesis
adhd,psychologist_full,adhd__psychologist_full__rebuild_v2__rf__engineered_full,HOLD_FOR_LIMITATION,pass_a,class_minor_boost,rf,engineered_pruned,rf_regularized_v4,none,balanced,0.64,0.9294117647058824,0.8921568627450981,0.8404255319148937,0.9680851063829787,0.9124407452320582,0.9697938485282769,0.88268156424581,0.9285714285714286,0.9892652408775218,0.9938540403483629,0.9271313857162288,0.9703114129088792,0.0302329344052168,0.024040567943204284,-0.03725490196078429,0.12765957446808507,0.05735310329621868,0.04588986432561859,0.04318002719265046,-0.006192366462012516,yes,yes,yes,yes,no,no,no,secondary_metric_anomaly|weighting_boundary_adjustment
anxiety,caregiver_2_3,anxiety__caregiver_2_3__final_honest_improvement_v1__rf__engineered_pruned,HOLD_FOR_LIMITATION,pass_b,none,logreg,engineered_pruned_no_eng_v1,logreg_balanced_v3,none,balanced,0.85,0.8681318681318682,0.8888888888888888,0.9186046511627908,0.8372093023255814,0.9440738991854564,0.9071833313658364,0.8926553672316384,0.8622754491017964,0.9919135875339392,0.9788985952071774,0.9572096459522188,0.9344018756014659,0.0268054004251118,0.054234790692463924,0.020757020757020683,-0.08139534883720934,-0.03689056781961997,-0.030379918129841976,-0.022807770350752876,0.027429390267352124,yes,no,yes,no,no,no,yes,secondary_metric_anomaly
anxiety,caregiver_full,anxiety__caregiver_full__final_honest_improvement_v1__rf__engineered_compact,HOLD_FOR_LIMITATION,pass_a,none,logreg,full_eligible,logreg_regularized_v3,none,balanced,0.73,0.8695652173913043,0.8390804597701149,0.9302325581395348,0.8488372093023255,0.9498878526738284,0.9066521071892338,0.898876404494382,0.8439306358381503,0.9929465234328888,0.9746488017943572,0.9704386771709956,0.9164530208073066,0.0260018685275156,0.05338598797413931,-0.030484757621189407,-0.08139534883720922,-0.04323574548459452,-0.054945768656231686,-0.053985656363689016,0.027384119446623705,yes,no,yes,no,no,no,yes,secondary_metric_anomaly
anxiety,psychologist_2_3,anxiety__psychologist_2_3__final_honest_improvement_v1__rf__engineered_pruned,HOLD_FOR_LIMITATION,pass_b,none,logreg,engineered_pruned_no_eng_v1,logreg_balanced_v3,none,balanced,0.7899999999999999,0.8247422680412371,0.891566265060241,0.9302325581395348,0.8604651162790697,0.9435426750088538,0.9188112383425806,0.8743169398907104,0.8757396449704142,0.9918840750796836,0.9794593318380356,0.966312961726849,0.9313949266154259,0.0276760963771888,0.052063550908564724,0.06682399701900388,-0.06976744186046502,-0.0247314366662732,0.0014227050797038787,-0.03491803511142311,0.024387454531375925,yes,no,yes,no,no,no,yes,secondary_metric_anomaly
anxiety,psychologist_full,anxiety__psychologist_full__final_honest_improvement_v1__rf__engineered_pruned,HOLD_FOR_LIMITATION,pass_b,cost_asym,hgb,dsm5_core_plus_context,hgb_conservative_v3,none,balanced,0.34,0.8421052631578947,0.8514851485148515,0.9302325581395348,1.0,0.9460807460748436,0.9809644670050761,0.8839779005524862,0.9197860962566845,0.9919135875339392,0.9952780073190887,0.9591820433560584,0.9761406525520069,0.026434653046354,0.020632188494536154,0.009379885356956774,0.06976744186046524,0.03488372093023251,0.03580819570419835,0.016958609195948493,-0.005802464551817845,yes,yes,yes,yes,no,no,no,secondary_metric_anomaly|dsm5_core_signal_strengthened|weighting_boundary_adjustment
conduct,caregiver_full,conduct__caregiver_full__conduct_honest_retrain_v1__rf__engineered_compact_no_shortcuts_v1,PROMOTE_NOW,pass_b,none,extra_trees,dsm5_core_plus_context,extra_precision_guard_v3,none,balanced,0.16999999999999998,0.8076923076923077,0.9937888198757764,0.91875,1.0,0.9046875,0.9984375,0.8596491228070176,0.9968847352024922,0.9746875,1.0,0.9499594639068576,1.0,0.0622859399714159,0.004063457795468049,0.18609651218346868,0.08125000000000004,0.09375,0.13723561239547466,0.05004053609314241,-0.058222482175947846,no,yes,yes,yes,no,no,yes,confidence_alignment_check|dsm5_core_signal_strengthened
conduct,psychologist_full,conduct__psychologist_full__conduct_honest_retrain_v1__rf__engineered_compact_no_shortcuts_v1,PROMOTE_NOW,pass_b,none,hgb,dsm5_core_plus_context,hgb_conservative_v3,none,balanced,0.08,0.8439306358381503,0.9937888198757764,0.9125,1.0,0.9140625,0.9984375,0.8768768768768769,0.9968847352024922,0.975634765625,0.9999414062499999,0.9413294156917726,0.9998828094481229,0.0601968414247834,0.0024097644020472154,0.14985818403762607,0.08750000000000002,0.08437499999999998,0.12000785832561534,0.05855339375635027,-0.05778707702273618,no,yes,yes,yes,no,no,yes,confidence_alignment_check|dsm5_core_signal_strengthened
depression,caregiver_1_3,depression__caregiver_1_3__rebuild_v2__rf__precision_oriented_subset,HOLD_FOR_LIMITATION,pass_b,mode_fragile,extra_trees,dsm5_core_only,extra_precision_guard_v3,none,balanced,0.34,0.8059701492537313,0.696078431372549,0.6585365853658537,0.8658536585365854,0.8129366343914696,0.8939821056502022,0.7248322147651006,0.7717391304347826,0.958282264983454,0.9602586101237897,0.764765007527117,0.8145472246918155,0.0600670985657974,0.06109397466107317,-0.10989171788118235,0.20731707317073167,0.08104547125873263,0.04690691566968197,0.04978221716469855,0.0010268760952757694,no,no,no,yes,no,no,yes,limited_separability_or_underfit|recall_tradeoff|dsm5_core_signal_strengthened|weighting_boundary_adjustment
depression,caregiver_2_3,depression__caregiver_2_3__hybrid_final_decisive_rescue_v5__rf__precision_oriented_subset,HOLD_FOR_LIMITATION,pass_b,cost_asym,extra_trees,dsm5_core_plus_context,extra_precision_guard_v3,none,balanced,0.44,0.7789473684210526,0.7888888888888889,0.902439024390244,0.8658536585365854,0.9248376026473832,0.9090574825346243,0.8361581920903954,0.8255813953488372,0.9791334722392452,0.9788883441598235,0.9185052705693368,0.9089426302418846,0.0439804889728679,0.04491646548915851,0.009941520467836251,-0.03658536585365868,-0.015780120112758977,-0.010576796741558203,-0.009562640327452243,0.0009359765162906056,no,no,yes,no,no,yes,yes,precision_tradeoff|dsm5_core_signal_strengthened|weighting_boundary_adjustment
depression,caregiver_full,depression__caregiver_full__boosted_v3__catboost__full_eligible,HOLD_FOR_LIMITATION,pass_b,cost_asym,hgb,dsm5_core_only,hgb_conservative_v3,none,balanced,0.33,0.8409090909090909,0.8,0.9487179487179488,0.975609756097561,0.9569460390355912,0.962679249908077,0.891566265060241,0.8791208791208791,0.9909108304630694,0.9883870572374065,0.9434742112852106,0.941776364220716,0.0293666393254193,0.03270758175827193,-0.040909090909090895,0.026891807379612165,0.005733210872485794,-0.012445385939361842,-0.0016978470644946064,0.0033409424328526317,yes,yes,yes,no,no,yes,no,secondary_metric_anomaly|dsm5_core_signal_strengthened|weighting_boundary_adjustment
