domain,mode,weight_policy,best_ba,best_f1,best_pr_auc,best_selection
adhd,psychologist_full,class_minor_boost,0.9778414728254878,0.93,0.9836786602564388,0.9257109869543172
adhd,psychologist_full,combined_aggressive,0.9740932642487047,0.9246231155778895,0.9781419250051223,0.9233855131617097
adhd,psychologist_full,mode_fragile,0.9710891853158417,0.9333333333333333,0.9800594993516031,0.9222979007204076
adhd,psychologist_full,none,0.9778414728254878,0.9333333333333333,0.9829985159045673,0.9222979007204076
adhd,psychologist_full,cost_asym,0.9697938485282769,0.9285714285714286,0.9805614699057523,0.9196686312550572
anxiety,caregiver_2_3,none,0.9822335025380711,0.9340659340659341,0.9712901321055745,0.9164884681870737
anxiety,caregiver_2_3,mode_fragile,0.9796954314720812,0.9333333333333333,0.9703728452914493,0.9164855284463853
anxiety,caregiver_2_3,cost_asym,0.9809644670050761,0.9230769230769231,0.971331325204217,0.9164778738926502
anxiety,caregiver_2_3,class_minor_boost,0.9771573604060914,0.9281767955801105,0.9683081571209511,0.9065492608637075
anxiety,caregiver_2_3,combined_aggressive,0.9758883248730965,0.9281767955801105,0.9659816455117917,0.9060515628319268
anxiety,caregiver_full,none,0.9822335025380711,0.9289617486338798,0.968204848308528,0.9119234426025976
anxiety,caregiver_full,class_minor_boost,0.9809644670050761,0.9239130434782609,0.9660030323833524,0.9118784736543577
anxiety,caregiver_full,mode_fragile,0.9822335025380711,0.9247311827956989,0.9669045371035179,0.9117221847636345
anxiety,caregiver_full,cost_asym,0.9822335025380711,0.9247311827956989,0.9692420704691236,0.9114263570735637
anxiety,caregiver_full,combined_aggressive,0.9771573604060914,0.9281767955801105,0.9671358830790637,0.9049573175445415
anxiety,psychologist_2_3,none,0.9822335025380711,0.9281767955801105,0.9704359399885725,0.918753276882045
anxiety,psychologist_2_3,cost_asym,0.984771573604061,0.9347826086956522,0.97101800835285,0.9186463736961635
anxiety,psychologist_2_3,mode_fragile,0.983502538071066,0.9297297297297298,0.9707093143069347,0.9186245572810352
anxiety,psychologist_2_3,class_minor_boost,0.9802266556486837,0.9340659340659341,0.9619038572678631,0.9141396022030833
anxiety,psychologist_2_3,combined_aggressive,0.9771573604060914,0.9230769230769231,0.9642983957920138,0.9044572542027559
anxiety,psychologist_full,cost_asym,0.983502538071066,0.9297297297297298,0.9761406525520069,0.9229517061112218
anxiety,psychologist_full,mode_fragile,0.9822335025380711,0.9247311827956989,0.9777125143452416,0.9168963062416509
