domain,mode,metric,value
anxiety,caregiver_full,balanced_accuracy,0.9433141316337788
anxiety,caregiver_full,pr_auc,0.9608132865147353
anxiety,caregiver_full,balanced_accuracy,0.9484043056914675
anxiety,caregiver_full,pr_auc,0.9674531939165066
anxiety,caregiver_full,balanced_accuracy,0.935
anxiety,caregiver_full,pr_auc,0.9643301929939952
anxiety,caregiver_full,balanced_accuracy,0.9388888888888889
anxiety,caregiver_full,pr_auc,0.9608428736560407
anxiety,caregiver_full,balanced_accuracy,0.9635226065399599
anxiety,caregiver_full,pr_auc,0.9774141326323694
anxiety,caregiver_full,balanced_accuracy,0.9487897803675482
anxiety,caregiver_full,pr_auc,0.9645511324592096
anxiety,caregiver_full,balanced_accuracy,0.9457080563107318
anxiety,caregiver_full,pr_auc,0.9692545302391244
anxiety,caregiver_full,balanced_accuracy,0.9475
anxiety,caregiver_full,pr_auc,0.9631073624159106
anxiety,caregiver_full,balanced_accuracy,0.9452368668629176
anxiety,caregiver_full,pr_auc,0.961417268755229
anxiety,caregiver_full,balanced_accuracy,0.965
anxiety,caregiver_full,pr_auc,0.9760701399144878
anxiety,caregiver_full,balanced_accuracy,0.9602469135802469
anxiety,caregiver_full,pr_auc,0.9804096918180399
anxiety,caregiver_full,balanced_accuracy,0.960461177696717
anxiety,caregiver_full,pr_auc,0.9728693176889867
anxiety,caregiver_full,balanced_accuracy,0.9430970902532906
anxiety,caregiver_full,pr_auc,0.9537569182758622
anxiety,caregiver_full,balanced_accuracy,0.9483392572619194
anxiety,caregiver_full,pr_auc,0.9527109964110586
anxiety,caregiver_full,balanced_accuracy,0.9693332524050864
anxiety,caregiver_full,pr_auc,0.9837067057385228
anxiety,caregiver_full,balanced_accuracy,0.9573621694307486
anxiety,caregiver_full,pr_auc,0.9860980809427693
anxiety,caregiver_full,balanced_accuracy,0.9663510628422909
anxiety,caregiver_full,pr_auc,0.981800318687386
anxiety,caregiver_full,balanced_accuracy,0.955
anxiety,caregiver_full,pr_auc,0.9523553506760358
anxiety,caregiver_full,balanced_accuracy,0.9614903725931483
anxiety,caregiver_full,pr_auc,0.9841963646412437
anxiety,caregiver_full,balanced_accuracy,0.9425
anxiety,caregiver_full,pr_auc,0.9801902088876909
anxiety,caregiver_full,balanced_accuracy,0.9277663210825164
anxiety,caregiver_full,pr_auc,0.955151714543871
anxiety,caregiver_full,balanced_accuracy,0.9596740020904545
anxiety,caregiver_full,pr_auc,0.9833499457650502
anxiety,caregiver_full,balanced_accuracy,0.96375
anxiety,caregiver_full,pr_auc,0.9683431930297425
anxiety,caregiver_full,balanced_accuracy,0.9384728520652041
anxiety,caregiver_full,pr_auc,0.9559230246673049
anxiety,caregiver_full,balanced_accuracy,0.9510114099155195
anxiety,caregiver_full,pr_auc,0.966511324469888
anxiety,caregiver_full,balanced_accuracy,0.9622395833333334
anxiety,caregiver_full,pr_auc,0.9875603146995878
anxiety,caregiver_full,balanced_accuracy,0.9478715728715729
anxiety,caregiver_full,pr_auc,0.9809404282321926
anxiety,caregiver_full,balanced_accuracy,0.9306697824041759
anxiety,caregiver_full,pr_auc,0.9710782532648607
anxiety,caregiver_full,balanced_accuracy,0.9610862507677459
anxiety,caregiver_full,pr_auc,0.9687491558910403
anxiety,caregiver_full,balanced_accuracy,0.9389013920146703
anxiety,caregiver_full,pr_auc,0.9617070050041349
anxiety,caregiver_full,balanced_accuracy,0.9615241808224264
anxiety,caregiver_full,pr_auc,0.983748935412191
anxiety,caregiver_full,balanced_accuracy,0.9436456400742115
anxiety,caregiver_full,pr_auc,0.9797065239985063
anxiety,caregiver_full,balanced_accuracy,0.9617443186803545
anxiety,caregiver_full,pr_auc,0.9696280632731407
anxiety,caregiver_full,balanced_accuracy,0.94125
anxiety,caregiver_full,pr_auc,0.9717527242064357
anxiety,caregiver_full,balanced_accuracy,0.9348118048142153
anxiety,caregiver_full,pr_auc,0.9679219271327689
anxiety,caregiver_full,balanced_accuracy,0.9542529721779629
anxiety,caregiver_full,pr_auc,0.9567761606210061
anxiety,caregiver_full,balanced_accuracy,0.9515231050664121
anxiety,caregiver_full,pr_auc,0.9811552365205887
anxiety,caregiver_full,balanced_accuracy,0.978207976303819
anxiety,caregiver_full,pr_auc,0.9869031690012373
anxiety,caregiver_full,balanced_accuracy,0.954179496595949
anxiety,caregiver_full,pr_auc,0.9771520914899193
anxiety,caregiver_full,balanced_accuracy,0.9712235133287765
anxiety,caregiver_full,pr_auc,0.9785116078435891
anxiety,caregiver_full,balanced_accuracy,0.9243943191311612
anxiety,caregiver_full,pr_auc,0.9601252306404173
anxiety,caregiver_full,balanced_accuracy,0.9638831605412583
anxiety,caregiver_full,pr_auc,0.9783824068669509
anxiety,caregiver_full,balanced_accuracy,0.9294425087108014
anxiety,caregiver_full,pr_auc,0.9563103435031969
anxiety,caregiver_full,balanced_accuracy,0.9362112836711416
anxiety,caregiver_full,pr_auc,0.9386742441252858
anxiety,caregiver_full,balanced_accuracy,0.9545326139156474
anxiety,caregiver_full,pr_auc,0.977711827098025
anxiety,caregiver_full,balanced_accuracy,0.9643032234342443
anxiety,caregiver_full,pr_auc,0.9772514344273316
anxiety,caregiver_full,balanced_accuracy,0.9620997766195085
anxiety,caregiver_full,pr_auc,0.9854435551923597
anxiety,caregiver_full,balanced_accuracy,0.926876617773943
anxiety,caregiver_full,pr_auc,0.9625247980415561
anxiety,caregiver_full,balanced_accuracy,0.9466130884041333
anxiety,caregiver_full,pr_auc,0.9626237572508689
anxiety,caregiver_full,balanced_accuracy,0.9470474686320962
anxiety,caregiver_full,pr_auc,0.9673583817462181
anxiety,caregiver_full,balanced_accuracy,0.9146814563636887
anxiety,caregiver_full,pr_auc,0.9516563301559979
anxiety,caregiver_full,balanced_accuracy,0.939712918660287
