domain,mode,stress_type,scenario,balanced_accuracy,delta_ba
anxiety,caregiver_full,threshold,threshold_shift_-0.10,0.9422736394758588,-0.0076142131979695105
anxiety,caregiver_full,threshold,threshold_shift_-0.05,0.9460807460748436,-0.0038071065989847552
anxiety,caregiver_full,threshold,threshold_shift_+0.05,0.9549639948058081,0.005076142131979711
anxiety,caregiver_full,threshold,threshold_shift_+0.10,0.9400602054066816,-0.0098276472671468
anxiety,caregiver_full,missingness,missing_10pct,0.9382599456970842,-0.011627906976744207
anxiety,caregiver_full,missingness,missing_20pct,0.8799138236335734,-0.06997402904025496
anxiety,psychologist_full,threshold,threshold_shift_-0.10,0.9417424152992563,-0.004338330775587318
anxiety,psychologist_full,threshold,threshold_shift_-0.05,0.9397355684098689,-0.006345177664974666
anxiety,psychologist_full,threshold,threshold_shift_+0.05,0.9498878526738284,0.0038071065989847552
anxiety,psychologist_full,threshold,threshold_shift_+0.10,0.947881005784441,0.0018002597095974071
anxiety,psychologist_full,missingness,missing_10pct,0.9279010742533349,-0.018179671821508703
anxiety,psychologist_full,missingness,missing_20pct,0.8748376815015937,-0.07124306457324991
anxiety,caregiver_2_3,threshold,threshold_shift_-0.10,0.9435426750088538,-0.0005312241766024517
anxiety,caregiver_2_3,threshold,threshold_shift_-0.05,0.9473497816078384,0.0032758824223821925
anxiety,caregiver_2_3,threshold,threshold_shift_+0.05,0.9433360878290639,-0.0007378113563923927
anxiety,caregiver_2_3,threshold,threshold_shift_+0.10,0.9425982764726715,-0.0014756227127847854
anxiety,caregiver_2_3,missingness,missing_10pct,0.8586648565694723,-0.08540904261598392
anxiety,caregiver_2_3,missingness,missing_20pct,0.8457679140597332,-0.09830598512572308
anxiety,psychologist_2_3,threshold,threshold_shift_-0.10,0.9430114508322512,-0.0005312241766025627
anxiety,psychologist_2_3,threshold,threshold_shift_-0.05,0.948087592964231,0.004544917955377148
anxiety,psychologist_2_3,threshold,threshold_shift_+0.05,0.9473497816078384,0.003807106598984644
anxiety,psychologist_2_3,threshold,threshold_shift_+0.10,0.9511568882068233,0.0076142131979695105
anxiety,psychologist_2_3,missingness,missing_10pct,0.9415358281194663,-0.002006846889387459
anxiety,psychologist_2_3,missingness,missing_20pct,0.8955554243890922,-0.04798725061976161
depression,psychologist_2_3,threshold,threshold_shift_-0.10,0.9330800343179311,0.00698615026351268
depression,psychologist_2_3,threshold,threshold_shift_-0.05,0.9320075989704621,0.005913714916043755
depression,psychologist_2_3,threshold,threshold_shift_+0.05,0.9090574825346243,-0.01703640151979413
depression,psychologist_2_3,threshold,threshold_shift_+0.10,0.9006312048045104,-0.02546267924990797
depression,psychologist_2_3,missingness,missing_10pct,0.8678146831719573,-0.05827920088246108
depression,psychologist_2_3,missingness,missing_20pct,0.8129366343914696,-0.11315724966294882
elimination,caregiver_full,threshold,threshold_shift_-0.10,0.9941588785046729,-0.002336448598130869
elimination,caregiver_full,threshold,threshold_shift_-0.05,0.9953271028037383,-0.00116822429906549
elimination,caregiver_full,threshold,threshold_shift_+0.05,0.9964953271028038,0.0
elimination,caregiver_full,threshold,threshold_shift_+0.10,0.9964953271028038,0.0
elimination,caregiver_full,missingness,missing_10pct,0.9868799424874191,-0.009615384615384692
elimination,caregiver_full,missingness,missing_20pct,0.9484184040258807,-0.04807692307692302
elimination,psychologist_full,threshold,threshold_shift_-0.10,0.9941588785046729,-0.002336448598130869
elimination,psychologist_full,threshold,threshold_shift_-0.05,0.9941588785046729,-0.002336448598130869
elimination,psychologist_full,threshold,threshold_shift_+0.05,0.9964953271028038,0.0
elimination,psychologist_full,threshold,threshold_shift_+0.10,0.9964953271028038,0.0
elimination,psychologist_full,missingness,missing_10pct,0.9868799424874191,-0.009615384615384692
elimination,psychologist_full,missingness,missing_20pct,0.9580337886412653,-0.038461538461538436
elimination,caregiver_2_3,threshold,threshold_shift_-0.10,0.9918224299065421,-0.004672897196261627
elimination,caregiver_2_3,threshold,threshold_shift_-0.05,0.9941588785046729,-0.002336448598130869
elimination,caregiver_2_3,threshold,threshold_shift_+0.05,0.9976635514018692,0.00116822429906549
elimination,caregiver_2_3,threshold,threshold_shift_+0.10,0.9880481667864845,-0.008447160316319202
elimination,caregiver_2_3,missingness,missing_10pct,0.9964953271028038,0.0
elimination,caregiver_2_3,missingness,missing_20pct,0.9484184040258807,-0.04807692307692302
elimination,psychologist_2_3,threshold,threshold_shift_-0.10,0.9929906542056075,-0.003504672897196248
elimination,psychologist_2_3,threshold,threshold_shift_-0.05,0.9941588785046729,-0.002336448598130869
elimination,psychologist_2_3,threshold,threshold_shift_+0.05,0.9868799424874191,-0.009615384615384692
elimination,psychologist_2_3,threshold,threshold_shift_+0.10,0.9868799424874191,-0.009615384615384692
elimination,psychologist_2_3,missingness,missing_10pct,0.9772645578720345,-0.019230769230769273
elimination,psychologist_2_3,missingness,missing_20pct,0.9580337886412653,-0.038461538461538436
