domain,role,full_direct_feature_count,full_direct_features_pipe,source
adhd,caregiver,25,adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_hypimp_08_difficulty_waiting_turn|adhd_hypimp_09_interrupts_intrudes|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|adhd_impairment_home|adhd_impairment_school|adhd_impairment_social|adhd_context_home|adhd_context_school|adhd_onset_before_12|adhd_context_other,questionnaire_v16_4_full_flags_reused_without_text_changes
adhd,psychologist,27,adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_hypimp_08_difficulty_waiting_turn|adhd_hypimp_09_interrupts_intrudes|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|adhd_impairment_home|adhd_impairment_school|adhd_impairment_social|adhd_context_home|adhd_context_school|adhd_onset_before_12|adhd_not_better_explained_other_mental|adhd_not_psychosis_exclusive|adhd_context_other,questionnaire_v16_4_full_flags_reused_without_text_changes
conduct,caregiver,21,conduct_01_bullies_threatens_intimidates|conduct_02_initiates_fights|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_05_physical_cruelty_animals|conduct_06_steals_confronting_victim|conduct_07_forced_sex|conduct_08_fire_setting|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_11_lies_to_obtain_or_avoid|conduct_12_steals_without_confrontation|conduct_13_stays_out_at_night_before_13|conduct_14_runs_away_overnight|conduct_15_truancy_before_13|conduct_impairment_global|conduct_onset_before_10|conduct_lpe_01_lack_remorse_guilt|conduct_lpe_02_callous_lack_empathy|conduct_lpe_03_unconcerned_performance|conduct_lpe_04_shallow_deficient_affect,questionnaire_v16_4_full_flags_reused_without_text_changes
conduct,psychologist,21,conduct_01_bullies_threatens_intimidates|conduct_02_initiates_fights|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_05_physical_cruelty_animals|conduct_06_steals_confronting_victim|conduct_07_forced_sex|conduct_08_fire_setting|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_11_lies_to_obtain_or_avoid|conduct_12_steals_without_confrontation|conduct_13_stays_out_at_night_before_13|conduct_14_runs_away_overnight|conduct_15_truancy_before_13|conduct_impairment_global|conduct_onset_before_10|conduct_lpe_01_lack_remorse_guilt|conduct_lpe_02_callous_lack_empathy|conduct_lpe_03_unconcerned_performance|conduct_lpe_04_shallow_deficient_affect,questionnaire_v16_4_full_flags_reused_without_text_changes
elimination,caregiver,11,encopresis_event_frequency_per_month|enuresis_event_frequency_per_week|enuresis_distress_impairment|encopresis_duration_months_consecutive|enuresis_duration_months_consecutive|encopresis_constipation_present|enuresis_diurnal|enuresis_nocturnal|encopresis_visible_deposition_pattern|enuresis_primary_course|enuresis_secondary_course,questionnaire_v16_4_full_flags_reused_without_text_changes
elimination,psychologist,14,encopresis_event_frequency_per_month|enuresis_event_frequency_per_week|enuresis_distress_impairment|encopresis_duration_months_consecutive|enuresis_duration_months_consecutive|encopresis_not_due_substance_medical|enuresis_not_due_substance_medical|encopresis_constipation_present|enuresis_diurnal|enuresis_nocturnal|encopresis_overflow_incontinence|encopresis_visible_deposition_pattern|enuresis_primary_course|enuresis_secondary_course,questionnaire_v16_4_full_flags_reused_without_text_changes
anxiety,caregiver,39,gad_difficulty_controlling_worry|gad_excessive_worry_multiple_areas|sep_anx_01_distress_on_separation|sep_anx_02_worry_losing_attachment_figures|sep_anx_03_worry_event_causing_separation|sep_anx_04_refuses_leaving_home_school|sep_anx_05_fear_being_alone_without_attachment|sep_anx_06_refuses_sleep_away_or_alone|sep_anx_07_separation_nightmares|sep_anx_08_physical_complaints_on_separation|social_anxiety_almost_always_triggered|social_anxiety_avoid_or_endure_intense|social_anxiety_fear_being_observed|social_anxiety_fear_interactions|social_anxiety_fear_negative_evaluation|social_anxiety_fear_performance|agor_escape_help_cognition|agor_avoid_or_need_companion|agor_impairment|gad_assoc_01_restlessness|gad_assoc_02_fatigue|gad_assoc_03_concentration_difficulty|gad_assoc_04_irritability|gad_assoc_05_muscle_tension|gad_assoc_06_sleep_problems|gad_impairment|sep_anx_impairment|social_anxiety_impairment|agor_duration_months|gad_duration_months|sep_anx_duration_weeks|social_anxiety_duration_months|agor_fear_01_public_transport|agor_fear_02_open_spaces|agor_fear_03_enclosed_spaces|agor_fear_04_crowds_queues|agor_fear_05_outside_home_alone|agor_almost_always_triggered|social_anxiety_children_peer_only_flag,questionnaire_v16_4_full_flags_reused_without_text_changes
anxiety,psychologist,48,gad_difficulty_controlling_worry|gad_excessive_worry_multiple_areas|sep_anx_01_distress_on_separation|sep_anx_02_worry_losing_attachment_figures|sep_anx_03_worry_event_causing_separation|sep_anx_04_refuses_leaving_home_school|sep_anx_05_fear_being_alone_without_attachment|sep_anx_06_refuses_sleep_away_or_alone|sep_anx_07_separation_nightmares|sep_anx_08_physical_complaints_on_separation|social_anxiety_almost_always_triggered|social_anxiety_avoid_or_endure_intense|social_anxiety_fear_being_observed|social_anxiety_fear_interactions|social_anxiety_fear_negative_evaluation|social_anxiety_fear_performance|agor_escape_help_cognition|agor_avoid_or_need_companion|agor_impairment|gad_assoc_01_restlessness|gad_assoc_02_fatigue|gad_assoc_03_concentration_difficulty|gad_assoc_04_irritability|gad_assoc_05_muscle_tension|gad_assoc_06_sleep_problems|gad_impairment|sep_anx_impairment|social_anxiety_impairment|agor_duration_months|gad_duration_months|sep_anx_duration_weeks|social_anxiety_duration_months|agor_fear_01_public_transport|agor_fear_02_open_spaces|agor_fear_03_enclosed_spaces|agor_fear_04_crowds_queues|agor_fear_05_outside_home_alone|agor_almost_always_triggered|agor_not_better_explained|gad_not_better_explained|gad_not_due_substance_medical|sep_anx_not_better_explained|social_anxiety_not_better_explained|social_anxiety_not_due_substance_medical|social_anxiety_children_peer_only_flag|agor_disproportionate|agor_not_excessive_due_medical|social_anxiety_disproportionate,questionnaire_v16_4_full_flags_reused_without_text_changes
depression,caregiver,27,dmdd_irritable_between_outbursts|dmdd_outbursts_frequency_per_week|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_09_death_or_suicidal_thoughts|mdd_impairment|dmdd_duration_months|dmdd_onset_before_10|mdd_duration_weeks|pdd_duration_months_child|dmdd_outbursts_severity|pdd_depressed_or_irritable_mood|pdd_01_appetite_change|pdd_02_sleep_change|pdd_03_low_energy|pdd_04_low_self_esteem|pdd_05_concentration_difficulty|pdd_06_hopelessness|pdd_impairment|dmdd_context_home|dmdd_context_peers|dmdd_context_school|pdd_no_gap_gt_2_months,questionnaire_v16_4_full_flags_reused_without_text_changes
depression,psychologist,34,dmdd_irritable_between_outbursts|dmdd_outbursts_frequency_per_week|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_09_death_or_suicidal_thoughts|mdd_impairment|dmdd_duration_months|dmdd_onset_before_10|mdd_duration_weeks|pdd_duration_months_child|dmdd_outbursts_severity|pdd_depressed_or_irritable_mood|dmdd_no_mania_hypomania|dmdd_no_substance_medical|dmdd_not_better_explained|pdd_no_mania_hypomania|pdd_no_substance_medical|pdd_01_appetite_change|pdd_02_sleep_change|pdd_03_low_energy|pdd_04_low_self_esteem|pdd_05_concentration_difficulty|pdd_06_hopelessness|pdd_impairment|dmdd_context_home|dmdd_context_peers|dmdd_context_school|pdd_no_gap_gt_2_months|dmdd_developmentally_inappropriate|pdd_no_psychotic_explained,questionnaire_v16_4_full_flags_reused_without_text_changes
