domain,mode,changed,old_champion,new_champion,old_n_features,new_n_features,old_f1,new_f1,old_recall,new_recall,old_precision,new_precision,old_balanced_accuracy,new_balanced_accuracy,old_brier,new_brier,old_class,new_class,old_confidence_pct,new_confidence_pct
adhd,caregiver_1_3,no,adhd__caregiver_1_3__hybrid_structural_mode_rescue_v1__rf__structural_dsm5_plus_context_1_3,adhd__caregiver_1_3__hybrid_structural_mode_rescue_v1__rf__structural_dsm5_plus_context_1_3,36,36,0.8018433179723502,0.8018433179723502,0.925531914893617,0.925531914893617,0.7073170731707317,0.7073170731707317,0.9161338330944768,0.9161338330944768,0.0753460583624701,0.0753460583624701,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,59.0,62.9
adhd,caregiver_2_3,no,adhd__caregiver_2_3__hybrid_structural_mode_rescue_v1__rf__structural_compact_2_3,adhd__caregiver_2_3__hybrid_structural_mode_rescue_v1__rf__structural_compact_2_3,69,69,0.8090909090909091,0.8090909090909091,0.946808510638298,0.946808510638298,0.7063492063492064,0.7063492063492064,0.9254767941792524,0.9254767941792524,0.0744408560108688,0.0744408560108688,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,59.0,63.0
adhd,caregiver_full,no,adhd__caregiver_full__rebuild_v2__rf__engineered_compact,adhd__caregiver_full__rebuild_v2__rf__engineered_compact,53,53,0.7777777777777778,0.7777777777777778,0.8191489361702128,0.8191489361702128,0.7403846153846154,0.7403846153846154,0.8746003748208577,0.8746003748208577,0.0687218130961477,0.0687218130961477,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,59.0,52.6
adhd,psychologist_1_3,yes,adhd__psychologist_1_3__hybrid_structural_mode_rescue_v1__hgb__structural_ranked_1_3,adhd__psychologist_1_3__hybrid_final_model_structural_compliance_v1__logreg__structural_ranked_direct,50,9,0.7623318385650224,0.7657657657657657,0.9042553191489362,0.9042553191489362,0.6589147286821705,0.6640625,0.8951328409216184,0.8964281777091831,0.1502013143940209,0.0875123423719748,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,59.0,53.5
adhd,psychologist_2_3,no,adhd__psychologist_2_3__hybrid_structural_mode_rescue_v1__logreg__structural_ranked_2_3,adhd__psychologist_2_3__hybrid_structural_mode_rescue_v1__logreg__structural_ranked_2_3,101,101,0.8241206030150754,0.8241206030150754,0.8723404255319149,0.8723404255319149,0.780952380952381,0.780952380952381,0.9063774666519678,0.9063774666519678,0.0878566848290679,0.0878566848290679,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,59.0,63.0
adhd,psychologist_full,no,adhd__psychologist_full__v6_hotfix_v1__logreg__dsm5_core_only,adhd__psychologist_full__v6_hotfix_v1__logreg__dsm5_core_only,27,27,0.783410138248848,0.783410138248848,0.9042553191489362,0.9042553191489362,0.6910569105691057,0.6910569105691057,0.902904861647007,0.902904861647007,0.0817923949186582,0.0817923949186582,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,59.0,57.5
anxiety,caregiver_1_3,no,anxiety__caregiver_1_3__rebuild_v2__rf__engineered_full,anxiety__caregiver_1_3__rebuild_v2__rf__engineered_full,58,58,0.8554216867469879,0.8554216867469879,0.8255813953488372,0.8255813953488372,0.8875,0.8875,0.9013693778774644,0.9013693778774644,0.0368358394115982,0.0368358394115982,ACTIVE_MODERATE_CONFIDENCE,ACTIVE_MODERATE_CONFIDENCE,84.9,83.6
anxiety,caregiver_2_3,no,anxiety__caregiver_2_3__v6_hotfix_v1__logreg__engineered_pruned_no_eng_v1,anxiety__caregiver_2_3__v6_hotfix_v1__logreg__engineered_pruned_no_eng_v1,59,59,0.8674698795180723,0.8674698795180723,0.8372093023255814,0.8372093023255814,0.9,0.9,0.9084523668988314,0.9084523668988314,0.0567813344547886,0.0567813344547886,ACTIVE_MODERATE_CONFIDENCE,ACTIVE_MODERATE_CONFIDENCE,84.9,84.9
anxiety,caregiver_full,no,anxiety__caregiver_full__v6_hotfix_v1__logreg__full_eligible,anxiety__caregiver_full__v6_hotfix_v1__logreg__full_eligible,126,126,0.8439306358381503,0.8439306358381503,0.8488372093023255,0.8488372093023255,0.8390804597701149,0.8390804597701149,0.9066521071892338,0.9066521071892338,0.0533859879741393,0.0533859879741393,ACTIVE_MODERATE_CONFIDENCE,ACTIVE_MODERATE_CONFIDENCE,84.9,80.9
anxiety,psychologist_1_3,yes,anxiety__psychologist_1_3__hybrid_structural_mode_rescue_v1__logreg__registry_stability_pruned_subset,anxiety__psychologist_1_3__hybrid_final_model_structural_compliance_v1__logreg__legacy_structural_intersection,30,14,0.8102564102564103,0.8253968253968254,0.9186046511627908,0.9069767441860463,0.7247706422018348,0.7572815533980582,0.9212312595915476,0.9217624837681502,0.0793415527255129,0.0603310349484983,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,59.0,63.0
anxiety,psychologist_2_3,no,anxiety__psychologist_2_3__v6_hotfix_v1__logreg__engineered_pruned_no_eng_v1,anxiety__psychologist_2_3__v6_hotfix_v1__logreg__engineered_pruned_no_eng_v1,60,60,0.8757396449704142,0.8757396449704142,0.8604651162790697,0.8604651162790697,0.891566265060241,0.891566265060241,0.9188112383425806,0.9188112383425806,0.0520635509085647,0.0520635509085647,ACTIVE_MODERATE_CONFIDENCE,ACTIVE_MODERATE_CONFIDENCE,84.9,84.9
anxiety,psychologist_full,no,anxiety__psychologist_full__hybrid_structural_mode_rescue_v1__hgb__structural_ranked_full,anxiety__psychologist_full__hybrid_structural_mode_rescue_v1__hgb__structural_ranked_full,151,151,0.8409090909090909,0.8409090909090909,0.8604651162790697,0.8604651162790697,0.8222222222222222,0.8222222222222222,0.909927989611616,0.909927989611616,0.1061830434387351,0.1061830434387351,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,59.0,63.0
conduct,caregiver_1_3,no,conduct__caregiver_1_3__rebuild_v2__rf__precision_oriented_subset,conduct__caregiver_1_3__rebuild_v2__rf__precision_oriented_subset,20,20,0.8817891373801917,0.8817891373801917,0.8625,0.8625,0.9019607843137256,0.9019607843137256,0.9078125,0.9078125,0.0563854385479201,0.0563854385479201,ACTIVE_MODERATE_CONFIDENCE,ACTIVE_MODERATE_CONFIDENCE,84.9,84.9
conduct,caregiver_2_3,no,conduct__caregiver_2_3__hybrid_structural_mode_rescue_v1__logreg__registry_stability_pruned_subset,conduct__caregiver_2_3__hybrid_structural_mode_rescue_v1__logreg__registry_stability_pruned_subset,49,49,0.8875739644970414,0.8875739644970414,0.9375,0.9375,0.8426966292134831,0.8426966292134831,0.925,0.925,0.0790929039136678,0.0790929039136678,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,59.0,63.0
conduct,caregiver_full,no,conduct__caregiver_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,conduct__caregiver_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,47,47,0.8596491228070176,0.8596491228070176,0.91875,0.91875,0.8076923076923077,0.8076923076923077,0.9046875,0.9046875,0.0622859399714159,0.0622859399714159,ACTIVE_MODERATE_CONFIDENCE,ACTIVE_MODERATE_CONFIDENCE,84.9,84.4
conduct,psychologist_1_3,no,conduct__psychologist_1_3__rebuild_v2__rf__compact_subset,conduct__psychologist_1_3__rebuild_v2__rf__compact_subset,27,27,0.858085808580858,0.858085808580858,0.8125,0.8125,0.9090909090909092,0.9090909090909092,0.8859375,0.8859375,0.0585440516294588,0.0585440516294588,ACTIVE_MODERATE_CONFIDENCE,ACTIVE_MODERATE_CONFIDENCE,84.9,81.0
