domain,role,mode,critical_slot,critical_reasons
adhd,caregiver,caregiver_1_3,yes,final_campaign_all_slots|priority_domain|precision_low|active_limited_use
adhd,caregiver,caregiver_2_3,yes,final_campaign_all_slots|v11_f1_regression_vs_v10_reference|priority_domain|precision_low|feature_dominance_gt_0_20|active_limited_use
adhd,caregiver,caregiver_full,yes,final_campaign_all_slots|priority_domain|precision_low|stress_sensitivity_severe|active_limited_use
adhd,psychologist,psychologist_1_3,yes,final_campaign_all_slots|priority_domain|precision_low|feature_dominance_gt_0_20|active_limited_use
adhd,psychologist,psychologist_2_3,yes,final_campaign_all_slots|priority_domain|recall_below_target_band
adhd,psychologist,psychologist_full,yes,final_campaign_all_slots|priority_domain|recall_below_target_band|precision_low|brier_weak|active_limited_use
anxiety,caregiver,caregiver_1_3,yes,final_campaign_all_slots|stress_sensitivity_severe|feature_dominance_gt_0_20
anxiety,caregiver,caregiver_2_3,yes,final_campaign_all_slots|v11_f1_regression_vs_v10_reference|recall_below_target_band|brier_weak|stress_sensitivity_severe|active_limited_use
anxiety,caregiver,caregiver_full,yes,final_campaign_all_slots|v11_f1_regression_vs_v10_reference|recall_below_target_band|brier_weak|stress_sensitivity_severe|active_limited_use
anxiety,psychologist,psychologist_1_3,yes,final_campaign_all_slots|recall_below_target_band|brier_weak|stress_sensitivity_severe|active_limited_use
anxiety,psychologist,psychologist_2_3,yes,final_campaign_all_slots|v11_f1_regression_vs_v10_reference|recall_below_target_band|brier_weak|active_limited_use
anxiety,psychologist,psychologist_full,yes,final_campaign_all_slots|v11_f1_regression_vs_v10_reference|recall_below_target_band|brier_weak|stress_sensitivity_severe|active_limited_use
conduct,caregiver,caregiver_1_3,yes,final_campaign_all_slots
conduct,caregiver,caregiver_2_3,yes,final_campaign_all_slots|v11_f1_regression_vs_v10_reference|brier_weak|active_limited_use
conduct,caregiver,caregiver_full,yes,final_campaign_all_slots|recall_below_target_band
conduct,psychologist,psychologist_1_3,yes,final_campaign_all_slots
conduct,psychologist,psychologist_2_3,yes,final_campaign_all_slots|recall_below_target_band
conduct,psychologist,psychologist_full,yes,final_campaign_all_slots|v11_f1_regression_vs_v10_reference|recall_below_target_band
depression,caregiver,caregiver_1_3,yes,final_campaign_all_slots|priority_domain|stress_sensitivity_severe
depression,caregiver,caregiver_2_3,yes,final_campaign_all_slots|v11_f1_regression_vs_v10_reference|priority_domain|recall_below_target_band
depression,caregiver,caregiver_full,yes,final_campaign_all_slots|priority_domain|recall_below_target_band|stress_sensitivity_severe|feature_dominance_gt_0_20
depression,psychologist,psychologist_1_3,yes,final_campaign_all_slots|priority_domain|stress_sensitivity_severe|feature_dominance_gt_0_20
depression,psychologist,psychologist_2_3,yes,final_campaign_all_slots|priority_domain|recall_below_target_band|stress_sensitivity_severe
depression,psychologist,psychologist_full,yes,final_campaign_all_slots|priority_domain|recall_below_target_band
elimination,caregiver,caregiver_1_3,yes,final_campaign_all_slots|v11_f1_regression_vs_v10_reference|priority_domain|stress_sensitivity_severe|feature_dominance_gt_0_20|active_limited_use
elimination,caregiver,caregiver_2_3,yes,final_campaign_all_slots|v11_f1_regression_vs_v10_reference|priority_domain|recall_below_target_band|brier_weak|stress_sensitivity_severe|feature_dominance_gt_0_20|active_limited_use
elimination,caregiver,caregiver_full,yes,final_campaign_all_slots|v11_f1_regression_vs_v10_reference|priority_domain|precision_low|stress_sensitivity_severe|feature_dominance_gt_0_20|active_limited_use
elimination,psychologist,psychologist_1_3,yes,final_campaign_all_slots|v11_f1_regression_vs_v10_reference|priority_domain|precision_low|stress_sensitivity_severe|feature_dominance_gt_0_20|active_limited_use
elimination,psychologist,psychologist_2_3,yes,final_campaign_all_slots|priority_domain|stress_sensitivity_severe|feature_dominance_gt_0_20
elimination,psychologist,psychologist_full,yes,final_campaign_all_slots|v11_f1_regression_vs_v10_reference|priority_domain|stress_sensitivity_severe|feature_dominance_gt_0_20
